"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-02-27,"Bogotá, D.C.",1,NA
2020-02-28,"Bogotá, D.C.",1,NA
2020-02-28,"Valle del Cauca",1,NA
2020-02-29,"Antioquia",1,NA
2020-02-29,"Magdalena",1,NA
2020-03-01,"Bogotá, D.C.",2,NA
2020-03-01,"Bolívar",1,1.14285714285714
2020-03-01,"Valle del Cauca",1,1.14285714285714
2020-03-02,"Antioquia",1,1.14285714285714
2020-03-02,"Bolívar",2,1.28571428571429
2020-03-02,"Valle del Cauca",1,1.28571428571429
2020-03-03,"Atlántico",1,1.28571428571429
2020-03-03,"Tolima",1,1.14285714285714
2020-03-04,"Bogotá, D.C.",1,1.14285714285714
2020-03-04,"Risaralda",1,1.14285714285714
2020-03-04,"Valle del Cauca",1,1.14285714285714
2020-03-05,"Antioquia",1,1
2020-03-05,"Bogotá, D.C.",4,1.42857142857143
2020-03-05,"Huila",1,1.42857142857143
2020-03-05,"Valle del Cauca",1,1.42857142857143
2020-03-06,"Antioquia",2,1.57142857142857
2020-03-06,"Atlántico",2,1.71428571428571
2020-03-06,"Bogotá, D.C.",6,2.42857142857143
2020-03-06,"Bolívar",3,2.71428571428571
2020-03-06,"Huila",2,2.42857142857143
2020-03-07,"Antioquia",1,2.42857142857143
2020-03-07,"Bogotá, D.C.",8,3.42857142857143
2020-03-07,"Norte de Santander",1,3.28571428571429
2020-03-07,"Valle del Cauca",3,3.42857142857143
2020-03-08,"Antioquia",2,2.85714285714286
2020-03-08,"Bogotá, D.C.",5,3.14285714285714
2020-03-08,"Cundinamarca",1,3
2020-03-08,"Huila",1,3
2020-03-08,"Quindio",1,2
2020-03-08,"Valle del Cauca",1,2
2020-03-09,"Antioquia",4,2.14285714285714
2020-03-09,"Atlántico",2,2.14285714285714
2020-03-09,"Bogotá, D.C.",7,2.42857142857143
2020-03-09,"Cauca",1,2.42857142857143
2020-03-09,"Huila",1,2.42857142857143
2020-03-09,"Meta",1,2.42857142857143
2020-03-09,"Risaralda",1,2.42857142857143
2020-03-09,"Valle del Cauca",6,2.71428571428571
2020-03-10,"Antioquia",11,4
2020-03-10,"Atlántico",2,3.28571428571429
2020-03-10,"Bogotá, D.C.",11,4.71428571428571
2020-03-10,"Cundinamarca",2,4.85714285714286
2020-03-10,"Huila",4,5.28571428571429
2020-03-10,"Risaralda",1,5.28571428571429
2020-03-10,"Tolima",1,4.57142857142857
2020-03-10,"Valle del Cauca",5,3.71428571428571
2020-03-11,"Antioquia",3,3.85714285714286
2020-03-11,"Bogotá, D.C.",17,4.71428571428571
2020-03-11,"Bolívar",2,4.71428571428571
2020-03-11,"Cundinamarca",4,4.71428571428571
2020-03-11,"Magdalena",1,4.71428571428571
2020-03-11,"Norte de Santander",1,4.71428571428571
2020-03-11,"Quindio",1,4.14285714285714
2020-03-11,"Risaralda",1,3.85714285714286
2020-03-11,"Tolima",1,1.57142857142857
2020-03-11,"Valle del Cauca",2,1.57142857142857
2020-03-12,"Antioquia",1,1.14285714285714
2020-03-12,"Atlántico",2,1.28571428571429
2020-03-12,"Bogotá, D.C.",20,4
2020-03-12,"Bolívar",2,4.14285714285714
2020-03-12,"Caldas",1,4.14285714285714
2020-03-12,"Cundinamarca",3,4.42857142857143
2020-03-12,"Huila",2,4.42857142857143
2020-03-12,"Magdalena",1,4.42857142857143
2020-03-12,"Meta",1,4.28571428571429
2020-03-12,"Quindio",1,1.57142857142857
2020-03-12,"Risaralda",1,1.42857142857143
2020-03-12,"Santander",2,1.57142857142857
2020-03-12,"Valle del Cauca",12,2.85714285714286
2020-03-13,"Antioquia",10,4
2020-03-13,"Atlántico",3,4.28571428571429
2020-03-13,"Bogotá, D.C.",26,7.85714285714286
2020-03-13,"Bolívar",4,8.28571428571429
2020-03-13,"Boyacá",1,8.28571428571429
2020-03-13,"Caldas",2,8.28571428571429
2020-03-13,"Cundinamarca",2,6.85714285714286
2020-03-13,"Quindio",3,5.85714285714286
2020-03-13,"Risaralda",2,5.71428571428571
2020-03-13,"Santander",1,2.14285714285714
2020-03-13,"Tolima",2,1.85714285714286
2020-03-13,"Valle del Cauca",10,3.14285714285714
2020-03-14,"Antioquia",21,5.85714285714286
2020-03-14,"Atlántico",5,6.28571428571429
2020-03-14,"Bogotá, D.C.",35,10.8571428571429
2020-03-14,"Bolívar",4,11.1428571428571
2020-03-14,"Caldas",3,11.4285714285714
2020-03-14,"Cauca",2,11.4285714285714
2020-03-14,"Cesar",2,10.2857142857143
2020-03-14,"Cundinamarca",5,8
2020-03-14,"La Guajira",1,7.42857142857143
2020-03-14,"Magdalena",1,2.57142857142857
2020-03-14,"Meta",1,2.14285714285714
2020-03-14,"Norte de Santander",3,2.14285714285714
2020-03-14,"Risaralda",1,2
2020-03-14,"Santander",1,1.85714285714286
2020-03-14,"Valle del Cauca",12,2.85714285714286
2020-03-15,"Antioquia",12,4.42857142857143
2020-03-15,"Atlántico",5,5
2020-03-15,"Bogotá, D.C.",54,12.5714285714286
2020-03-15,"Bolívar",6,13
2020-03-15,"Caldas",3,13.2857142857143
2020-03-15,"Cauca",2,13.4285714285714
2020-03-15,"Cesar",6,12.5714285714286
2020-03-15,"Cundinamarca",4,11.4285714285714
2020-03-15,"Córdoba",1,10.8571428571429
2020-03-15,"Huila",1,3.28571428571429
2020-03-15,"Magdalena",2,2.71428571428571
2020-03-15,"Meta",2,2.57142857142857
2020-03-15,"Nariño",2,2.57142857142857
2020-03-15,"Norte de Santander",5,2.42857142857143
2020-03-15,"Quindio",1,2
2020-03-15,"Risaralda",4,2.42857142857143
2020-03-15,"Santander",1,2.42857142857143
2020-03-15,"Tolima",2,2.42857142857143
2020-03-15,"Valle del Cauca",20,5
2020-03-16,"Antioquia",18,7.28571428571429
2020-03-16,"Atlántico",6,7.42857142857143
2020-03-16,"Bogotá, D.C.",62,16.1428571428571
2020-03-16,"Bolívar",8,16.7142857142857
2020-03-16,"Caldas",3,17
2020-03-16,"Cesar",2,17
2020-03-16,"Cundinamarca",9,15.4285714285714
2020-03-16,"Huila",1,13
2020-03-16,"Magdalena",1,12.2857142857143
2020-03-16,"Nariño",2,3.71428571428571
2020-03-16,"Norte de Santander",2,2.85714285714286
