"grupo_edad","Sexo","frecuencia"
"0-4","F",59431
"0-4","M",67790
"5-9","F",59457
"5-9","M",62265
"10-14","F",86793
"10-14","M",85797
"15-19","F",151881
"15-19","M",134804
"20-24","F",315775
"20-24","M",259658
"25-29","F",403836
"25-29","M",339024
"30-34","F",388254
"30-34","M",341430
"35-39","F",358489
"35-39","M",322135
"40-44","F",314573
"40-44","M",277442
"45-49","F",258202
"45-49","M",221338
"50-54","F",245995
"50-54","M",204086
"55-59","F",225145
"55-59","M",187750
"60-64","F",178180
"60-64","M",149851
"65-69","F",124573
"65-69","M",105368
"70-74","F",88419
"70-74","M",79510
"75-79","F",61811
"75-79","M",55923
"80 ó +","F",93514
"80 ó +","M",77658
