"nombre_departamento","grupo_edad","casos"
"amazonas",0,1
"amazonas",9,1
"amazonas",19,1
"amazonas",20,1
"amazonas",26,1
"amazonas",27,1
"amazonas",28,1
"amazonas",32,4
"amazonas",34,1
"amazonas",35,1
"amazonas",36,1
"amazonas",37,2
"amazonas",38,3
"amazonas",39,1
"amazonas",40,2
"amazonas",41,2
"amazonas",42,2
"amazonas",43,1
"amazonas",44,1
"amazonas",45,5
"amazonas",46,1
"amazonas",47,2
"amazonas",48,2
"amazonas",49,2
"amazonas",50,2
"amazonas",51,3
"amazonas",52,3
"amazonas",53,5
"amazonas",54,2
"amazonas",55,6
"amazonas",56,12
"amazonas",57,7
"amazonas",58,14
"amazonas",59,5
"amazonas",60,7
"amazonas",61,6
"amazonas",62,6
"amazonas",63,2
"amazonas",64,9
"amazonas",65,5
"amazonas",66,4
"amazonas",67,7
"amazonas",68,4
"amazonas",69,6
"amazonas",70,10
"amazonas",71,12
"amazonas",72,5
"amazonas",73,6
"amazonas",74,3
"amazonas",75,5
"amazonas",76,3
"amazonas",77,10
"amazonas",78,2
"amazonas",79,13
"amazonas",80,6
"amazonas",81,7
"amazonas",82,5
"amazonas",83,3
"amazonas",84,20
"antioquia",0,9
"antioquia",1,2
"antioquia",2,1
"antioquia",4,2
"antioquia",5,1
"antioquia",6,2
"antioquia",7,1
"antioquia",9,1
"antioquia",13,2
"antioquia",14,1
"antioquia",15,3
"antioquia",16,4
"antioquia",18,4
"antioquia",19,3
"antioquia",20,6
"antioquia",21,13
"antioquia",22,12
"antioquia",23,10
"antioquia",24,18
"antioquia",25,23
"antioquia",26,20
"antioquia",27,22
"antioquia",28,38
"antioquia",29,38
"antioquia",30,37
"antioquia",31,48
"antioquia",32,51
"antioquia",33,53
"antioquia",34,37
"antioquia",35,60
"antioquia",36,66
"antioquia",37,63
"antioquia",38,91
"antioquia",39,101
"antioquia",40,88
"antioquia",41,111
"antioquia",42,120
"antioquia",43,130
"antioquia",44,103
"antioquia",45,126
"antioquia",46,117
"antioquia",47,127
"antioquia",48,132
"antioquia",49,163
"antioquia",50,171
"antioquia",51,198
"antioquia",52,220
"antioquia",53,175
"antioquia",54,253
"antioquia",55,266
"antioquia",56,247
"antioquia",57,276
"antioquia",58,332
"antioquia",59,332
"antioquia",60,356
"antioquia",61,339
"antioquia",62,439
"antioquia",63,428
"antioquia",64,403
"antioquia",65,398
"antioquia",66,429
"antioquia",67,427
"antioquia",68,474
"antioquia",69,480
"antioquia",70,454
"antioquia",71,450
"antioquia",72,530
"antioquia",73,494
"antioquia",74,491
"antioquia",75,455
"antioquia",76,456
"antioquia",77,485
"antioquia",78,424
"antioquia",79,502
"antioquia",80,464
"antioquia",81,427
"antioquia",82,432
"antioquia",83,434
"antioquia",84,3483
"arauca",3,1
"arauca",14,1
"arauca",15,1
"arauca",18,1
"arauca",19,2
"arauca",20,1
"arauca",22,1
"arauca",23,1
"arauca",24,1
"arauca",25,2
"arauca",26,2
"arauca",27,4
"arauca",28,1
"arauca",29,6
"arauca",31,3
"arauca",33,2
"arauca",34,2
"arauca",35,2
"arauca",37,8
"arauca",38,5
"arauca",39,2
"arauca",40,4
"arauca",41,6
"arauca",42,4
"arauca",43,2
"arauca",44,6
"arauca",45,5
"arauca",46,6
