"grupo_edad","fecha_muerte","muertes"
"0-9",2020-03-23,1
"0-9",2020-04-20,1
"0-9",2020-04-27,3
"0-9",2020-05-25,2
"0-9",2020-06-01,2
"0-9",2020-06-08,2
"0-9",2020-06-22,1
"0-9",2020-06-29,1
"0-9",2020-07-06,1
"0-9",2020-07-13,2
"0-9",2020-07-20,4
"0-9",2020-07-27,6
"0-9",2020-08-03,1
"0-9",2020-08-10,4
"0-9",2020-08-17,4
"0-9",2020-08-24,2
"0-9",2020-08-31,1
"0-9",2020-09-07,3
"0-9",2020-09-14,3
"0-9",2020-09-21,4
"0-9",2020-09-28,1
"0-9",2020-10-05,1
"0-9",2020-10-19,2
"0-9",2020-11-02,1
"0-9",2020-11-09,2
"0-9",2020-11-16,1
"0-9",2020-11-23,2
"0-9",2020-11-30,3
"0-9",2020-12-07,5
"0-9",2020-12-14,4
"0-9",2020-12-21,3
"0-9",2020-12-28,2
"0-9",2021-01-11,1
"0-9",2021-01-18,4
"0-9",2021-01-25,3
"0-9",2021-02-01,1
"0-9",2021-02-08,2
"0-9",2021-02-15,1
"0-9",2021-03-01,1
"0-9",2021-03-08,2
"0-9",2021-03-15,1
"0-9",2021-03-29,1
"0-9",2021-04-05,3
"0-9",2021-04-12,1
"0-9",2021-04-19,4
"0-9",2021-04-26,3
"0-9",2021-05-03,3
"0-9",2021-05-10,3
"0-9",2021-05-24,4
"0-9",2021-05-31,5
"0-9",2021-06-07,5
"0-9",2021-06-14,6
"0-9",2021-06-21,4
"0-9",2021-06-28,3
"0-9",2021-07-05,2
"0-9",2021-07-12,5
"0-9",2021-07-19,3
"0-9",2021-08-02,4
"0-9",2021-08-09,2
"0-9",2021-08-16,1
"0-9",2021-08-30,4
"0-9",2021-10-04,1
"0-9",2021-10-18,1
"0-9",2021-11-15,1
"0-9",2021-11-29,1
"0-9",2021-12-06,1
"0-9",2021-12-20,2
"0-9",2021-12-27,3
"0-9",2022-01-03,1
"0-9",2022-01-10,3
"0-9",2022-01-17,6
"0-9",2022-01-24,5
"0-9",2022-01-31,8
"0-9",2022-02-07,4
"0-9",2022-02-14,1
"0-9",2022-02-21,1
"0-9",2022-02-28,1
"0-9",2022-03-07,2
"0-9",2022-03-14,3
"0-9",2022-03-28,1
"0-9",2022-05-09,1
"0-9",2022-05-16,1
"0-9",2022-06-06,4
"0-9",2022-06-13,1
"0-9",2022-06-27,1
"0-9",2022-07-04,1
"0-9",2022-07-11,2
"0-9",2022-07-18,2
"0-9",2022-07-25,4
"0-9",2022-08-01,1
"0-9",2022-08-08,1
"0-9",2022-09-05,1
"0-9",2022-09-12,1
"0-9",2022-11-21,1
"0-9",2022-12-05,2
"0-9",2022-12-12,1
"0-9",2022-12-19,2
"0-9",2022-12-26,1
"0-9",2023-01-09,1
"0-9",2023-01-23,1
"0-9",2023-01-30,1
"0-9",2023-04-03,1
"0-9",2023-04-17,1
"0-9",2023-05-01,1
"0-9",2023-05-15,1
"0-9",2023-06-12,1
"0-9",2023-06-26,1
"0-9",2023-07-10,2
"0-9",2023-07-17,1
"0-9",2023-07-24,1
"0-9",2023-09-04,1
"0-9",2023-09-11,1
"0-9",2023-11-20,1
"10-19",2020-03-30,1
"10-19",2020-06-01,1
"10-19",2020-06-15,1
"10-19",2020-06-22,2
"10-19",2020-06-29,1
"10-19",2020-07-06,2
"10-19",2020-07-13,1
"10-19",2020-07-20,4
"10-19",2020-07-27,4
"10-19",2020-08-03,2
"10-19",2020-08-10,3
"10-19",2020-08-17,4
"10-19",2020-08-24,3
"10-19",2020-09-07,2
"10-19",2020-09-14,4
"10-19",2020-09-21,1
"10-19",2020-09-28,2
"10-19",2020-10-05,4
"10-19",2020-10-12,1
"10-19",2020-10-19,4
"10-19",2020-10-26,3
"10-19",2020-11-02,3
"10-19",2020-11-09,2
"10-19",2020-11-30,1
"10-19",2020-12-07,2
"10-19",2020-12-14,1
"10-19",2020-12-21,3
"10-19",2020-12-28,2
"10-19",2021-01-04,2
"10-19",2021-01-11,3
"10-19",2021-01-18,3
"10-19",2021-01-25,2
"10-19",2021-02-01,3
"10-19",2021-02-08,2
"10-19",2021-02-15,1
"10-19",2021-02-22,4
"10-19",2021-03-01,1
"10-19",2021-04-12,1
"10-19",2021-04-19,4
"10-19",2021-04-26,2
"10-19",2021-05-03,3
"10-19",2021-05-10,4
"10-19",2021-05-17,5
"10-19",2021-05-24,7
"10-19",2021-05-31,5
"10-19",2021-06-07,5
"10-19",2021-06-14,2
"10-19",2021-06-21,4
"10-19",2021-06-28,7
"10-19",2021-07-05,7
"10-19",2021-07-12,3
"10-19",2021-07-19,11
"10-19",2021-07-26,1
"10-19",2021-08-02,2
"10-19",2021-08-09,1
"10-19",2021-08-16,3
"10-19",2021-08-23,2
"10-19",2021-08-30,1
"10-19",2021-09-13,1
"10-19",2021-09-20,1
"10-19",2021-10-25,3
"10-19",2021-11-01,1
"10-19",2021-11-08,3
"10-19",2021-11-15,1
"10-19",2021-12-06,2
"10-19",2021-12-27,2
"10-19",2022-01-03,1
"10-19",2022-01-17,4
"10-19",2022-01-24,6
"10-19",2022-01-31,2
"10-19",2022-02-07,3
"10-19",2022-02-14,1
"10-19",2022-02-21,3
"10-19",2022-02-28,1
"10-19",2022-03-14,1
"10-19",2022-03-28,2
"10-19",2022-04-25,1
"10-19",2022-05-16,1
"10-19",2022-05-23,1
"10-19",2022-06-06,1
"10-19",2022-06-20,1
"10-19",2022-06-27,1
"10-19",2022-07-11,1
"10-19",2022-07-18,2
"10-19",2022-08-01,1
"10-19",2022-08-08,2
"10-19",2022-08-15,2
"10-19",2022-09-05,1
"10-19",2022-09-19,1
"10-19",2022-11-07,1
"10-19",2022-11-21,1
"10-19",2022-12-05,1
"10-19",2022-12-12,1
"10-19",2023-02-27,1
"10-19",2023-05-22,1
"10-19",2023-07-31,1
"20-29",2020-03-30,2
"20-29",2020-04-06,1
"20-29",2020-04-13,1
"20-29",2020-04-27,6
"20-29",2020-05-04,4
"20-29",2020-05-11,1
"20-29",2020-05-25,4
"20-29",2020-06-01,8
