"department","window_start","window_end","rt_mean","rt_mean_lower","rt_mean_upper","departamento_limp","Departamento","codigo_dp"
"AMAZONAS",2020-04-17,2020-05-01,2.16211543059618,1.93499891470504,2.44778551786608,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-18,2020-05-02,2.09976618543815,1.87827339909199,2.3784274309162,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-19,2020-05-03,3.04667404929813,2.80605741213178,3.34521942513994,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-20,2020-05-04,2.38733123163054,2.20009948352273,2.61957276743225,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-21,2020-05-05,1.92562432859213,1.77495083921046,2.11250156395153,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-22,2020-05-06,2.14515012405475,1.98982916290694,2.33720737270059,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-23,2020-05-07,2.85988699665288,2.68268493543408,3.077818248593,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-24,2020-05-08,1.91423877040682,1.79794754401788,2.05716963661731,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-25,2020-05-09,1.89962579824743,1.79072203449572,2.03324069756278,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-26,2020-05-10,1.94215665720227,1.83281286144897,2.07624027146545,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-27,2020-05-11,1.86483256783277,1.76449162205173,1.9877183842801,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-28,2020-05-12,1.4239937521658,1.34737299685334,1.51782986263986,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-29,2020-05-13,1.24476663094586,1.17671290798774,1.32814798856319,"amazonas","Amazonas","91"
"AMAZONAS",2020-04-30,2020-05-14,1.29819431916979,1.2319047372298,1.37926343181909,"amazonas","Amazonas","91"
"AMAZONAS",2020-05-01,2020-05-15,1.21445934429326,1.15217184909263,1.29064292015309,"amazonas","Amazonas","91"
"AMAZONAS",2020-05-02,2020-05-16,1.22657532500594,1.16624901154103,1.30028033742801,"amazonas","Amazonas","91"
"AMAZONAS",2020-05-03,2020-05-17,1.27897976099777,1.21797509853425,1.35345671402237,"amazonas","Amazonas","91"
