"","departamento_limp","fecha_muerte","muertes"
"1","amazonas",2020-04-18,1
"2","amazonas",2020-04-19,1
"3","amazonas",2020-04-20,1
"4","amazonas",2020-04-23,1
"5","amazonas",2020-04-24,1
"6","amazonas",2020-04-25,1
"7","amazonas",2020-04-26,1
"8","amazonas",2020-04-28,2
"9","amazonas",2020-04-29,3
"10","amazonas",2020-04-30,5
"11","amazonas",2020-05-01,2
"12","amazonas",2020-05-02,1
"13","amazonas",2020-05-04,1
"14","amazonas",2020-05-05,3
"15","amazonas",2020-05-06,5
"16","amazonas",2020-05-07,8
"17","amazonas",2020-05-08,2
"18","amazonas",2020-05-11,2
"19","amazonas",2020-05-12,2
"20","amazonas",2020-05-13,4
"21","amazonas",2020-05-14,1
"22","amazonas",2020-05-15,2
"23","amazonas",2020-05-16,1
"24","amazonas",2020-05-17,2
"25","amazonas",2020-05-18,4
"26","amazonas",2020-05-19,3
"27","amazonas",2020-05-21,1
"28","amazonas",2020-05-22,2
"29","amazonas",2020-05-23,2
"30","amazonas",2020-05-24,2
"31","amazonas",2020-05-26,2
"32","amazonas",2020-05-27,6
"33","amazonas",2020-05-29,1
"34","amazonas",2020-05-30,1
"35","amazonas",2020-06-01,1
"36","amazonas",2020-06-02,3
"37","amazonas",2020-06-03,4
"38","amazonas",2020-06-04,1
"39","amazonas",2020-06-05,4
"40","amazonas",2020-06-06,1
"41","amazonas",2020-06-07,1
"42","amazonas",2020-06-08,1
"43","amazonas",2020-06-10,1
"44","amazonas",2020-06-12,1
"45","amazonas",2020-06-14,1
"46","amazonas",2020-06-18,1
"47","amazonas",2020-06-23,1
"48","amazonas",2020-06-28,1
"49","amazonas",2020-07-05,1
"50","amazonas",2020-07-06,3
"51","amazonas",2020-07-07,1
"52","amazonas",2020-07-11,1
"53","amazonas",2020-07-21,1
"54","amazonas",2020-07-26,1
"55","amazonas",2020-08-06,2
"56","amazonas",2020-08-14,1
"57","amazonas",2020-08-27,1
"58","amazonas",2020-08-30,1
"59","amazonas",2020-08-31,1
"60","amazonas",2020-09-02,1
"61","amazonas",2020-09-04,1
"62","amazonas",2020-09-11,1
"63","amazonas",2020-09-19,1
"64","amazonas",2020-10-28,1
"65","amazonas",2020-10-31,1
"66","amazonas",2020-11-02,1
"67","amazonas",2020-11-12,1
"68","amazonas",2020-11-15,1
"69","amazonas",2020-11-21,1
"70","amazonas",2020-12-13,1
"71","amazonas",2020-12-17,1
"72","amazonas",2020-12-19,1
"73","amazonas",2020-12-24,1
"74","amazonas",2021-01-04,1
"75","amazonas",2021-01-05,1
"76","amazonas",2021-01-08,1
"77","amazonas",2021-01-13,1
"78","amazonas",2021-01-14,1
"79","amazonas",2021-01-16,1
"80","amazonas",2021-01-19,1
"81","amazonas",2021-01-21,1
"82","amazonas",2021-01-22,1
"83","amazonas",2021-01-26,1
"84","amazonas",2021-01-28,1
"85","amazonas",2021-01-29,3
"86","amazonas",2021-02-01,2
"87","amazonas",2021-02-03,2
"88","amazonas",2021-02-05,1
"89","amazonas",2021-02-06,1
"90","amazonas",2021-02-07,1
"91","amazonas",2021-02-08,1
"92","amazonas",2021-02-09,1
"93","amazonas",2021-02-10,1
"94","amazonas",2021-02-11,1
"95","amazonas",2021-02-12,2
"96","amazonas",2021-02-13,1
"97","amazonas",2021-02-14,1
"98","amazonas",2021-02-15,1
"99","amazonas",2021-02-17,3
"100","amazonas",2021-02-18,2
"101","amazonas",2021-02-19,2
"102","amazonas",2021-02-20,2
"103","amazonas",2021-02-21,3
"104","amazonas",2021-02-22,4
"105","amazonas",2021-02-23,2
"106","amazonas",2021-02-24,3
"107","amazonas",2021-02-25,3
"108","amazonas",2021-02-26,1
"109","amazonas",2021-02-28,1
"110","amazonas",2021-03-02,3
"111","amazonas",2021-03-03,3
"112","amazonas",2021-03-04,3
"113","amazonas",2021-03-06,4
"114","amazonas",2021-03-07,6
"115","amazonas",2021-03-08,2
"116","amazonas",2021-03-09,1
"117","amazonas",2021-03-10,1
"118","amazonas",2021-03-11,1
"119","amazonas",2021-03-14,2
"120","amazonas",2021-03-16,1
"121","amazonas",2021-03-17,1
"122","amazonas",2021-03-19,2
"123","amazonas",2021-03-20,1
"124","amazonas",2021-03-21,1
"125","amazonas",2021-03-22,1
"126","amazonas",2021-03-26,3
"127","amazonas",2021-03-28,2
"128","amazonas",2021-03-29,1
"129","amazonas",2021-03-31,1
"130","amazonas",2021-04-01,2
"131","amazonas",2021-04-02,1
"132","amazonas",2021-04-03,1
"133","amazonas",2021-04-04,2
"134","amazonas",2021-04-13,1
"135","amazonas",2021-04-14,2
"136","amazonas",2021-04-16,1
"137","amazonas",2021-04-17,2
"138","amazonas",2021-04-18,2
"139","amazonas",2021-04-19,1
"140","amazonas",2021-04-20,1
"141","amazonas",2021-05-07,1
"142","amazonas",2021-05-20,2
"143","amazonas",2021-05-26,1
"144","amazonas",2021-06-01,1
"145","amazonas",2021-06-06,1
"146","amazonas",2021-06-15,1
"147","amazonas",2021-06-21,1
"148","amazonas",2021-06-23,1
"149","amazonas",2021-07-18,1
"150","amazonas",2021-07-24,1
"151","amazonas",2021-07-29,1
"152","amazonas",2021-08-04,1
"153","amazonas",2021-08-06,1
"154","amazonas",2021-08-09,1
"155","amazonas",2021-09-23,1
"156","amazonas",2021-10-22,1
"157","amazonas",2021-11-21,1
"158","amazonas",2021-12-11,1
"159","amazonas",2021-12-26,1
"160","amazonas",2022-01-04,1
"161","amazonas",2022-01-16,1
"162","amazonas",2022-01-27,1
"163","amazonas",2022-02-01,2
"164","amazonas",2022-02-10,1
"165","antioquia",2020-04-03,1
"166","antioquia",2020-04-18,2
"167","antioquia",2020-04-24,1
"168","antioquia",2020-04-27,1
"169","antioquia",2020-05-02,1
"170","antioquia",2020-06-05,1
"171","antioquia",2020-06-06,1
"172","antioquia",2020-06-07,1
"173","antioquia",2020-06-11,1
"174","antioquia",2020-06-14,1
"175","antioquia",2020-06-15,2
"176","antioquia",2020-06-17,1
"177","antioquia",2020-06-20,2
"178","antioquia",2020-06-21,2
"179","antioquia",2020-06-22,3
"180","antioquia",2020-06-23,1
"181","antioquia",2020-06-24,6
"182","antioquia",2020-06-25,1
"183","antioquia",2020-06-26,1
"184","antioquia",2020-06-27,1
"185","antioquia",2020-06-28,2
"186","antioquia",2020-06-29,2
"187","antioquia",2020-06-30,6
"188","antioquia",2020-07-01,4
"189","antioquia",2020-07-02,6
"190","antioquia",2020-07-03,6
"191","antioquia",2020-07-04,3
"192","antioquia",2020-07-05,6
"193","antioquia",2020-07-06,9
"194","antioquia",2020-07-07,2
"195","antioquia",2020-07-08,8
"196","antioquia",2020-07-09,17
"197","antioquia",2020-07-10,16
"198","antioquia",2020-07-11,20
"199","antioquia",2020-07-12,12
"200","antioquia",2020-07-13,24
"201","antioquia",2020-07-14,18
"202","antioquia",2020-07-15,16
"203","antioquia",2020-07-16,28
"204","antioquia",2020-07-17,20
"205","antioquia",2020-07-18,15
"206","antioquia",2020-07-19,28
"207","antioquia",2020-07-20,23
"208","antioquia",2020-07-21,34
"209","antioquia",2020-07-22,28
"210","antioquia",2020-07-23,27
"211","antioquia",2020-07-24,33
"212","antioquia",2020-07-25,29
"213","antioquia",2020-07-26,35
