YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,829.0,529.0,344.0,213.0,241.0,158.0,0.0,48.0,34.0,30.0,19.0,0.0
2014-02,682.0,479.0,304.0,192.0,194.0,137.0,0.0,29.0,21.0,24.0,15.0,0.0
2014-03,773.0,558.0,298.0,218.0,267.0,139.0,0.0,52.0,38.0,33.0,26.0,0.0
2014-04,700.0,510.0,294.0,198.0,234.0,141.0,0.0,46.0,38.0,28.0,20.0,0.0
2014-05,776.0,579.0,290.0,215.0,205.0,138.0,0.0,37.0,39.0,16.0,20.0,0.0
2014-06,748.0,546.0,322.0,213.0,246.0,130.0,0.0,46.0,28.0,34.0,17.0,0.0
2014-07,764.0,588.0,310.0,207.0,189.0,152.0,0.0,47.0,39.0,27.0,27.0,1.0
2014-08,715.0,561.0,297.0,186.0,183.0,130.0,0.0,35.0,40.0,28.0,11.0,0.0
2014-09,760.0,555.0,299.0,170.0,176.0,143.0,0.0,44.0,35.0,30.0,22.0,0.0
2014-10,790.0,600.0,317.0,206.0,225.0,140.0,0.0,47.0,44.0,37.0,18.0,0.0
2014-11,765.0,549.0,299.0,173.0,209.0,152.0,0.0,35.0,38.0,29.0,20.0,0.0
2014-12,870.0,592.0,318.0,259.0,266.0,145.0,0.0,56.0,43.0,28.0,29.0,0.0
2015-01,917.0,546.0,337.0,314.0,313.0,158.0,0.0,56.0,54.0,54.0,21.0,0.0
2015-02,723.0,527.0,249.0,225.0,189.0,158.0,0.0,34.0,34.0,39.0,18.0,0.0
2015-03,809.0,546.0,331.0,206.0,212.0,135.0,0.0,46.0,47.0,38.0,16.0,0.0
2015-04,803.0,552.0,293.0,184.0,187.0,132.0,0.0,36.0,34.0,33.0,20.0,0.0
2015-05,825.0,602.0,386.0,223.0,191.0,153.0,0.0,41.0,42.0,37.0,14.0,0.0
2015-06,739.0,556.0,362.0,197.0,205.0,139.0,0.0,42.0,47.0,34.0,11.0,0.0
2015-07,770.0,558.0,308.0,203.0,205.0,134.0,0.0,44.0,34.0,29.0,15.0,0.0
2015-08,741.0,569.0,325.0,205.0,185.0,137.0,0.0,58.0,43.0,32.0,30.0,0.0
2015-09,732.0,607.0,324.0,232.0,204.0,128.0,0.0,46.0,48.0,36.0,21.0,0.0
2015-10,794.0,582.0,311.0,227.0,242.0,161.0,0.0,39.0,47.0,31.0,14.0,1.0
2015-11,834.0,581.0,356.0,248.0,261.0,152.0,0.0,50.0,49.0,25.0,21.0,0.0
2015-12,878.0,646.0,346.0,231.0,249.0,158.0,0.0,61.0,58.0,37.0,30.0,0.0
2016-01,776.0,584.0,332.0,230.0,244.0,164.0,0.0,92.0,53.0,36.0,16.0,0.0
2016-02,736.0,571.0,323.0,164.0,184.0,148.0,0.0,102.0,60.0,38.0,15.0,0.0
2016-03,781.0,598.0,346.0,219.0,227.0,150.0,0.0,94.0,59.0,24.0,26.0,0.0
2016-04,755.0,574.0,302.0,250.0,196.0,144.0,0.0,91.0,52.0,33.0,26.0,0.0
2016-05,812.0,583.0,311.0,235.0,277.0,163.0,0.0,100.0,54.0,22.0,24.0,0.0
2016-06,844.0,615.0,366.0,286.0,292.0,149.0,0.0,101.0,38.0,43.0,23.0,0.0
2016-07,838.0,580.0,333.0,299.0,254.0,171.0,0.0,104.0,51.0,31.0,17.0,0.0
2016-08,804.0,588.0,332.0,224.0,212.0,183.0,0.0,101.0,63.0,29.0,22.0,0.0
2016-09,768.0,594.0,296.0,195.0,189.0,140.0,0.0,89.0,40.0,46.0,21.0,0.0
2016-10,873.0,536.0,370.0,209.0,209.0,148.0,0.0,104.0,61.0,27.0,24.0,0.0
2016-11,848.0,603.0,313.0,243.0,220.0,109.0,0.0,92.0,54.0,40.0,29.0,0.0
2016-12,934.0,627.0,319.0,265.0,302.0,170.0,0.0,113.0,68.0,30.0,21.0,0.0
2017-01,1000.0,627.0,363.0,251.0,325.0,174.0,0.0,121.0,62.0,41.0,21.0,0.0
2017-02,751.0,548.0,337.0,216.0,210.0,132.0,0.0,112.0,37.0,30.0,18.0,0.0
2017-03,891.0,569.0,310.0,251.0,258.0,130.0,0.0,107.0,51.0,30.0,13.0,2.0
2017-04,823.0,628.0,328.0,230.0,239.0,152.0,0.0,93.0,41.0,41.0,19.0,0.0
2017-05,892.0,615.0,342.0,250.0,238.0,162.0,0.0,122.0,35.0,27.0,15.0,0.0
2017-06,784.0,580.0,343.0,190.0,235.0,136.0,0.0,106.0,54.0,28.0,16.0,0.0
2017-07,849.0,601.0,383.0,200.0,218.0,164.0,0.0,120.0,50.0,38.0,19.0,0.0
