YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,25.0,19.0,25.0,5.0,5.0,7.0,0.0,0.0,1.0,5.0,3.0,0.0
2014-02,29.0,7.0,14.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-03,42.0,16.0,29.0,7.0,8.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0
2014-04,23.0,5.0,14.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
2014-05,25.0,11.0,20.0,4.0,3.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0
2014-06,31.0,13.0,18.0,6.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
2014-07,33.0,11.0,17.0,9.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
2014-08,42.0,13.0,34.0,7.0,8.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0
2014-09,24.0,13.0,16.0,7.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0
2014-10,22.0,13.0,22.0,9.0,7.0,5.0,0.0,1.0,1.0,1.0,3.0,0.0
2014-11,30.0,9.0,26.0,5.0,3.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0
2014-12,33.0,18.0,25.0,4.0,7.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0
2015-01,22.0,8.0,20.0,3.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-02,28.0,7.0,14.0,6.0,5.0,7.0,0.0,1.0,1.0,4.0,0.0,0.0
2015-03,33.0,18.0,16.0,9.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-04,30.0,17.0,19.0,9.0,5.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0
2015-05,27.0,10.0,26.0,13.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0
2015-06,19.0,13.0,20.0,6.0,8.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0
2015-07,27.0,18.0,21.0,7.0,4.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0
2015-08,33.0,12.0,19.0,8.0,4.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0
2015-09,30.0,13.0,21.0,7.0,5.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0
2015-10,34.0,10.0,15.0,11.0,5.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0
2015-11,25.0,12.0,15.0,7.0,6.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0
2015-12,32.0,11.0,19.0,6.0,3.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0
2016-01,24.0,20.0,19.0,11.0,3.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0
2016-02,30.0,10.0,23.0,8.0,4.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0
2016-03,34.0,13.0,16.0,11.0,6.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0
2016-04,23.0,14.0,12.0,14.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
2016-05,30.0,16.0,11.0,7.0,6.0,3.0,0.0,4.0,2.0,3.0,1.0,0.0
2016-06,35.0,15.0,10.0,4.0,8.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0
2016-07,24.0,15.0,8.0,6.0,6.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0
2016-08,31.0,11.0,20.0,4.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0
2016-09,32.0,10.0,21.0,5.0,9.0,6.0,0.0,7.0,2.0,0.0,0.0,0.0
2016-10,22.0,14.0,19.0,8.0,6.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0
2016-11,17.0,8.0,13.0,10.0,7.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
2016-12,24.0,20.0,26.0,10.0,3.0,8.0,0.0,4.0,2.0,3.0,1.0,0.0
2017-01,36.0,13.0,16.0,7.0,8.0,5.0,0.0,3.0,0.0,6.0,0.0,0.0
2017-02,27.0,12.0,14.0,3.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0
2017-03,26.0,12.0,17.0,3.0,3.0,6.0,0.0,4.0,0.0,0.0,3.0,0.0
2017-04,31.0,14.0,21.0,10.0,5.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0
2017-05,31.0,14.0,18.0,5.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2017-06,22.0,12.0,18.0,6.0,6.0,10.0,0.0,5.0,1.0,4.0,1.0,0.0
2017-07,35.0,13.0,15.0,15.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
2017-08,37.0,11.0,18.0,8.0,6.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0
2017-09,30.0,11.0,19.0,13.0,5.0,7.0,0.0,2.0,0.0,3.0,1.0,0.0
2017-10,24.0,15.0,24.0,8.0,7.0,4.0,0.0,8.0,0.0,6.0,2.0,0.0
2017-11,32.0,12.0,12.0,4.0,9.0,7.0,0.0,4.0,1.0,2.0,0.0,0.0
