YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,303.0,148.0,83.0,73.0,64.0,56.0,0.0,34.0,15.0,19.0,5.0,0.0
2014-02,298.0,130.0,48.0,81.0,60.0,47.0,0.0,26.0,5.0,20.0,10.0,0.0
2014-03,335.0,164.0,75.0,91.0,74.0,51.0,0.0,44.0,7.0,16.0,5.0,0.0
2014-04,279.0,181.0,44.0,84.0,76.0,57.0,0.0,42.0,10.0,20.0,9.0,0.0
2014-05,279.0,175.0,70.0,83.0,60.0,46.0,0.0,43.0,12.0,14.0,8.0,0.0
2014-06,325.0,160.0,81.0,85.0,58.0,60.0,0.0,37.0,11.0,18.0,7.0,0.0
2014-07,317.0,148.0,65.0,73.0,69.0,54.0,0.0,32.0,10.0,18.0,9.0,0.0
2014-08,346.0,162.0,68.0,75.0,92.0,62.0,0.0,22.0,11.0,27.0,6.0,0.0
2014-09,327.0,164.0,73.0,86.0,70.0,55.0,0.0,19.0,17.0,22.0,13.0,0.0
2014-10,410.0,176.0,67.0,113.0,83.0,70.0,0.0,16.0,16.0,24.0,14.0,0.0
2014-11,369.0,158.0,83.0,108.0,89.0,59.0,0.0,29.0,13.0,33.0,14.0,0.0
2014-12,437.0,187.0,81.0,129.0,80.0,77.0,0.0,19.0,21.0,20.0,9.0,0.0
2015-01,402.0,171.0,79.0,120.0,53.0,78.0,0.0,17.0,15.0,35.0,15.0,0.0
2015-02,362.0,148.0,80.0,89.0,56.0,63.0,0.0,12.0,11.0,22.0,8.0,0.0
2015-03,374.0,176.0,97.0,85.0,56.0,60.0,0.0,13.0,14.0,17.0,13.0,0.0
2015-04,359.0,182.0,90.0,91.0,43.0,61.0,0.0,24.0,8.0,27.0,10.0,0.0
2015-05,342.0,159.0,96.0,108.0,48.0,69.0,0.0,20.0,13.0,21.0,10.0,0.0
2015-06,345.0,164.0,80.0,110.0,53.0,62.0,0.0,22.0,17.0,17.0,8.0,0.0
2015-07,403.0,191.0,81.0,98.0,67.0,84.0,0.0,21.0,11.0,23.0,16.0,0.0
2015-08,364.0,181.0,88.0,126.0,58.0,74.0,0.0,25.0,11.0,23.0,6.0,0.0
