YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,816.0,588.0,229.0,164.0,246.0,160.0,0.0,29.0,49.0,51.0,34.0,0.0
2014-02,746.0,558.0,196.0,149.0,169.0,163.0,0.0,34.0,36.0,34.0,24.0,0.0
2014-03,847.0,608.0,233.0,196.0,235.0,167.0,0.0,27.0,47.0,39.0,22.0,0.0
2014-04,887.0,611.0,233.0,151.0,239.0,161.0,0.0,31.0,39.0,43.0,20.0,0.0
2014-05,813.0,614.0,198.0,158.0,227.0,159.0,0.0,39.0,57.0,47.0,24.0,1.0
2014-06,850.0,616.0,210.0,146.0,192.0,191.0,0.0,44.0,50.0,44.0,24.0,0.0
2014-07,885.0,614.0,220.0,171.0,209.0,176.0,0.0,40.0,55.0,25.0,24.0,0.0
2014-08,846.0,598.0,229.0,165.0,184.0,173.0,0.0,42.0,47.0,38.0,36.0,0.0
2014-09,877.0,614.0,251.0,129.0,208.0,172.0,0.0,38.0,51.0,38.0,23.0,0.0
2014-10,836.0,641.0,227.0,150.0,185.0,188.0,0.0,54.0,47.0,37.0,21.0,0.0
2014-11,831.0,599.0,290.0,172.0,201.0,152.0,0.0,41.0,32.0,30.0,34.0,0.0
2014-12,898.0,641.0,285.0,190.0,257.0,218.0,0.0,56.0,43.0,41.0,30.0,0.0
2015-01,886.0,641.0,278.0,210.0,216.0,176.0,0.0,58.0,65.0,39.0,31.0,0.0
2015-02,764.0,546.0,205.0,146.0,206.0,152.0,0.0,43.0,41.0,26.0,28.0,0.0
2015-03,891.0,599.0,219.0,157.0,236.0,188.0,0.0,49.0,50.0,32.0,28.0,0.0
2015-04,788.0,641.0,235.0,165.0,197.0,181.0,0.0,51.0,53.0,32.0,36.0,0.0
2015-05,875.0,645.0,281.0,163.0,221.0,196.0,0.0,52.0,54.0,41.0,32.0,0.0
2015-06,863.0,614.0,251.0,153.0,214.0,200.0,0.0,46.0,59.0,37.0,22.0,0.0
2015-07,963.0,657.0,246.0,166.0,218.0,170.0,0.0,50.0,48.0,37.0,23.0,0.0
2015-08,957.0,625.0,238.0,204.0,231.0,174.0,0.0,53.0,70.0,38.0,31.0,0.0
2015-09,880.0,622.0,228.0,181.0,215.0,176.0,0.0,60.0,57.0,42.0,31.0,0.0
2015-10,895.0,639.0,267.0,168.0,223.0,191.0,0.0,46.0,57.0,58.0,36.0,0.0
2015-11,943.0,647.0,241.0,174.0,204.0,194.0,0.0,46.0,60.0,35.0,34.0,0.0
2015-12,931.0,640.0,303.0,159.0,217.0,228.0,0.0,51.0,78.0,41.0,28.0,0.0
2016-01,920.0,588.0,277.0,178.0,232.0,181.0,0.0,103.0,82.0,27.0,24.0,0.0
2016-02,769.0,557.0,218.0,170.0,163.0,164.0,0.0,104.0,71.0,36.0,24.0,0.0
2016-03,850.0,633.0,259.0,163.0,225.0,171.0,0.0,106.0,73.0,44.0,27.0,0.0
2016-04,834.0,604.0,274.0,214.0,188.0,180.0,0.0,87.0,68.0,48.0,20.0,0.0
2016-05,939.0,663.0,249.0,243.0,295.0,196.0,0.0,115.0,85.0,47.0,38.0,0.0
2016-06,897.0,643.0,259.0,200.0,279.0,222.0,0.0,74.0,78.0,39.0,29.0,0.0
2016-07,905.0,595.0,256.0,209.0,214.0,193.0,0.0,98.0,67.0,43.0,24.0,0.0
2016-08,919.0,624.0,238.0,176.0,217.0,172.0,0.0,112.0,61.0,39.0,18.0,0.0
2016-09,878.0,576.0,197.0,154.0,191.0,147.0,0.0,98.0,65.0,35.0,23.0,0.0
2016-10,887.0,683.0,244.0,189.0,229.0,172.0,0.0,99.0,61.0,35.0,19.0,0.0
