YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,196.0,102.0,55.0,52.0,45.0,34.0,0.0,10.0,11.0,23.0,4.0,0.0
2014-02,158.0,91.0,60.0,48.0,34.0,23.0,0.0,12.0,9.0,19.0,10.0,0.0
2014-03,211.0,117.0,52.0,55.0,28.0,37.0,0.0,18.0,9.0,18.0,5.0,1.0
2014-04,194.0,108.0,63.0,62.0,36.0,36.0,0.0,8.0,10.0,17.0,5.0,0.0
2014-05,187.0,93.0,65.0,54.0,31.0,45.0,0.0,12.0,4.0,24.0,7.0,0.0
2014-06,212.0,97.0,68.0,72.0,36.0,26.0,0.0,15.0,14.0,21.0,5.0,0.0
2014-07,230.0,108.0,74.0,67.0,48.0,36.0,0.0,14.0,11.0,18.0,8.0,0.0
2014-08,183.0,89.0,65.0,71.0,40.0,31.0,0.0,10.0,8.0,17.0,6.0,0.0
2014-09,242.0,108.0,46.0,64.0,40.0,36.0,0.0,15.0,13.0,16.0,4.0,0.0
2014-10,264.0,97.0,73.0,82.0,35.0,44.0,0.0,13.0,8.0,21.0,11.0,0.0
2014-11,297.0,100.0,71.0,73.0,49.0,49.0,0.0,14.0,11.0,27.0,12.0,0.0
2014-12,236.0,92.0,55.0,79.0,69.0,48.0,0.0,11.0,9.0,25.0,7.0,2.0
2015-01,260.0,106.0,59.0,117.0,59.0,60.0,0.0,12.0,15.0,23.0,6.0,0.0
2015-02,223.0,89.0,41.0,71.0,33.0,42.0,0.0,6.0,13.0,25.0,9.0,0.0
2015-03,225.0,101.0,67.0,66.0,33.0,46.0,0.0,16.0,14.0,21.0,7.0,0.0
2015-04,234.0,109.0,71.0,67.0,38.0,44.0,0.0,12.0,10.0,25.0,9.0,0.0
2015-05,229.0,96.0,69.0,77.0,33.0,39.0,0.0,18.0,11.0,25.0,6.0,0.0
2015-06,262.0,96.0,65.0,91.0,50.0,47.0,0.0,18.0,26.0,9.0,4.0,0.0
