YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,196.0,116.0,48.0,31.0,69.0,53.0,0.0,7.0,8.0,18.0,5.0,0.0
2014-02,156.0,78.0,44.0,26.0,52.0,33.0,0.0,8.0,5.0,14.0,4.0,0.0
2014-03,190.0,104.0,39.0,34.0,67.0,39.0,0.0,10.0,7.0,8.0,4.0,0.0
2014-04,196.0,97.0,40.0,33.0,84.0,41.0,0.0,7.0,10.0,14.0,8.0,0.0
2014-05,184.0,112.0,56.0,27.0,83.0,57.0,0.0,10.0,8.0,10.0,3.0,0.0
2014-06,186.0,107.0,48.0,38.0,83.0,46.0,0.0,5.0,8.0,9.0,4.0,0.0
2014-07,204.0,95.0,43.0,31.0,60.0,44.0,0.0,2.0,5.0,9.0,9.0,0.0
2014-08,194.0,116.0,48.0,37.0,50.0,54.0,0.0,7.0,5.0,12.0,7.0,0.0
2014-09,194.0,89.0,42.0,33.0,61.0,40.0,0.0,4.0,10.0,6.0,10.0,0.0
2014-10,203.0,103.0,56.0,35.0,60.0,49.0,0.0,6.0,9.0,9.0,10.0,0.0
2014-11,215.0,97.0,42.0,30.0,64.0,46.0,0.0,5.0,8.0,8.0,3.0,0.0
2014-12,204.0,79.0,54.0,47.0,60.0,42.0,0.0,12.0,10.0,11.0,6.0,0.0
2015-01,224.0,88.0,48.0,44.0,68.0,56.0,0.0,11.0,9.0,10.0,3.0,0.0
2015-02,171.0,83.0,48.0,42.0,41.0,35.0,0.0,12.0,8.0,13.0,4.0,0.0
2015-03,210.0,90.0,44.0,44.0,55.0,48.0,0.0,12.0,9.0,11.0,4.0,0.0
2015-04,217.0,98.0,49.0,41.0,57.0,44.0,0.0,11.0,5.0,13.0,2.0,0.0
2015-05,223.0,93.0,51.0,37.0,54.0,32.0,0.0,4.0,8.0,10.0,2.0,0.0
2015-06,192.0,82.0,59.0,33.0,63.0,32.0,0.0,9.0,14.0,17.0,8.0,0.0
2015-07,221.0,102.0,42.0,40.0,68.0,44.0,0.0,4.0,9.0,13.0,6.0,0.0
2015-08,204.0,101.0,57.0,16.0,72.0,55.0,0.0,6.0,3.0,8.0,3.0,0.0
2015-09,224.0,95.0,46.0,23.0,61.0,48.0,0.0,8.0,12.0,11.0,5.0,0.0
2015-10,203.0,99.0,56.0,32.0,61.0,40.0,0.0,11.0,11.0,8.0,3.0,0.0
2015-11,198.0,96.0,38.0,36.0,54.0,54.0,0.0,8.0,8.0,10.0,6.0,0.0
2015-12,225.0,97.0,57.0,32.0,50.0,36.0,0.0,6.0,4.0,7.0,6.0,0.0
2016-01,217.0,113.0,49.0,45.0,48.0,51.0,0.0,19.0,12.0,8.0,5.0,0.0
2016-02,184.0,96.0,50.0,37.0,44.0,42.0,0.0,13.0,9.0,5.0,2.0,0.0
2016-03,200.0,104.0,27.0,33.0,50.0,56.0,0.0,17.0,10.0,13.0,7.0,0.0
2016-04,215.0,100.0,48.0,41.0,51.0,41.0,0.0,13.0,10.0,6.0,6.0,0.0
2016-05,247.0,89.0,56.0,43.0,76.0,42.0,0.0,18.0,14.0,19.0,3.0,0.0
2016-06,199.0,97.0,55.0,47.0,72.0,47.0,0.0,21.0,15.0,13.0,1.0,0.0
2016-07,199.0,93.0,61.0,46.0,61.0,55.0,0.0,20.0,12.0,10.0,7.0,0.0
2016-08,238.0,88.0,46.0,36.0,70.0,49.0,0.0,13.0,10.0,14.0,6.0,0.0
