YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,188.0,110.0,63.0,33.0,39.0,43.0,0.0,3.0,6.0,7.0,9.0,0.0
2014-02,152.0,93.0,44.0,33.0,41.0,24.0,0.0,2.0,6.0,5.0,8.0,0.0
2014-03,213.0,104.0,52.0,49.0,38.0,32.0,0.0,3.0,10.0,9.0,7.0,0.0
2014-04,175.0,93.0,50.0,34.0,46.0,30.0,0.0,5.0,2.0,4.0,3.0,0.0
2014-05,181.0,87.0,44.0,32.0,53.0,34.0,0.0,3.0,4.0,9.0,12.0,0.0
2014-06,171.0,94.0,40.0,47.0,46.0,23.0,0.0,0.0,5.0,8.0,7.0,0.0
2014-07,211.0,103.0,52.0,45.0,49.0,29.0,0.0,1.0,7.0,6.0,11.0,0.0
2014-08,159.0,91.0,53.0,39.0,37.0,27.0,0.0,4.0,8.0,7.0,3.0,0.0
2014-09,162.0,101.0,56.0,39.0,38.0,33.0,0.0,1.0,12.0,4.0,7.0,0.0
2014-10,191.0,112.0,47.0,36.0,37.0,34.0,0.0,4.0,6.0,6.0,6.0,1.0
2014-11,162.0,106.0,53.0,37.0,38.0,32.0,0.0,3.0,7.0,7.0,4.0,0.0
2014-12,201.0,102.0,59.0,44.0,41.0,32.0,0.0,1.0,9.0,6.0,4.0,0.0
2015-01,204.0,112.0,58.0,61.0,52.0,25.0,0.0,1.0,12.0,5.0,9.0,0.0
2015-02,180.0,98.0,38.0,54.0,34.0,31.0,0.0,0.0,6.0,10.0,4.0,0.0
2015-03,188.0,107.0,52.0,40.0,39.0,39.0,0.0,2.0,3.0,12.0,5.0,0.0
2015-04,172.0,100.0,48.0,44.0,54.0,29.0,0.0,2.0,8.0,10.0,5.0,0.0
2015-05,161.0,113.0,55.0,37.0,38.0,34.0,0.0,4.0,10.0,11.0,6.0,0.0
2015-06,182.0,105.0,51.0,36.0,47.0,34.0,0.0,1.0,9.0,9.0,12.0,0.0
2015-07,175.0,105.0,34.0,38.0,33.0,34.0,0.0,0.0,13.0,7.0,8.0,0.0
2015-08,173.0,111.0,50.0,41.0,37.0,29.0,0.0,1.0,8.0,11.0,7.0,0.0
2015-09,172.0,117.0,45.0,35.0,44.0,41.0,0.0,3.0,14.0,10.0,8.0,0.0
2015-10,182.0,109.0,29.0,33.0,48.0,32.0,0.0,1.0,6.0,5.0,8.0,0.0
2015-11,188.0,109.0,48.0,46.0,50.0,32.0,0.0,2.0,9.0,12.0,6.0,0.0
2015-12,212.0,87.0,41.0,48.0,67.0,28.0,0.0,2.0,10.0,7.0,6.0,0.0
2016-01,187.0,89.0,61.0,41.0,49.0,23.0,0.0,10.0,8.0,6.0,6.0,0.0
2016-02,166.0,83.0,44.0,37.0,39.0,25.0,0.0,11.0,14.0,8.0,5.0,0.0
2016-03,162.0,106.0,54.0,40.0,40.0,47.0,0.0,17.0,10.0,6.0,7.0,0.0
2016-04,182.0,113.0,41.0,33.0,43.0,28.0,0.0,10.0,11.0,12.0,8.0,1.0
2016-05,195.0,108.0,37.0,41.0,54.0,45.0,0.0,22.0,11.0,6.0,8.0,0.0
2016-06,175.0,94.0,47.0,37.0,45.0,35.0,0.0,22.0,9.0,11.0,5.0,0.0
2016-07,187.0,96.0,43.0,37.0,47.0,30.0,0.0,14.0,6.0,8.0,16.0,0.0
2016-08,182.0,113.0,57.0,36.0,51.0,29.0,0.0,12.0,10.0,6.0,6.0,0.0
2016-09,173.0,97.0,46.0,30.0,47.0,33.0,0.0,7.0,13.0,4.0,11.0,1.0
2016-10,202.0,97.0,42.0,24.0,57.0,39.0,0.0,10.0,8.0,6.0,4.0,0.0
2016-11,181.0,94.0,51.0,32.0,48.0,46.0,0.0,12.0,7.0,6.0,8.0,0.0
2016-12,213.0,118.0,51.0,48.0,55.0,44.0,0.0,11.0,18.0,9.0,10.0,0.0
2017-01,247.0,128.0,44.0,46.0,64.0,35.0,0.0,11.0,6.0,8.0,8.0,0.0
2017-02,186.0,99.0,45.0,45.0,36.0,33.0,0.0,7.0,5.0,5.0,10.0,0.0
2017-03,177.0,111.0,44.0,41.0,41.0,29.0,0.0,14.0,10.0,7.0,12.0,0.0
2017-04,183.0,105.0,54.0,49.0,37.0,23.0,0.0,12.0,5.0,4.0,14.0,0.0
2017-05,171.0,101.0,59.0,31.0,43.0,36.0,0.0,12.0,10.0,7.0,9.0,0.0
2017-06,170.0,92.0,40.0,29.0,51.0,30.0,0.0,7.0,10.0,8.0,15.0,0.0
2017-07,190.0,88.0,48.0,32.0,52.0,34.0,0.0,15.0,12.0,3.0,12.0,0.0
2017-08,174.0,112.0,36.0,46.0,48.0,33.0,0.0,7.0,10.0,5.0,10.0,1.0
2017-09,173.0,101.0,36.0,43.0,51.0,28.0,0.0,8.0,6.0,11.0,5.0,0.0
2017-10,186.0,96.0,39.0,45.0,65.0,31.0,0.0,9.0,10.0,2.0,3.0,0.0
2017-11,201.0,87.0,41.0,28.0,43.0,38.0,0.0,13.0,5.0,3.0,4.0,0.0
2017-12,174.0,111.0,46.0,48.0,42.0,34.0,0.0,4.0,3.0,11.0,8.0,0.0
2018-01,216.0,111.0,49.0,41.0,54.0,37.0,0.0,6.0,10.0,8.0,6.0,0.0
2018-02,179.0,86.0,36.0,36.0,40.0,42.0,0.0,12.0,14.0,8.0,10.0,0.0
2018-03,187.0,106.0,46.0,45.0,53.0,26.0,0.0,10.0,12.0,6.0,5.0,0.0
2018-04,150.0,84.0,52.0,37.0,48.0,41.0,0.0,11.0,10.0,4.0,11.0,0.0
2018-05,199.0,111.0,35.0,35.0,63.0,35.0,0.0,12.0,9.0,10.0,6.0,0.0
2018-06,188.0,90.0,43.0,53.0,41.0,31.0,0.0,11.0,21.0,7.0,10.0,0.0
2018-07,172.0,118.0,39.0,31.0,53.0,36.0,0.0,9.0,13.0,4.0,8.0,0.0
2018-08,174.0,100.0,62.0,55.0,50.0,36.0,0.0,14.0,7.0,11.0,5.0,1.0
2018-09,164.0,108.0,48.0,34.0,44.0,42.0,0.0,9.0,4.0,9.0,4.0,0.0
2018-10,184.0,127.0,46.0,31.0,45.0,36.0,0.0,13.0,10.0,4.0,7.0,1.0
2018-11,206.0,82.0,47.0,49.0,45.0,31.0,0.0,14.0,6.0,10.0,11.0,0.0
2018-12,223.0,128.0,70.0,42.0,54.0,42.0,0.0,9.0,12.0,6.0,7.0,1.0
2019-01,216.0,104.0,46.0,59.0,57.0,41.0,0.0,17.0,28.0,6.0,8.0,0.0
2019-02,149.0,114.0,43.0,47.0,38.0,36.0,0.0,14.0,15.0,8.0,11.0,0.0
2019-03,172.0,111.0,44.0,39.0,53.0,28.0,0.0,15.0,16.0,9.0,10.0,1.0
2019-04,147.0,101.0,53.0,38.0,52.0,21.0,0.0,14.0,14.0,7.0,10.0,0.0
2019-05,169.0,105.0,37.0,37.0,47.0,34.0,0.0,6.0,14.0,12.0,5.0,0.0
2019-06,175.0,94.0,50.0,42.0,61.0,49.0,0.0,15.0,24.0,4.0,12.0,0.0
2019-07,163.0,108.0,41.0,40.0,45.0,29.0,0.0,15.0,25.0,6.0,11.0,0.0
2019-08,193.0,103.0,43.0,49.0,48.0,32.0,0.0,20.0,24.0,8.0,6.0,0.0
2019-09,178.0,113.0,46.0,42.0,58.0,24.0,0.0,10.0,15.0,5.0,9.0,0.0
2019-10,154.0,128.0,44.0,38.0,61.0,36.0,0.0,13.0,18.0,5.0,7.0,0.0
2019-11,173.0,107.0,41.0,41.0,64.0,26.0,0.0,15.0,18.0,10.0,15.0,0.0
2019-12,195.0,104.0,44.0,41.0,48.0,29.0,0.0,15.0,21.0,7.0,8.0,0.0
2020-01,185.0,127.0,58.0,57.0,60.0,31.0,0.0,16.0,13.0,10.0,10.0,0.0
2020-02,152.0,112.0,47.0,42.0,45.0,31.0,0.0,17.0,22.0,7.0,13.0,0.0
2020-03,170.0,91.0,41.0,43.0,37.0,26.0,1.0,11.0,22.0,4.0,13.0,0.0
2020-04,144.0,98.0,22.0,46.0,31.0,41.0,2.0,13.0,19.0,4.0,3.0,0.0
2020-05,164.0,114.0,28.0,44.0,33.0,28.0,3.0,19.0,12.0,5.0,16.0,0.0
2020-06,169.0,115.0,39.0,37.0,30.0,26.0,1.0,15.0,10.0,5.0,11.0,0.0
2020-07,187.0,117.0,43.0,43.0,24.0,44.0,7.0,16.0,12.0,5.0,4.0,0.0
2020-08,222.0,113.0,31.0,49.0,44.0,23.0,47.0,18.0,17.0,6.0,7.0,0.0
2020-09,205.0,114.0,48.0,46.0,34.0,30.0,76.0,11.0,19.0,8.0,6.0,0.0
2020-10,224.0,129.0,53.0,47.0,40.0,37.0,159.0,31.0,18.0,6.0,12.0,0.0
2020-11,234.0,107.0,47.0,52.0,35.0,38.0,196.0,19.0,16.0,4.0,7.0,0.0
2020-12,234.0,110.0,48.0,44.0,44.0,40.0,160.0,14.0,10.0,8.0,5.0,0.0
2021-01,281.0,120.0,45.0,57.0,37.0,46.0,232.0,20.0,20.0,11.0,13.0,0.0
2021-02,203.0,102.0,42.0,44.0,25.0,32.0,99.0,1.0,12.0,7.0,4.0,0.0
2021-03,246.0,113.0,60.0,43.0,32.0,43.0,40.0,17.0,12.0,10.0,9.0,0.0
2021-04,225.0,105.0,48.0,40.0,35.0,41.0,203.0,9.0,13.0,7.0,5.0,0.0
2021-05,260.0,101.0,52.0,49.0,42.0,38.0,284.0,18.0,11.0,9.0,4.0,0.0
