YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,48.0,22.0,39.0,6.0,13.0,10.0,0.0,2.0,2.0,7.0,1.0,0.0
2014-02,42.0,14.0,25.0,8.0,8.0,14.0,0.0,3.0,4.0,5.0,2.0,0.0
2014-03,38.0,18.0,34.0,7.0,7.0,9.0,0.0,2.0,3.0,2.0,1.0,0.0
2014-04,45.0,24.0,18.0,7.0,7.0,9.0,0.0,2.0,0.0,2.0,1.0,0.0
2014-05,40.0,20.0,18.0,11.0,13.0,12.0,0.0,5.0,1.0,5.0,2.0,0.0
2014-06,48.0,17.0,32.0,12.0,6.0,6.0,0.0,4.0,0.0,3.0,3.0,0.0
2014-07,51.0,39.0,23.0,18.0,12.0,5.0,0.0,2.0,0.0,5.0,2.0,0.0
2014-08,43.0,22.0,29.0,9.0,10.0,6.0,0.0,4.0,0.0,5.0,1.0,0.0
2014-09,32.0,16.0,32.0,8.0,14.0,11.0,0.0,4.0,2.0,2.0,1.0,0.0
2014-10,40.0,18.0,17.0,10.0,8.0,7.0,0.0,7.0,3.0,1.0,0.0,0.0
2014-11,43.0,26.0,32.0,13.0,10.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0
2014-12,52.0,19.0,30.0,8.0,13.0,9.0,0.0,3.0,4.0,5.0,1.0,0.0
2015-01,46.0,26.0,43.0,11.0,10.0,6.0,0.0,7.0,4.0,3.0,1.0,0.0
2015-02,40.0,15.0,32.0,4.0,6.0,2.0,0.0,4.0,2.0,4.0,1.0,0.0
2015-03,55.0,15.0,30.0,5.0,11.0,13.0,0.0,8.0,1.0,6.0,1.0,0.0
2015-04,42.0,16.0,22.0,9.0,10.0,7.0,0.0,4.0,2.0,2.0,2.0,0.0
2015-05,42.0,24.0,28.0,7.0,6.0,3.0,0.0,5.0,1.0,10.0,2.0,0.0
2015-06,45.0,14.0,22.0,6.0,16.0,9.0,0.0,4.0,2.0,7.0,2.0,0.0
2015-07,58.0,19.0,39.0,14.0,6.0,11.0,0.0,10.0,2.0,3.0,0.0,0.0
2015-08,45.0,20.0,26.0,12.0,10.0,11.0,0.0,7.0,1.0,5.0,1.0,0.0
2015-09,48.0,21.0,32.0,12.0,15.0,8.0,0.0,5.0,2.0,5.0,0.0,0.0
2015-10,55.0,27.0,21.0,5.0,7.0,9.0,0.0,4.0,1.0,7.0,0.0,0.0
2015-11,40.0,27.0,29.0,10.0,10.0,5.0,0.0,3.0,1.0,5.0,1.0,0.0
2015-12,43.0,26.0,27.0,12.0,6.0,10.0,0.0,6.0,3.0,8.0,0.0,0.0
2016-01,85.0,17.0,21.0,14.0,12.0,8.0,0.0,7.0,3.0,4.0,0.0,0.0
2016-02,50.0,15.0,18.0,15.0,15.0,23.0,0.0,6.0,5.0,2.0,0.0,0.0
