YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,33.0,8.0,22.0,14.0,8.0,6.0,0.0,2.0,1.0,3.0,1.0,0.0
2014-02,20.0,15.0,24.0,6.0,4.0,9.0,0.0,1.0,3.0,5.0,3.0,0.0
2014-03,23.0,15.0,24.0,8.0,4.0,8.0,0.0,3.0,2.0,5.0,2.0,0.0
2014-04,28.0,19.0,21.0,13.0,6.0,8.0,0.0,1.0,3.0,6.0,1.0,0.0
2014-05,26.0,15.0,15.0,6.0,2.0,12.0,0.0,3.0,2.0,6.0,0.0,0.0
2014-06,32.0,11.0,24.0,16.0,8.0,8.0,0.0,8.0,0.0,3.0,5.0,0.0
2014-07,30.0,18.0,21.0,11.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
2014-08,28.0,23.0,7.0,10.0,4.0,7.0,0.0,6.0,2.0,5.0,1.0,0.0
2014-09,31.0,20.0,18.0,5.0,2.0,5.0,0.0,3.0,2.0,3.0,1.0,0.0
2014-10,25.0,17.0,24.0,8.0,8.0,6.0,0.0,7.0,0.0,3.0,2.0,0.0
2014-11,38.0,23.0,24.0,9.0,8.0,7.0,0.0,5.0,3.0,2.0,2.0,0.0
2014-12,24.0,15.0,25.0,8.0,6.0,3.0,0.0,3.0,1.0,4.0,0.0,0.0
2015-01,29.0,23.0,18.0,13.0,8.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0
2015-02,18.0,13.0,21.0,8.0,6.0,10.0,0.0,4.0,3.0,5.0,2.0,0.0
2015-03,22.0,16.0,23.0,10.0,4.0,8.0,0.0,6.0,2.0,6.0,3.0,0.0
2015-04,25.0,19.0,18.0,8.0,3.0,3.0,0.0,6.0,1.0,4.0,3.0,0.0
2015-05,28.0,15.0,13.0,8.0,4.0,8.0,0.0,5.0,2.0,1.0,1.0,0.0
2015-06,37.0,19.0,17.0,10.0,2.0,6.0,0.0,10.0,0.0,2.0,1.0,0.0
2015-07,27.0,24.0,17.0,13.0,3.0,7.0,0.0,5.0,2.0,2.0,2.0,0.0
2015-08,25.0,13.0,21.0,8.0,5.0,10.0,0.0,4.0,3.0,3.0,3.0,0.0
2015-09,30.0,11.0,22.0,11.0,7.0,7.0,0.0,1.0,3.0,3.0,0.0,0.0
2015-10,26.0,13.0,20.0,7.0,9.0,10.0,0.0,1.0,0.0,3.0,3.0,0.0
2015-11,32.0,16.0,17.0,13.0,5.0,9.0,0.0,2.0,3.0,0.0,1.0,0.0
2015-12,30.0,19.0,13.0,10.0,8.0,13.0,0.0,3.0,2.0,4.0,2.0,0.0
2016-01,50.0,17.0,23.0,7.0,3.0,12.0,0.0,5.0,3.0,1.0,0.0,0.0
2016-02,37.0,10.0,25.0,10.0,10.0,6.0,0.0,8.0,2.0,1.0,2.0,0.0
2016-03,41.0,23.0,20.0,20.0,9.0,5.0,0.0,7.0,3.0,7.0,0.0,0.0
2016-04,26.0,23.0,27.0,10.0,6.0,6.0,0.0,6.0,1.0,2.0,1.0,0.0
2016-05,35.0,28.0,11.0,14.0,6.0,6.0,0.0,7.0,1.0,5.0,0.0,0.0
2016-06,33.0,8.0,25.0,15.0,5.0,11.0,0.0,9.0,3.0,2.0,0.0,0.0
2016-07,34.0,25.0,17.0,11.0,5.0,11.0,0.0,5.0,2.0,2.0,0.0,0.0
2016-08,30.0,21.0,20.0,11.0,2.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0
2016-09,33.0,25.0,31.0,12.0,5.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0
2016-10,38.0,18.0,4.0,11.0,6.0,14.0,0.0,8.0,3.0,3.0,2.0,0.0
2016-11,37.0,13.0,27.0,7.0,2.0,8.0,0.0,5.0,1.0,1.0,1.0,0.0
2016-12,38.0,21.0,27.0,9.0,7.0,6.0,0.0,8.0,2.0,2.0,1.0,0.0
2017-01,32.0,25.0,14.0,8.0,3.0,6.0,0.0,9.0,3.0,2.0,0.0,0.0
2017-02,31.0,16.0,29.0,9.0,5.0,6.0,0.0,6.0,0.0,3.0,2.0,0.0
2017-03,30.0,22.0,18.0,17.0,5.0,11.0,0.0,3.0,1.0,5.0,0.0,0.0
2017-04,31.0,18.0,15.0,11.0,9.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0
2017-05,37.0,24.0,15.0,7.0,5.0,12.0,0.0,7.0,1.0,4.0,0.0,0.0
2017-06,30.0,24.0,22.0,11.0,6.0,8.0,0.0,4.0,3.0,3.0,0.0,0.0
2017-07,44.0,19.0,17.0,11.0,8.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0
2017-08,48.0,13.0,20.0,14.0,11.0,10.0,0.0,4.0,1.0,1.0,3.0,0.0
2017-09,23.0,18.0,20.0,8.0,6.0,11.0,0.0,3.0,0.0,1.0,3.0,0.0
2017-10,38.0,21.0,18.0,10.0,6.0,6.0,0.0,1.0,3.0,4.0,1.0,0.0
2017-11,26.0,22.0,20.0,5.0,6.0,9.0,0.0,4.0,1.0,4.0,0.0,0.0
2017-12,35.0,13.0,22.0,7.0,3.0,9.0,0.0,6.0,0.0,4.0,3.0,0.0
2018-01,31.0,26.0,18.0,8.0,4.0,10.0,0.0,2.0,6.0,3.0,0.0,0.0
2018-02,38.0,18.0,22.0,13.0,3.0,7.0,0.0,3.0,1.0,3.0,0.0,0.0
2018-03,44.0,18.0,13.0,12.0,8.0,8.0,0.0,4.0,1.0,3.0,3.0,0.0
2018-04,28.0,12.0,25.0,14.0,3.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0
2018-05,35.0,15.0,16.0,11.0,7.0,7.0,0.0,3.0,0.0,7.0,2.0,0.0
2018-06,42.0,10.0,23.0,14.0,5.0,8.0,0.0,7.0,3.0,3.0,3.0,0.0
2018-07,52.0,18.0,17.0,12.0,5.0,10.0,0.0,11.0,1.0,5.0,1.0,0.0
2018-08,32.0,28.0,15.0,11.0,3.0,7.0,0.0,8.0,3.0,5.0,2.0,0.0
2018-09,47.0,18.0,21.0,9.0,7.0,15.0,0.0,7.0,2.0,2.0,0.0,0.0
2018-10,34.0,10.0,15.0,10.0,6.0,9.0,0.0,6.0,1.0,2.0,3.0,0.0
2018-11,38.0,27.0,26.0,6.0,6.0,10.0,0.0,7.0,2.0,1.0,0.0,0.0
2018-12,41.0,20.0,19.0,5.0,4.0,14.0,0.0,4.0,0.0,2.0,1.0,0.0
2019-01,36.0,28.0,19.0,10.0,5.0,12.0,0.0,7.0,7.0,4.0,1.0,1.0
2019-02,38.0,14.0,23.0,15.0,11.0,9.0,0.0,10.0,3.0,2.0,0.0,0.0
2019-03,32.0,23.0,27.0,16.0,3.0,9.0,0.0,6.0,3.0,2.0,1.0,0.0
2019-04,36.0,23.0,23.0,14.0,5.0,8.0,0.0,5.0,1.0,1.0,1.0,0.0
2019-05,20.0,26.0,19.0,18.0,5.0,12.0,0.0,11.0,3.0,2.0,0.0,0.0
2019-06,36.0,20.0,31.0,12.0,5.0,11.0,0.0,5.0,1.0,2.0,0.0,1.0
2019-07,36.0,24.0,15.0,17.0,5.0,7.0,0.0,5.0,2.0,6.0,1.0,0.0
2019-08,43.0,31.0,21.0,13.0,6.0,7.0,0.0,5.0,2.0,1.0,1.0,0.0
2019-09,27.0,22.0,20.0,16.0,8.0,12.0,0.0,3.0,3.0,2.0,0.0,0.0
2019-10,43.0,25.0,29.0,8.0,9.0,9.0,0.0,6.0,2.0,3.0,1.0,0.0
2019-11,50.0,18.0,25.0,12.0,9.0,11.0,0.0,8.0,4.0,3.0,0.0,0.0
2019-12,29.0,21.0,42.0,9.0,8.0,8.0,0.0,12.0,3.0,2.0,1.0,0.0
2020-01,38.0,27.0,19.0,12.0,6.0,11.0,0.0,12.0,2.0,6.0,0.0,0.0
2020-02,38.0,14.0,21.0,10.0,3.0,13.0,0.0,8.0,2.0,3.0,1.0,0.0
2020-03,44.0,24.0,26.0,16.0,8.0,11.0,0.0,9.0,2.0,4.0,1.0,0.0
2020-04,45.0,23.0,18.0,6.0,9.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0
2020-05,39.0,11.0,16.0,10.0,3.0,12.0,0.0,9.0,4.0,4.0,0.0,0.0
2020-06,40.0,27.0,12.0,9.0,3.0,6.0,0.0,13.0,1.0,3.0,1.0,0.0
2020-07,39.0,28.0,26.0,17.0,2.0,6.0,8.0,9.0,3.0,3.0,0.0,0.0
2020-08,28.0,22.0,21.0,19.0,5.0,7.0,17.0,14.0,2.0,4.0,0.0,0.0
2020-09,38.0,23.0,26.0,15.0,8.0,10.0,30.0,11.0,2.0,7.0,1.0,0.0
2020-10,51.0,15.0,30.0,11.0,3.0,5.0,53.0,13.0,4.0,4.0,1.0,0.0
2020-11,43.0,18.0,26.0,13.0,5.0,10.0,59.0,14.0,1.0,6.0,0.0,0.0
2020-12,50.0,26.0,35.0,9.0,6.0,8.0,30.0,7.0,2.0,1.0,0.0,0.0
2021-01,48.0,16.0,34.0,14.0,8.0,6.0,57.0,5.0,2.0,8.0,0.0,0.0
2021-02,36.0,16.0,30.0,10.0,4.0,11.0,43.0,16.0,2.0,3.0,0.0,0.0
2021-03,45.0,27.0,21.0,16.0,4.0,8.0,18.0,4.0,6.0,5.0,0.0,0.0
2021-04,40.0,12.0,27.0,10.0,5.0,9.0,44.0,4.0,3.0,7.0,0.0,0.0
2021-05,48.0,21.0,27.0,9.0,3.0,11.0,137.0,18.0,4.0,18.0,1.0,0.0
2021-06,64.0,21.0,17.0,9.0,10.0,12.0,254.0,21.0,4.0,9.0,2.0,0.0
2021-07,57.0,24.0,19.0,15.0,4.0,4.0,133.0,16.0,2.0,7.0,1.0,0.0
2021-08,43.0,17.0,25.0,18.0,11.0,14.0,37.0,4.0,4.0,17.0,0.0,0.0
2021-09,39.0,31.0,29.0,12.0,7.0,9.0,6.0,2.0,5.0,8.0,0.0,0.0
2021-10,47.0,25.0,17.0,11.0,7.0,6.0,3.0,8.0,3.0,6.0,1.0,0.0
2021-11,45.0,24.0,36.0,10.0,5.0,6.0,6.0,14.0,2.0,4.0,0.0,0.0
2021-12,35.0,28.0,37.0,17.0,7.0,13.0,7.0,9.0,4.0,6.0,2.0,0.0
2022-01,61.0,31.0,27.0,13.0,8.0,10.0,15.0,14.0,1.0,10.0,2.0,0.0
2022-02,41.0,26.0,23.0,13.0,7.0,10.0,33.0,1.0,2.0,14.0,3.0,1.0
2022-03,41.0,25.0,23.0,7.0,7.0,10.0,11.0,4.0,6.0,7.0,1.0,0.0
2022-04,36.0,29.0,29.0,8.0,6.0,7.0,1.0,3.0,3.0,9.0,0.0,0.0
2022-05,51.0,32.0,25.0,16.0,15.0,9.0,4.0,7.0,3.0,3.0,1.0,0.0
2022-06,45.0,21.0,22.0,16.0,18.0,8.0,4.0,9.0,3.0,6.0,1.0,0.0
2022-07,58.0,13.0,20.0,6.0,18.0,16.0,7.0,8.0,1.0,2.0,0.0,0.0
2022-08,68.0,26.0,21.0,14.0,10.0,12.0,6.0,5.0,1.0,7.0,1.0,0.0
2022-09,43.0,22.0,31.0,8.0,10.0,12.0,2.0,3.0,1.0,6.0,2.0,0.0
2022-10,48.0,24.0,32.0,4.0,7.0,11.0,0.0,5.0,1.0,11.0,2.0,0.0
2022-11,46.0,25.0,21.0,13.0,11.0,13.0,0.0,5.0,5.0,3.0,4.0,0.0
2022-12,39.0,21.0,29.0,11.0,8.0,7.0,1.0,11.0,4.0,10.0,0.0,0.0
2023-01,58.0,24.0,31.0,8.0,12.0,15.0,2.0,4.0,2.0,3.0,0.0,0.0
2023-02,42.0,27.0,25.0,11.0,13.0,6.0,1.0,3.0,2.0,1.0,0.0,0.0
2023-03,45.0,20.0,25.0,10.0,6.0,7.0,0.0,3.0,5.0,5.0,1.0,0.0
2023-04,43.0,25.0,35.0,8.0,14.0,8.0,0.0,3.0,5.0,11.0,0.0,0.0
2023-05,62.0,30.0,34.0,9.0,13.0,14.0,0.0,5.0,2.0,3.0,0.0,0.0
