YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,133.0,80.0,87.0,25.0,37.0,23.0,0.0,23.0,15.0,12.0,4.0,0.0
2014-02,139.0,66.0,66.0,21.0,23.0,24.0,0.0,11.0,3.0,7.0,0.0,0.0
2014-03,120.0,75.0,65.0,24.0,26.0,28.0,0.0,16.0,13.0,15.0,2.0,0.0
2014-04,146.0,87.0,73.0,28.0,30.0,20.0,0.0,21.0,7.0,12.0,7.0,0.0
2014-05,125.0,84.0,65.0,37.0,46.0,28.0,0.0,13.0,6.0,11.0,4.0,0.0
2014-06,140.0,81.0,70.0,20.0,28.0,18.0,0.0,19.0,8.0,9.0,8.0,0.0
2014-07,129.0,79.0,94.0,20.0,24.0,36.0,0.0,15.0,10.0,14.0,3.0,0.0
2014-08,137.0,105.0,81.0,26.0,19.0,25.0,0.0,13.0,9.0,15.0,6.0,0.0
2014-09,149.0,78.0,79.0,22.0,26.0,20.0,0.0,17.0,11.0,8.0,5.0,0.0
2014-10,144.0,75.0,81.0,17.0,23.0,19.0,0.0,16.0,10.0,8.0,2.0,1.0
2014-11,141.0,91.0,76.0,24.0,23.0,27.0,0.0,20.0,11.0,10.0,6.0,0.0
2014-12,150.0,80.0,96.0,19.0,31.0,22.0,0.0,10.0,10.0,9.0,4.0,0.0
2015-01,144.0,88.0,89.0,33.0,35.0,22.0,0.0,10.0,8.0,14.0,8.0,0.0
2015-02,135.0,93.0,57.0,19.0,22.0,29.0,0.0,11.0,10.0,7.0,4.0,0.0
2015-03,146.0,94.0,81.0,36.0,22.0,33.0,0.0,24.0,9.0,12.0,7.0,0.0
2015-04,151.0,106.0,82.0,28.0,21.0,25.0,0.0,12.0,9.0,13.0,5.0,0.0
2015-05,145.0,92.0,90.0,30.0,28.0,32.0,0.0,23.0,11.0,10.0,4.0,0.0
2015-06,141.0,78.0,82.0,34.0,45.0,40.0,0.0,14.0,8.0,13.0,4.0,0.0
2015-07,135.0,84.0,98.0,30.0,21.0,25.0,0.0,17.0,10.0,14.0,5.0,0.0
2015-08,131.0,89.0,103.0,23.0,27.0,18.0,0.0,16.0,7.0,8.0,2.0,0.0
2015-09,149.0,93.0,94.0,33.0,40.0,21.0,0.0,15.0,11.0,7.0,4.0,0.0
2015-10,124.0,105.0,64.0,30.0,24.0,33.0,0.0,14.0,10.0,11.0,6.0,0.0
2015-11,138.0,83.0,109.0,19.0,34.0,26.0,0.0,16.0,5.0,11.0,3.0,0.0
2015-12,128.0,95.0,98.0,31.0,48.0,29.0,0.0,11.0,13.0,12.0,3.0,0.0
2016-01,155.0,105.0,78.0,19.0,33.0,28.0,0.0,17.0,18.0,6.0,6.0,0.0
2016-02,144.0,90.0,79.0,38.0,24.0,27.0,0.0,18.0,8.0,10.0,5.0,0.0
2016-03,146.0,98.0,93.0,28.0,17.0,32.0,0.0,27.0,12.0,10.0,6.0,0.0
2016-04,156.0,89.0,73.0,31.0,26.0,25.0,0.0,15.0,14.0,14.0,3.0,0.0
2016-05,188.0,82.0,91.0,31.0,42.0,26.0,0.0,24.0,15.0,19.0,7.0,0.0
2016-06,147.0,75.0,81.0,31.0,23.0,26.0,0.0,24.0,11.0,15.0,5.0,0.0
2016-07,184.0,91.0,120.0,29.0,24.0,16.0,0.0,18.0,11.0,13.0,6.0,0.0
2016-08,164.0,99.0,85.0,24.0,41.0,24.0,0.0,29.0,9.0,13.0,7.0,0.0
2016-09,131.0,74.0,91.0,25.0,29.0,20.0,0.0,21.0,7.0,13.0,4.0,0.0
2016-10,143.0,92.0,86.0,30.0,23.0,24.0,0.0,27.0,4.0,11.0,8.0,0.0
2016-11,149.0,92.0,90.0,23.0,35.0,33.0,0.0,36.0,5.0,10.0,2.0,0.0
2016-12,152.0,82.0,103.0,23.0,28.0,25.0,0.0,33.0,20.0,13.0,6.0,0.0
2017-01,203.0,92.0,82.0,29.0,47.0,22.0,0.0,29.0,4.0,9.0,8.0,0.0
2017-02,130.0,93.0,78.0,26.0,30.0,16.0,0.0,19.0,10.0,18.0,2.0,0.0
2017-03,170.0,93.0,88.0,31.0,41.0,29.0,0.0,34.0,12.0,11.0,4.0,0.0
2017-04,170.0,79.0,84.0,32.0,29.0,24.0,0.0,17.0,7.0,10.0,5.0,0.0
2017-05,159.0,103.0,71.0,33.0,26.0,25.0,0.0,29.0,13.0,5.0,6.0,0.0
2017-06,158.0,86.0,76.0,21.0,40.0,27.0,0.0,20.0,12.0,10.0,9.0,0.0
2017-07,173.0,91.0,80.0,28.0,29.0,14.0,0.0,20.0,10.0,12.0,4.0,0.0
2017-08,188.0,96.0,94.0,31.0,32.0,23.0,0.0,15.0,13.0,13.0,4.0,0.0
2017-09,152.0,104.0,76.0,24.0,28.0,35.0,0.0,16.0,7.0,6.0,7.0,0.0
2017-10,170.0,91.0,94.0,24.0,30.0,21.0,0.0,33.0,7.0,15.0,4.0,0.0
2017-11,147.0,89.0,83.0,26.0,26.0,31.0,0.0,26.0,8.0,5.0,6.0,0.0
2017-12,160.0,87.0,112.0,35.0,46.0,25.0,0.0,30.0,10.0,13.0,7.0,0.0
2018-01,193.0,102.0,106.0,34.0,26.0,24.0,0.0,24.0,10.0,9.0,4.0,0.0
2018-02,167.0,82.0,70.0,24.0,31.0,30.0,0.0,18.0,9.0,12.0,4.0,0.0
2018-03,184.0,97.0,88.0,30.0,34.0,28.0,0.0,28.0,17.0,15.0,5.0,0.0
2018-04,167.0,111.0,84.0,32.0,41.0,29.0,0.0,22.0,15.0,11.0,5.0,0.0
2018-05,170.0,92.0,70.0,38.0,41.0,32.0,0.0,9.0,10.0,15.0,6.0,0.0
2018-06,201.0,104.0,105.0,37.0,50.0,24.0,0.0,23.0,11.0,18.0,2.0,0.0
2018-07,167.0,86.0,112.0,25.0,34.0,31.0,0.0,27.0,9.0,11.0,6.0,0.0
2018-08,165.0,105.0,96.0,23.0,41.0,25.0,0.0,19.0,12.0,17.0,5.0,0.0
2018-09,142.0,97.0,94.0,31.0,35.0,20.0,0.0,27.0,8.0,15.0,5.0,0.0
2018-10,179.0,96.0,125.0,21.0,33.0,28.0,0.0,23.0,12.0,11.0,8.0,0.0
2018-11,168.0,112.0,95.0,30.0,31.0,22.0,0.0,17.0,6.0,11.0,2.0,0.0
2018-12,177.0,114.0,108.0,28.0,38.0,31.0,0.0,29.0,7.0,12.0,6.0,0.0
2019-01,191.0,97.0,103.0,36.0,29.0,31.0,0.0,14.0,6.0,12.0,4.0,0.0
2019-02,148.0,88.0,94.0,28.0,57.0,17.0,0.0,11.0,6.0,14.0,6.0,0.0
2019-03,182.0,93.0,99.0,35.0,35.0,28.0,0.0,12.0,9.0,15.0,3.0,0.0
2019-04,170.0,114.0,96.0,33.0,25.0,25.0,0.0,15.0,14.0,21.0,2.0,0.0
2019-05,164.0,101.0,104.0,38.0,34.0,27.0,0.0,12.0,11.0,15.0,4.0,0.0
