YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,115.0,46.0,90.0,33.0,26.0,19.0,0.0,6.0,4.0,9.0,2.0,0.0
2014-02,85.0,55.0,29.0,29.0,17.0,10.0,0.0,4.0,10.0,9.0,4.0,0.0
2014-03,97.0,68.0,35.0,29.0,22.0,32.0,0.0,8.0,5.0,14.0,5.0,0.0
2014-04,102.0,51.0,28.0,20.0,17.0,22.0,0.0,5.0,5.0,7.0,1.0,0.0
2014-05,108.0,58.0,43.0,30.0,24.0,14.0,0.0,5.0,6.0,10.0,3.0,0.0
2014-06,112.0,48.0,53.0,31.0,26.0,25.0,0.0,8.0,4.0,11.0,1.0,0.0
2014-07,137.0,55.0,27.0,45.0,27.0,20.0,0.0,3.0,14.0,11.0,3.0,0.0
2014-08,110.0,45.0,44.0,17.0,19.0,20.0,0.0,2.0,6.0,9.0,2.0,0.0
2014-09,93.0,44.0,43.0,17.0,14.0,16.0,0.0,5.0,5.0,6.0,2.0,0.0
2014-10,98.0,59.0,33.0,34.0,20.0,21.0,0.0,3.0,8.0,13.0,3.0,0.0
2014-11,100.0,46.0,49.0,26.0,21.0,24.0,0.0,5.0,6.0,7.0,2.0,0.0
2014-12,121.0,68.0,42.0,39.0,26.0,23.0,0.0,5.0,4.0,7.0,4.0,0.0
2015-01,130.0,59.0,46.0,38.0,29.0,34.0,0.0,4.0,4.0,12.0,6.0,0.0
2015-02,99.0,58.0,48.0,26.0,24.0,21.0,0.0,6.0,0.0,10.0,2.0,0.0
2015-03,132.0,49.0,50.0,32.0,15.0,30.0,0.0,6.0,5.0,18.0,1.0,0.0
2015-04,106.0,61.0,48.0,22.0,15.0,18.0,0.0,5.0,7.0,9.0,2.0,0.0
2015-05,103.0,63.0,54.0,39.0,24.0,28.0,0.0,4.0,3.0,9.0,4.0,0.0
2015-06,120.0,74.0,48.0,35.0,28.0,20.0,0.0,2.0,8.0,8.0,5.0,0.0
2015-07,125.0,49.0,49.0,37.0,30.0,23.0,0.0,5.0,5.0,15.0,2.0,0.0
2015-08,109.0,53.0,32.0,35.0,26.0,15.0,0.0,7.0,7.0,13.0,3.0,0.0
2015-09,101.0,57.0,38.0,36.0,27.0,25.0,0.0,3.0,3.0,11.0,1.0,0.0
2015-10,115.0,47.0,42.0,37.0,36.0,32.0,0.0,8.0,7.0,7.0,6.0,0.0
2015-11,117.0,72.0,46.0,36.0,20.0,20.0,0.0,11.0,3.0,15.0,1.0,0.0
2015-12,132.0,61.0,61.0,31.0,18.0,26.0,0.0,6.0,4.0,12.0,7.0,0.0
2016-01,116.0,62.0,57.0,32.0,27.0,33.0,0.0,5.0,7.0,9.0,5.0,0.0
2016-02,99.0,50.0,43.0,30.0,25.0,18.0,0.0,10.0,5.0,13.0,3.0,0.0
2016-03,113.0,61.0,41.0,43.0,23.0,17.0,0.0,17.0,5.0,13.0,4.0,0.0
2016-04,103.0,45.0,53.0,32.0,24.0,19.0,0.0,14.0,7.0,8.0,6.0,0.0
2016-05,123.0,63.0,33.0,33.0,24.0,31.0,0.0,12.0,4.0,6.0,3.0,0.0
2016-06,116.0,67.0,45.0,42.0,29.0,35.0,0.0,8.0,6.0,10.0,4.0,0.0
2016-07,92.0,66.0,55.0,43.0,25.0,24.0,0.0,18.0,5.0,12.0,5.0,0.0
2016-08,99.0,47.0,49.0,29.0,23.0,23.0,0.0,17.0,5.0,7.0,3.0,0.0
2016-09,119.0,54.0,29.0,26.0,39.0,19.0,0.0,15.0,9.0,10.0,3.0,0.0
2016-10,94.0,56.0,39.0,31.0,29.0,24.0,0.0,17.0,8.0,9.0,5.0,0.0
2016-11,110.0,64.0,43.0,33.0,22.0,18.0,0.0,14.0,6.0,10.0,2.0,0.0
2016-12,118.0,67.0,46.0,41.0,29.0,24.0,0.0,16.0,4.0,14.0,0.0,0.0
2017-01,127.0,61.0,49.0,38.0,28.0,21.0,0.0,14.0,2.0,19.0,1.0,0.0
2017-02,88.0,56.0,43.0,14.0,23.0,33.0,0.0,10.0,3.0,9.0,0.0,0.0
2017-03,96.0,65.0,64.0,27.0,19.0,16.0,0.0,12.0,1.0,16.0,0.0,0.0
2017-04,117.0,41.0,43.0,30.0,30.0,12.0,0.0,16.0,1.0,8.0,1.0,0.0
2017-05,105.0,70.0,56.0,39.0,16.0,20.0,0.0,11.0,3.0,8.0,1.0,0.0
2017-06,110.0,70.0,45.0,26.0,26.0,22.0,0.0,9.0,5.0,6.0,3.0,0.0
2017-07,118.0,61.0,48.0,35.0,26.0,18.0,0.0,13.0,5.0,11.0,3.0,0.0
