YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,30.0,11.0,24.0,7.0,3.0,9.0,0.0,3.0,2.0,4.0,1.0,0.0
2014-02,22.0,14.0,23.0,12.0,3.0,6.0,0.0,6.0,0.0,3.0,0.0,0.0
2014-03,35.0,16.0,28.0,7.0,5.0,7.0,0.0,4.0,0.0,2.0,0.0,0.0
2014-04,33.0,11.0,18.0,11.0,3.0,9.0,0.0,6.0,4.0,3.0,0.0,0.0
2014-05,34.0,13.0,15.0,13.0,9.0,8.0,0.0,6.0,0.0,3.0,0.0,0.0
2014-06,31.0,19.0,15.0,7.0,9.0,5.0,0.0,9.0,2.0,5.0,1.0,0.0
2014-07,47.0,18.0,8.0,2.0,5.0,7.0,0.0,6.0,4.0,5.0,0.0,0.0
2014-08,31.0,16.0,12.0,6.0,4.0,2.0,0.0,9.0,0.0,6.0,1.0,0.0
2014-09,28.0,9.0,20.0,13.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0
2014-10,30.0,24.0,19.0,6.0,2.0,3.0,0.0,8.0,2.0,5.0,0.0,0.0
2014-11,21.0,12.0,17.0,7.0,4.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0
2014-12,30.0,12.0,26.0,10.0,3.0,3.0,0.0,7.0,2.0,4.0,0.0,0.0
2015-01,35.0,16.0,19.0,14.0,6.0,7.0,0.0,2.0,1.0,6.0,0.0,0.0
2015-02,32.0,12.0,11.0,11.0,2.0,4.0,0.0,5.0,0.0,2.0,1.0,0.0
2015-03,37.0,12.0,25.0,18.0,9.0,6.0,0.0,4.0,3.0,7.0,1.0,0.0
2015-04,31.0,17.0,12.0,18.0,6.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0
2015-05,34.0,12.0,23.0,10.0,6.0,2.0,0.0,5.0,1.0,4.0,0.0,0.0
2015-06,47.0,16.0,26.0,8.0,5.0,4.0,0.0,5.0,2.0,2.0,0.0,0.0
2015-07,36.0,11.0,30.0,10.0,3.0,2.0,0.0,11.0,3.0,4.0,0.0,0.0
2015-08,33.0,11.0,18.0,6.0,5.0,7.0,0.0,13.0,1.0,4.0,1.0,0.0
2015-09,34.0,10.0,16.0,14.0,3.0,2.0,0.0,3.0,3.0,4.0,0.0,0.0
2015-10,32.0,11.0,15.0,9.0,4.0,4.0,0.0,6.0,1.0,5.0,0.0,0.0
2015-11,36.0,17.0,24.0,10.0,5.0,5.0,0.0,7.0,1.0,6.0,1.0,0.0
2015-12,36.0,8.0,19.0,15.0,3.0,4.0,0.0,7.0,2.0,7.0,1.0,0.0
2016-01,29.0,16.0,24.0,12.0,7.0,3.0,0.0,7.0,3.0,2.0,0.0,0.0
2016-02,24.0,12.0,10.0,15.0,5.0,7.0,0.0,8.0,4.0,5.0,0.0,0.0
2016-03,31.0,17.0,12.0,13.0,2.0,3.0,0.0,5.0,5.0,4.0,2.0,0.0
2016-04,30.0,21.0,26.0,13.0,1.0,3.0,0.0,8.0,0.0,4.0,0.0,0.0
2016-05,31.0,18.0,20.0,15.0,2.0,6.0,0.0,8.0,0.0,12.0,0.0,0.0
2016-06,43.0,10.0,31.0,19.0,6.0,2.0,0.0,12.0,1.0,12.0,1.0,0.0
2016-07,41.0,9.0,9.0,15.0,3.0,8.0,0.0,13.0,1.0,5.0,1.0,0.0
2016-08,27.0,17.0,17.0,13.0,4.0,5.0,0.0,7.0,0.0,9.0,0.0,0.0
2016-09,40.0,7.0,20.0,9.0,4.0,8.0,0.0,6.0,1.0,5.0,0.0,0.0
2016-10,31.0,10.0,20.0,9.0,8.0,7.0,0.0,8.0,0.0,7.0,0.0,0.0
2016-11,32.0,6.0,19.0,7.0,5.0,4.0,0.0,5.0,1.0,4.0,1.0,0.0
2016-12,39.0,12.0,23.0,15.0,6.0,1.0,0.0,9.0,3.0,2.0,0.0,0.0
2017-01,34.0,13.0,28.0,12.0,5.0,6.0,0.0,7.0,2.0,5.0,1.0,0.0
2017-02,27.0,17.0,21.0,9.0,6.0,9.0,0.0,7.0,1.0,5.0,0.0,0.0
2017-03,38.0,10.0,25.0,9.0,4.0,10.0,0.0,10.0,0.0,5.0,0.0,0.0
