YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,396.0,147.0,98.0,69.0,113.0,73.0,0.0,20.0,17.0,13.0,11.0,1.0
2014-02,385.0,147.0,94.0,50.0,80.0,61.0,0.0,13.0,11.0,17.0,10.0,0.0
2014-03,371.0,184.0,92.0,82.0,112.0,58.0,0.0,23.0,15.0,13.0,5.0,0.0
2014-04,404.0,177.0,85.0,70.0,116.0,77.0,0.0,27.0,10.0,20.0,10.0,0.0
2014-05,402.0,210.0,70.0,79.0,101.0,73.0,0.0,15.0,16.0,18.0,8.0,0.0
2014-06,391.0,168.0,87.0,69.0,109.0,56.0,0.0,22.0,11.0,17.0,4.0,0.0
2014-07,398.0,200.0,82.0,53.0,92.0,65.0,0.0,19.0,15.0,21.0,15.0,0.0
2014-08,370.0,170.0,89.0,65.0,68.0,57.0,0.0,23.0,20.0,12.0,6.0,0.0
2014-09,366.0,175.0,86.0,66.0,90.0,65.0,0.0,23.0,9.0,17.0,9.0,0.0
2014-10,374.0,199.0,104.0,64.0,93.0,77.0,0.0,28.0,10.0,15.0,14.0,0.0
2014-11,385.0,194.0,79.0,68.0,103.0,66.0,0.0,24.0,9.0,8.0,6.0,0.0
2014-12,433.0,190.0,99.0,75.0,105.0,68.0,0.0,20.0,11.0,17.0,6.0,0.0
2015-01,417.0,165.0,103.0,86.0,105.0,82.0,0.0,26.0,15.0,19.0,6.0,0.0
2015-02,384.0,171.0,107.0,69.0,65.0,72.0,0.0,24.0,14.0,20.0,7.0,0.0
2015-03,406.0,198.0,134.0,68.0,101.0,65.0,0.0,29.0,22.0,18.0,9.0,0.0
2015-04,350.0,194.0,99.0,78.0,95.0,69.0,0.0,34.0,17.0,21.0,7.0,0.0
2015-05,401.0,174.0,114.0,80.0,110.0,65.0,0.0,18.0,11.0,37.0,11.0,0.0
2015-06,341.0,170.0,75.0,85.0,101.0,61.0,0.0,23.0,14.0,21.0,8.0,0.0
2015-07,395.0,187.0,88.0,84.0,93.0,76.0,0.0,18.0,14.0,21.0,11.0,0.0
2015-08,413.0,193.0,79.0,91.0,105.0,81.0,0.0,16.0,20.0,25.0,14.0,0.0
2015-09,417.0,195.0,68.0,78.0,121.0,66.0,0.0,28.0,23.0,22.0,5.0,1.0
2015-10,453.0,184.0,102.0,74.0,104.0,84.0,0.0,13.0,14.0,23.0,13.0,0.0
2015-11,405.0,174.0,98.0,67.0,90.0,91.0,0.0,17.0,21.0,18.0,6.0,0.0
2015-12,428.0,210.0,93.0,90.0,111.0,88.0,0.0,22.0,24.0,19.0,12.0,0.0
2016-01,434.0,218.0,105.0,89.0,102.0,88.0,0.0,40.0,14.0,21.0,10.0,0.0
2016-02,381.0,193.0,87.0,78.0,88.0,71.0,0.0,37.0,21.0,20.0,6.0,0.0
2016-03,403.0,193.0,96.0,80.0,101.0,92.0,0.0,41.0,19.0,20.0,15.0,0.0
2016-04,383.0,181.0,89.0,77.0,82.0,63.0,0.0,32.0,18.0,16.0,11.0,0.0
2016-05,428.0,209.0,109.0,120.0,126.0,67.0,0.0,55.0,25.0,19.0,13.0,0.0
2016-06,477.0,199.0,87.0,97.0,151.0,82.0,0.0,39.0,18.0,21.0,10.0,0.0
2016-07,398.0,177.0,91.0,79.0,121.0,82.0,0.0,21.0,22.0,13.0,10.0,0.0
2016-08,402.0,186.0,93.0,81.0,108.0,67.0,0.0,41.0,14.0,19.0,13.0,0.0
2016-09,379.0,165.0,108.0,55.0,68.0,75.0,0.0,47.0,15.0,25.0,8.0,0.0
2016-10,408.0,186.0,81.0,84.0,107.0,69.0,0.0,27.0,28.0,24.0,10.0,0.0
2016-11,385.0,173.0,80.0,72.0,93.0,49.0,0.0,34.0,19.0,14.0,9.0,0.0
2016-12,426.0,160.0,127.0,78.0,109.0,75.0,0.0,44.0,16.0,21.0,14.0,0.0
2017-01,489.0,188.0,99.0,86.0,129.0,72.0,0.0,32.0,24.0,16.0,15.0,0.0
2017-02,399.0,172.0,98.0,97.0,87.0,78.0,0.0,36.0,17.0,10.0,8.0,0.0
2017-03,403.0,219.0,77.0,72.0,98.0,59.0,0.0,31.0,20.0,17.0,11.0,0.0
2017-04,399.0,189.0,97.0,95.0,107.0,84.0,0.0,27.0,18.0,23.0,15.0,0.0
2017-05,401.0,192.0,123.0,85.0,118.0,84.0,0.0,52.0,22.0,14.0,13.0,0.0
2017-06,394.0,209.0,99.0,84.0,118.0,72.0,0.0,37.0,16.0,22.0,14.0,0.0
2017-07,431.0,180.0,92.0,81.0,113.0,69.0,0.0,50.0,10.0,33.0,13.0,0.0
2017-08,405.0,204.0,80.0,83.0,111.0,78.0,0.0,39.0,18.0,16.0,7.0,0.0
2017-09,371.0,208.0,68.0,78.0,95.0,74.0,0.0,31.0,18.0,17.0,11.0,0.0
2017-10,407.0,221.0,93.0,69.0,94.0,82.0,0.0,43.0,25.0,14.0,8.0,0.0
2017-11,354.0,167.0,91.0,79.0,111.0,74.0,0.0,40.0,16.0,20.0,16.0,0.0
2017-12,448.0,203.0,114.0,91.0,97.0,86.0,0.0,49.0,26.0,21.0,8.0,0.0
2018-01,443.0,226.0,94.0,74.0,106.0,66.0,0.0,12.0,21.0,19.0,14.0,0.0
2018-02,390.0,177.0,87.0,78.0,88.0,73.0,0.0,25.0,11.0,18.0,3.0,0.0
2018-03,443.0,203.0,84.0,88.0,88.0,91.0,0.0,39.0,16.0,20.0,10.0,0.0
