YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,193.0,72.0,60.0,43.0,34.0,43.0,0.0,19.0,8.0,19.0,3.0,0.0
2014-02,175.0,72.0,39.0,28.0,40.0,28.0,0.0,8.0,3.0,11.0,5.0,0.0
2014-03,188.0,84.0,50.0,51.0,42.0,36.0,0.0,11.0,9.0,14.0,7.0,0.0
2014-04,193.0,85.0,49.0,41.0,37.0,46.0,0.0,13.0,4.0,5.0,8.0,0.0
2014-05,184.0,79.0,44.0,36.0,35.0,38.0,0.0,23.0,5.0,17.0,3.0,0.0
2014-06,210.0,63.0,49.0,59.0,48.0,36.0,0.0,19.0,3.0,11.0,6.0,0.0
2014-07,220.0,85.0,52.0,53.0,53.0,48.0,0.0,13.0,7.0,20.0,8.0,0.0
2014-08,186.0,92.0,53.0,45.0,38.0,41.0,0.0,9.0,11.0,12.0,11.0,0.0
2014-09,170.0,95.0,46.0,43.0,43.0,42.0,0.0,16.0,6.0,12.0,5.0,0.0
2014-10,237.0,73.0,55.0,46.0,38.0,43.0,0.0,11.0,3.0,10.0,5.0,0.0
2014-11,206.0,95.0,30.0,63.0,50.0,45.0,0.0,13.0,8.0,20.0,3.0,0.0
2014-12,243.0,93.0,42.0,75.0,74.0,56.0,0.0,9.0,8.0,16.0,6.0,0.0
2015-01,241.0,82.0,63.0,64.0,51.0,57.0,0.0,5.0,8.0,23.0,4.0,0.0
2015-02,219.0,71.0,36.0,48.0,28.0,41.0,0.0,3.0,7.0,19.0,8.0,0.0
2015-03,220.0,89.0,64.0,68.0,39.0,46.0,0.0,7.0,16.0,21.0,2.0,0.0
2015-04,195.0,78.0,50.0,38.0,43.0,39.0,0.0,6.0,7.0,19.0,4.0,0.0
2015-05,201.0,100.0,37.0,48.0,41.0,53.0,0.0,5.0,8.0,19.0,4.0,0.0
2015-06,238.0,80.0,49.0,56.0,54.0,48.0,0.0,8.0,15.0,20.0,2.0,0.0
2015-07,247.0,94.0,42.0,80.0,49.0,47.0,0.0,2.0,11.0,21.0,6.0,0.0
2015-08,234.0,76.0,38.0,59.0,50.0,49.0,0.0,6.0,5.0,22.0,5.0,0.0
2015-09,188.0,96.0,40.0,46.0,37.0,38.0,0.0,6.0,13.0,17.0,4.0,0.0
