YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,177.0,89.0,70.0,40.0,29.0,31.0,0.0,4.0,9.0,10.0,3.0,0.0
2014-02,112.0,70.0,44.0,30.0,23.0,35.0,0.0,4.0,12.0,8.0,5.0,0.0
2014-03,159.0,89.0,56.0,29.0,31.0,35.0,0.0,4.0,10.0,10.0,4.0,0.0
2014-04,139.0,81.0,39.0,28.0,39.0,24.0,0.0,4.0,7.0,7.0,1.0,0.0
2014-05,137.0,88.0,41.0,20.0,28.0,35.0,0.0,4.0,3.0,9.0,4.0,1.0
2014-06,158.0,86.0,64.0,30.0,28.0,29.0,0.0,4.0,13.0,14.0,4.0,0.0
2014-07,168.0,83.0,53.0,33.0,36.0,25.0,0.0,6.0,13.0,7.0,3.0,0.0
2014-08,165.0,96.0,60.0,33.0,35.0,25.0,0.0,5.0,4.0,10.0,3.0,0.0
2014-09,147.0,72.0,56.0,31.0,25.0,35.0,0.0,5.0,8.0,8.0,8.0,0.0
2014-10,154.0,83.0,71.0,22.0,20.0,21.0,0.0,10.0,10.0,7.0,3.0,0.0
2014-11,134.0,86.0,51.0,16.0,30.0,25.0,0.0,3.0,9.0,13.0,5.0,0.0
2014-12,180.0,91.0,72.0,25.0,32.0,26.0,0.0,4.0,11.0,8.0,5.0,0.0
2015-01,218.0,81.0,64.0,45.0,40.0,37.0,0.0,7.0,10.0,13.0,7.0,0.0
2015-02,166.0,86.0,67.0,40.0,38.0,31.0,0.0,5.0,7.0,16.0,4.0,0.0
2015-03,156.0,108.0,79.0,58.0,47.0,35.0,0.0,3.0,10.0,20.0,4.0,0.0
2015-04,162.0,103.0,45.0,35.0,28.0,30.0,0.0,5.0,8.0,12.0,5.0,0.0
2015-05,152.0,84.0,62.0,39.0,30.0,36.0,0.0,4.0,12.0,16.0,5.0,0.0
2015-06,152.0,95.0,56.0,33.0,35.0,32.0,0.0,4.0,6.0,14.0,2.0,0.0
2015-07,149.0,98.0,56.0,43.0,47.0,21.0,0.0,1.0,11.0,11.0,4.0,0.0
2015-08,168.0,80.0,56.0,38.0,43.0,33.0,0.0,5.0,10.0,7.0,2.0,0.0
2015-09,153.0,92.0,56.0,49.0,47.0,32.0,0.0,4.0,11.0,13.0,8.0,0.0
2015-10,141.0,101.0,62.0,28.0,40.0,42.0,0.0,0.0,16.0,14.0,3.0,0.0
2015-11,173.0,90.0,68.0,40.0,39.0,31.0,0.0,6.0,9.0,15.0,3.0,0.0
2015-12,171.0,106.0,64.0,48.0,43.0,27.0,0.0,6.0,13.0,10.0,5.0,0.0
2016-01,195.0,100.0,82.0,59.0,44.0,37.0,0.0,16.0,19.0,8.0,5.0,0.0
2016-02,156.0,89.0,27.0,39.0,43.0,31.0,0.0,15.0,14.0,15.0,3.0,0.0
2016-03,170.0,84.0,59.0,41.0,34.0,25.0,0.0,23.0,10.0,13.0,5.0,0.0
2016-04,123.0,84.0,52.0,27.0,31.0,38.0,0.0,13.0,14.0,17.0,5.0,0.0
2016-05,157.0,94.0,71.0,38.0,39.0,33.0,0.0,19.0,16.0,15.0,6.0,0.0
2016-06,176.0,72.0,70.0,47.0,48.0,29.0,0.0,16.0,16.0,14.0,3.0,0.0
2016-07,180.0,96.0,67.0,47.0,34.0,27.0,0.0,17.0,15.0,13.0,3.0,0.0
2016-08,153.0,92.0,61.0,32.0,33.0,28.0,0.0,17.0,20.0,7.0,5.0,0.0
2016-09,158.0,84.0,53.0,32.0,36.0,35.0,0.0,10.0,17.0,11.0,1.0,0.0
2016-10,175.0,104.0,74.0,28.0,43.0,30.0,0.0,18.0,9.0,19.0,2.0,0.0
2016-11,141.0,91.0,54.0,27.0,34.0,31.0,0.0,26.0,10.0,17.0,4.0,0.0
2016-12,172.0,99.0,69.0,49.0,44.0,36.0,0.0,19.0,15.0,17.0,4.0,0.0
2017-01,205.0,92.0,71.0,37.0,56.0,42.0,0.0,19.0,8.0,11.0,4.0,0.0
2017-02,160.0,84.0,43.0,37.0,34.0,31.0,0.0,9.0,20.0,11.0,2.0,0.0
2017-03,172.0,90.0,41.0,33.0,32.0,34.0,0.0,21.0,11.0,12.0,2.0,1.0
2017-04,165.0,87.0,69.0,37.0,30.0,32.0,0.0,12.0,10.0,12.0,5.0,0.0
2017-05,140.0,91.0,72.0,30.0,34.0,38.0,0.0,16.0,15.0,10.0,2.0,0.0
2017-06,169.0,99.0,65.0,45.0,33.0,33.0,0.0,7.0,8.0,20.0,4.0,1.0
2017-07,187.0,96.0,59.0,35.0,39.0,38.0,0.0,5.0,14.0,16.0,4.0,0.0
2017-08,153.0,93.0,52.0,32.0,26.0,28.0,0.0,15.0,11.0,14.0,7.0,0.0
2017-09,145.0,89.0,51.0,42.0,36.0,38.0,0.0,20.0,20.0,8.0,11.0,0.0
2017-10,142.0,93.0,59.0,41.0,40.0,19.0,0.0,7.0,7.0,12.0,2.0,0.0
2017-11,143.0,82.0,65.0,26.0,29.0,30.0,0.0,9.0,13.0,10.0,4.0,0.0
2017-12,185.0,81.0,60.0,41.0,33.0,28.0,0.0,12.0,11.0,9.0,1.0,0.0
2018-01,202.0,76.0,57.0,45.0,28.0,30.0,0.0,9.0,11.0,11.0,3.0,0.0
2018-02,160.0,72.0,57.0,35.0,35.0,24.0,0.0,11.0,10.0,6.0,3.0,0.0
2018-03,182.0,119.0,59.0,41.0,28.0,28.0,0.0,13.0,9.0,12.0,7.0,0.0
2018-04,156.0,72.0,54.0,33.0,35.0,27.0,0.0,10.0,9.0,17.0,5.0,0.0
2018-05,185.0,89.0,65.0,43.0,38.0,29.0,0.0,13.0,10.0,16.0,3.0,0.0
2018-06,199.0,98.0,64.0,50.0,40.0,42.0,0.0,3.0,17.0,15.0,8.0,0.0
2018-07,199.0,88.0,60.0,36.0,40.0,27.0,0.0,15.0,25.0,15.0,2.0,0.0
2018-08,193.0,95.0,60.0,52.0,32.0,28.0,0.0,24.0,10.0,12.0,5.0,0.0
