YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,29.0,17.0,15.0,11.0,10.0,13.0,0.0,9.0,0.0,7.0,2.0,0.0
2014-02,23.0,24.0,13.0,12.0,4.0,13.0,0.0,8.0,2.0,5.0,0.0,0.0
2014-03,33.0,14.0,27.0,12.0,9.0,5.0,0.0,4.0,2.0,12.0,1.0,0.0
2014-04,24.0,18.0,19.0,8.0,6.0,9.0,0.0,3.0,1.0,3.0,0.0,0.0
2014-05,28.0,17.0,22.0,12.0,11.0,5.0,0.0,5.0,1.0,6.0,2.0,0.0
2014-06,37.0,13.0,31.0,19.0,5.0,13.0,0.0,6.0,2.0,9.0,1.0,0.0
2014-07,37.0,20.0,19.0,12.0,8.0,7.0,0.0,8.0,3.0,9.0,1.0,0.0
2014-08,25.0,17.0,30.0,13.0,8.0,9.0,0.0,4.0,2.0,10.0,4.0,0.0
2014-09,29.0,28.0,22.0,11.0,4.0,6.0,0.0,5.0,0.0,8.0,2.0,0.0
2014-10,51.0,19.0,23.0,14.0,10.0,18.0,0.0,7.0,4.0,10.0,1.0,0.0
2014-11,38.0,24.0,25.0,20.0,19.0,11.0,0.0,11.0,0.0,16.0,2.0,0.0
2014-12,50.0,19.0,40.0,13.0,11.0,14.0,0.0,9.0,2.0,8.0,4.0,0.0
2015-01,50.0,27.0,22.0,17.0,3.0,12.0,0.0,8.0,3.0,5.0,1.0,0.0
2015-02,35.0,23.0,25.0,10.0,9.0,14.0,0.0,3.0,4.0,5.0,0.0,0.0
2015-03,39.0,24.0,34.0,9.0,3.0,19.0,0.0,3.0,0.0,6.0,0.0,0.0
2015-04,41.0,15.0,19.0,15.0,9.0,9.0,0.0,5.0,3.0,8.0,0.0,0.0
2015-05,45.0,18.0,34.0,15.0,5.0,13.0,0.0,4.0,1.0,5.0,3.0,0.0
2015-06,41.0,26.0,27.0,18.0,2.0,15.0,0.0,4.0,0.0,7.0,1.0,0.0
2015-07,37.0,26.0,25.0,10.0,9.0,12.0,0.0,7.0,1.0,13.0,0.0,0.0
2015-08,37.0,23.0,16.0,15.0,8.0,7.0,0.0,2.0,3.0,7.0,1.0,0.0
2015-09,37.0,24.0,28.0,14.0,2.0,11.0,0.0,3.0,5.0,11.0,0.0,0.0
2015-10,34.0,23.0,28.0,17.0,13.0,8.0,0.0,5.0,4.0,9.0,2.0,0.0
2015-11,43.0,17.0,27.0,20.0,10.0,19.0,0.0,3.0,2.0,14.0,2.0,0.0
2015-12,46.0,15.0,29.0,17.0,11.0,14.0,0.0,10.0,0.0,12.0,2.0,0.0
2016-01,61.0,22.0,23.0,22.0,12.0,12.0,0.0,5.0,4.0,3.0,2.0,0.0
2016-02,34.0,22.0,32.0,13.0,9.0,11.0,0.0,12.0,3.0,8.0,2.0,0.0
2016-03,50.0,24.0,33.0,20.0,4.0,15.0,0.0,11.0,1.0,10.0,2.0,0.0
2016-04,48.0,19.0,26.0,11.0,4.0,9.0,0.0,6.0,5.0,8.0,2.0,0.0
2016-05,38.0,21.0,30.0,26.0,13.0,12.0,0.0,9.0,2.0,11.0,0.0,0.0
2016-06,36.0,24.0,26.0,22.0,6.0,11.0,0.0,6.0,5.0,16.0,1.0,0.0
2016-07,45.0,26.0,32.0,21.0,13.0,6.0,0.0,10.0,1.0,13.0,2.0,0.0
2016-08,36.0,22.0,26.0,13.0,7.0,13.0,0.0,10.0,0.0,13.0,2.0,0.0
2016-09,33.0,20.0,30.0,15.0,5.0,7.0,0.0,10.0,0.0,11.0,3.0,0.0
2016-10,47.0,29.0,29.0,22.0,13.0,11.0,0.0,8.0,0.0,17.0,1.0,0.0
2016-11,44.0,25.0,23.0,24.0,9.0,12.0,0.0,13.0,4.0,10.0,2.0,0.0
2016-12,38.0,17.0,31.0,16.0,4.0,12.0,0.0,18.0,1.0,17.0,2.0,0.0
2017-01,47.0,18.0,34.0,18.0,9.0,15.0,0.0,11.0,1.0,7.0,0.0,0.0
2017-02,41.0,23.0,30.0,15.0,7.0,12.0,0.0,11.0,1.0,6.0,1.0,0.0
2017-03,42.0,24.0,27.0,21.0,7.0,9.0,0.0,7.0,4.0,9.0,0.0,0.0
2017-04,35.0,22.0,30.0,11.0,7.0,11.0,0.0,12.0,1.0,7.0,0.0,0.0
2017-05,49.0,42.0,26.0,16.0,10.0,12.0,0.0,13.0,3.0,3.0,0.0,0.0
2017-06,41.0,34.0,27.0,12.0,6.0,10.0,0.0,15.0,1.0,10.0,0.0,0.0
2017-07,48.0,22.0,25.0,13.0,8.0,7.0,0.0,12.0,4.0,5.0,0.0,0.0
2017-08,42.0,20.0,30.0,14.0,10.0,15.0,0.0,11.0,0.0,7.0,2.0,0.0
2017-09,49.0,17.0,34.0,13.0,13.0,5.0,0.0,17.0,2.0,7.0,2.0,0.0
2017-10,64.0,25.0,33.0,20.0,22.0,13.0,0.0,12.0,2.0,11.0,0.0,0.0
2017-11,44.0,26.0,19.0,20.0,6.0,14.0,0.0,17.0,2.0,13.0,2.0,0.0
2017-12,48.0,29.0,32.0,13.0,7.0,12.0,0.0,22.0,2.0,10.0,1.0,0.0
2018-01,43.0,30.0,29.0,28.0,13.0,7.0,0.0,6.0,3.0,7.0,1.0,0.0
2018-02,32.0,31.0,27.0,24.0,10.0,11.0,0.0,6.0,3.0,8.0,2.0,0.0
2018-03,64.0,30.0,33.0,23.0,5.0,4.0,0.0,8.0,3.0,16.0,4.0,1.0
2018-04,47.0,42.0,20.0,25.0,9.0,12.0,0.0,9.0,6.0,11.0,2.0,1.0
2018-05,47.0,41.0,38.0,29.0,10.0,11.0,0.0,6.0,4.0,7.0,2.0,0.0
2018-06,57.0,27.0,40.0,32.0,13.0,15.0,0.0,9.0,5.0,8.0,1.0,0.0
2018-07,57.0,29.0,35.0,26.0,5.0,13.0,0.0,12.0,6.0,9.0,2.0,0.0
2018-08,53.0,31.0,34.0,37.0,8.0,16.0,0.0,13.0,4.0,14.0,1.0,0.0
2018-09,45.0,27.0,22.0,22.0,10.0,15.0,0.0,16.0,7.0,12.0,1.0,0.0
2018-10,40.0,36.0,34.0,18.0,12.0,11.0,0.0,18.0,2.0,13.0,1.0,0.0
2018-11,74.0,30.0,26.0,32.0,12.0,21.0,0.0,24.0,5.0,16.0,2.0,0.0
2018-12,58.0,35.0,32.0,40.0,12.0,10.0,0.0,20.0,2.0,16.0,3.0,0.0
2019-01,68.0,40.0,23.0,20.0,13.0,15.0,0.0,13.0,2.0,10.0,1.0,0.0
2019-02,54.0,32.0,16.0,28.0,9.0,11.0,0.0,7.0,5.0,6.0,0.0,0.0
2019-03,56.0,29.0,28.0,22.0,7.0,11.0,0.0,11.0,2.0,18.0,2.0,0.0
2019-04,57.0,36.0,26.0,20.0,10.0,13.0,0.0,15.0,1.0,9.0,0.0,0.0
2019-05,76.0,28.0,32.0,32.0,11.0,16.0,0.0,16.0,1.0,14.0,1.0,0.0
2019-06,65.0,31.0,24.0,27.0,10.0,11.0,0.0,14.0,5.0,8.0,0.0,0.0
2019-07,63.0,42.0,27.0,38.0,11.0,15.0,0.0,14.0,9.0,12.0,2.0,0.0
2019-08,50.0,27.0,35.0,24.0,12.0,11.0,0.0,10.0,6.0,5.0,0.0,0.0
2019-09,60.0,30.0,27.0,26.0,16.0,22.0,0.0,12.0,5.0,20.0,1.0,0.0
2019-10,54.0,33.0,26.0,43.0,10.0,15.0,0.0,14.0,5.0,20.0,0.0,0.0
2019-11,63.0,34.0,30.0,31.0,15.0,12.0,0.0,20.0,3.0,29.0,0.0,0.0
2019-12,55.0,31.0,40.0,34.0,15.0,18.0,0.0,15.0,2.0,16.0,0.0,1.0
2020-01,53.0,27.0,27.0,23.0,8.0,20.0,0.0,12.0,5.0,20.0,5.0,1.0
2020-02,48.0,27.0,27.0,18.0,7.0,11.0,0.0,20.0,3.0,10.0,1.0,0.0
2020-03,55.0,30.0,29.0,25.0,3.0,14.0,0.0,9.0,5.0,13.0,0.0,0.0
