YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,151.0,67.0,54.0,36.0,38.0,31.0,0.0,5.0,6.0,12.0,3.0,0.0
2014-02,106.0,59.0,40.0,25.0,23.0,24.0,0.0,4.0,2.0,12.0,5.0,0.0
2014-03,150.0,62.0,39.0,38.0,22.0,24.0,0.0,8.0,8.0,12.0,3.0,0.0
2014-04,144.0,72.0,29.0,36.0,22.0,25.0,0.0,9.0,7.0,11.0,3.0,0.0
2014-05,166.0,76.0,44.0,36.0,31.0,24.0,0.0,13.0,3.0,10.0,2.0,0.0
2014-06,137.0,71.0,38.0,37.0,22.0,30.0,0.0,6.0,9.0,11.0,3.0,0.0
2014-07,178.0,58.0,42.0,51.0,26.0,32.0,0.0,12.0,7.0,12.0,1.0,0.0
2014-08,164.0,72.0,27.0,24.0,24.0,31.0,0.0,9.0,8.0,14.0,6.0,0.0
2014-09,157.0,74.0,38.0,38.0,28.0,29.0,0.0,7.0,5.0,13.0,4.0,0.0
2014-10,170.0,75.0,39.0,41.0,34.0,30.0,0.0,2.0,7.0,19.0,5.0,0.0
2014-11,199.0,74.0,37.0,43.0,37.0,32.0,0.0,11.0,2.0,12.0,9.0,0.0
2014-12,191.0,85.0,31.0,56.0,47.0,24.0,0.0,4.0,2.0,20.0,3.0,0.0
2015-01,193.0,75.0,39.0,58.0,39.0,44.0,0.0,4.0,4.0,16.0,1.0,0.0
2015-02,131.0,63.0,38.0,43.0,30.0,22.0,0.0,4.0,7.0,10.0,2.0,0.0
2015-03,162.0,62.0,48.0,38.0,31.0,28.0,0.0,9.0,7.0,15.0,6.0,0.0
2015-04,131.0,87.0,36.0,25.0,27.0,25.0,0.0,4.0,2.0,10.0,0.0,0.0
2015-05,152.0,79.0,50.0,25.0,20.0,30.0,0.0,5.0,5.0,14.0,3.0,0.0
2015-06,165.0,82.0,48.0,40.0,33.0,44.0,0.0,8.0,7.0,12.0,5.0,0.0
2015-07,169.0,78.0,42.0,53.0,35.0,26.0,0.0,5.0,7.0,12.0,4.0,0.0
2015-08,192.0,81.0,42.0,44.0,38.0,22.0,0.0,7.0,8.0,10.0,7.0,0.0
2015-09,152.0,61.0,45.0,54.0,39.0,38.0,0.0,6.0,9.0,3.0,5.0,0.0
2015-10,159.0,69.0,40.0,45.0,35.0,22.0,0.0,4.0,13.0,11.0,2.0,0.0
2015-11,133.0,56.0,35.0,44.0,30.0,25.0,0.0,7.0,8.0,15.0,1.0,0.0
2015-12,152.0,58.0,48.0,47.0,33.0,44.0,0.0,3.0,11.0,7.0,5.0,0.0
2016-01,134.0,70.0,46.0,34.0,21.0,33.0,0.0,20.0,13.0,13.0,5.0,0.0
2016-02,127.0,63.0,41.0,49.0,28.0,23.0,0.0,15.0,12.0,12.0,5.0,0.0
2016-03,152.0,74.0,40.0,34.0,30.0,28.0,0.0,21.0,12.0,12.0,4.0,0.0
2016-04,148.0,61.0,35.0,24.0,25.0,21.0,0.0,9.0,8.0,6.0,8.0,0.0
2016-05,171.0,63.0,53.0,36.0,33.0,30.0,0.0,24.0,10.0,11.0,5.0,0.0
2016-06,153.0,64.0,31.0,48.0,26.0,35.0,0.0,10.0,9.0,13.0,6.0,0.0
2016-07,159.0,75.0,32.0,58.0,33.0,47.0,0.0,12.0,14.0,6.0,5.0,0.0
2016-08,143.0,70.0,47.0,51.0,31.0,28.0,0.0,19.0,18.0,10.0,5.0,0.0
2016-09,149.0,60.0,32.0,39.0,30.0,21.0,0.0,12.0,11.0,8.0,7.0,0.0
2016-10,127.0,72.0,30.0,42.0,37.0,21.0,0.0,11.0,11.0,18.0,4.0,0.0
2016-11,154.0,80.0,34.0,49.0,39.0,29.0,0.0,10.0,11.0,13.0,5.0,0.0
2016-12,165.0,63.0,47.0,61.0,32.0,29.0,0.0,21.0,9.0,9.0,2.0,0.0
