YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,140.0,71.0,61.0,31.0,37.0,14.0,0.0,6.0,4.0,7.0,4.0,0.0
2014-02,121.0,55.0,56.0,38.0,20.0,30.0,0.0,5.0,2.0,3.0,5.0,0.0
2014-03,125.0,64.0,56.0,37.0,22.0,20.0,0.0,4.0,2.0,9.0,0.0,0.0
2014-04,123.0,72.0,33.0,31.0,24.0,15.0,0.0,5.0,6.0,6.0,1.0,0.0
2014-05,121.0,77.0,46.0,40.0,20.0,9.0,0.0,9.0,0.0,13.0,5.0,0.0
2014-06,113.0,59.0,55.0,33.0,22.0,23.0,0.0,8.0,1.0,6.0,1.0,0.0
2014-07,134.0,66.0,50.0,37.0,27.0,24.0,0.0,5.0,1.0,10.0,5.0,0.0
2014-08,134.0,74.0,50.0,24.0,20.0,17.0,0.0,5.0,7.0,10.0,2.0,0.0
2014-09,137.0,68.0,44.0,24.0,26.0,18.0,0.0,7.0,4.0,10.0,3.0,0.0
2014-10,119.0,54.0,44.0,22.0,20.0,28.0,0.0,12.0,4.0,12.0,1.0,0.0
2014-11,123.0,66.0,72.0,41.0,24.0,15.0,0.0,7.0,2.0,7.0,10.0,0.0
2014-12,120.0,77.0,62.0,33.0,34.0,20.0,0.0,4.0,5.0,6.0,4.0,0.0
2015-01,133.0,50.0,70.0,35.0,20.0,36.0,0.0,6.0,6.0,6.0,3.0,0.0
2015-02,117.0,58.0,70.0,29.0,16.0,17.0,0.0,4.0,4.0,6.0,3.0,0.0
2015-03,150.0,61.0,73.0,39.0,25.0,31.0,0.0,18.0,4.0,6.0,3.0,0.0
2015-04,155.0,63.0,68.0,29.0,29.0,22.0,0.0,10.0,6.0,12.0,3.0,0.0
2015-05,148.0,88.0,64.0,46.0,21.0,25.0,0.0,10.0,13.0,4.0,1.0,0.0
2015-06,153.0,73.0,49.0,32.0,27.0,31.0,0.0,8.0,7.0,8.0,3.0,0.0
2015-07,156.0,66.0,56.0,40.0,19.0,23.0,0.0,6.0,6.0,11.0,2.0,0.0
2015-08,126.0,69.0,61.0,42.0,27.0,27.0,0.0,8.0,5.0,13.0,0.0,0.0
2015-09,130.0,60.0,50.0,29.0,45.0,30.0,0.0,6.0,12.0,10.0,4.0,0.0
