YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,168.0,99.0,96.0,32.0,53.0,55.0,0.0,10.0,7.0,17.0,9.0,0.0
2014-02,153.0,83.0,75.0,20.0,38.0,32.0,0.0,5.0,10.0,13.0,9.0,0.0
2014-03,196.0,86.0,74.0,41.0,47.0,47.0,0.0,16.0,4.0,16.0,2.0,0.0
2014-04,164.0,102.0,88.0,27.0,43.0,40.0,0.0,14.0,4.0,13.0,8.0,0.0
2014-05,156.0,89.0,101.0,28.0,31.0,44.0,0.0,16.0,8.0,17.0,4.0,0.0
2014-06,180.0,118.0,84.0,31.0,56.0,48.0,0.0,5.0,7.0,18.0,9.0,0.0
2014-07,191.0,101.0,75.0,38.0,56.0,43.0,0.0,8.0,9.0,14.0,11.0,0.0
2014-08,183.0,101.0,91.0,34.0,52.0,42.0,0.0,7.0,11.0,11.0,7.0,0.0
2014-09,178.0,88.0,76.0,28.0,64.0,43.0,0.0,7.0,10.0,17.0,6.0,1.0
2014-10,149.0,116.0,77.0,33.0,44.0,59.0,0.0,12.0,6.0,14.0,9.0,0.0
2014-11,167.0,111.0,84.0,31.0,44.0,41.0,0.0,14.0,9.0,14.0,6.0,0.0
2014-12,180.0,106.0,73.0,19.0,64.0,48.0,0.0,9.0,10.0,6.0,6.0,0.0
2015-01,189.0,106.0,94.0,31.0,54.0,50.0,0.0,13.0,21.0,13.0,6.0,0.0
2015-02,183.0,98.0,68.0,32.0,38.0,41.0,0.0,13.0,6.0,14.0,12.0,0.0
2015-03,164.0,105.0,82.0,31.0,33.0,49.0,0.0,13.0,6.0,15.0,6.0,0.0
2015-04,177.0,94.0,80.0,31.0,56.0,34.0,0.0,8.0,8.0,17.0,7.0,0.0
2015-05,197.0,126.0,107.0,28.0,43.0,45.0,0.0,16.0,19.0,13.0,7.0,0.0
2015-06,205.0,101.0,106.0,39.0,55.0,58.0,0.0,13.0,15.0,14.0,6.0,0.0
2015-07,184.0,123.0,77.0,39.0,46.0,39.0,0.0,12.0,16.0,11.0,3.0,0.0
2015-08,177.0,127.0,100.0,28.0,54.0,40.0,0.0,6.0,9.0,19.0,10.0,0.0
2015-09,190.0,97.0,89.0,33.0,40.0,42.0,0.0,21.0,8.0,13.0,6.0,0.0
