YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,214.0,109.0,73.0,51.0,51.0,46.0,0.0,6.0,10.0,11.0,4.0,0.0
2014-02,180.0,104.0,51.0,49.0,40.0,44.0,0.0,2.0,5.0,12.0,5.0,0.0
2014-03,209.0,115.0,63.0,42.0,49.0,44.0,0.0,7.0,8.0,17.0,8.0,0.0
2014-04,191.0,110.0,56.0,57.0,51.0,39.0,0.0,5.0,10.0,7.0,7.0,0.0
2014-05,160.0,92.0,57.0,45.0,51.0,39.0,0.0,15.0,6.0,10.0,6.0,0.0
2014-06,221.0,107.0,78.0,37.0,48.0,37.0,0.0,6.0,6.0,10.0,8.0,0.0
2014-07,183.0,103.0,73.0,44.0,41.0,35.0,0.0,4.0,10.0,8.0,11.0,0.0
2014-08,199.0,89.0,82.0,36.0,36.0,34.0,0.0,2.0,7.0,11.0,6.0,0.0
2014-09,194.0,122.0,72.0,33.0,27.0,33.0,0.0,4.0,4.0,15.0,5.0,0.0
2014-10,183.0,109.0,76.0,52.0,49.0,41.0,0.0,7.0,6.0,10.0,8.0,0.0
2014-11,241.0,119.0,53.0,59.0,47.0,63.0,0.0,6.0,9.0,10.0,8.0,0.0
2014-12,263.0,93.0,66.0,91.0,65.0,61.0,0.0,8.0,13.0,13.0,13.0,0.0
2015-01,248.0,92.0,73.0,68.0,52.0,67.0,0.0,5.0,7.0,19.0,5.0,0.0
2015-02,182.0,104.0,62.0,50.0,51.0,64.0,0.0,4.0,6.0,8.0,8.0,0.0
2015-03,222.0,107.0,69.0,37.0,51.0,43.0,0.0,5.0,15.0,13.0,6.0,0.0
2015-04,187.0,93.0,73.0,43.0,56.0,45.0,0.0,4.0,5.0,15.0,7.0,0.0
2015-05,209.0,105.0,68.0,62.0,52.0,48.0,0.0,2.0,12.0,19.0,5.0,0.0
2015-06,175.0,99.0,61.0,52.0,38.0,43.0,0.0,7.0,9.0,15.0,4.0,0.0
2015-07,177.0,114.0,78.0,52.0,53.0,46.0,0.0,2.0,7.0,14.0,6.0,0.0
2015-08,201.0,91.0,61.0,55.0,47.0,50.0,0.0,3.0,10.0,12.0,4.0,0.0
2015-09,210.0,117.0,71.0,46.0,57.0,36.0,0.0,3.0,9.0,16.0,3.0,0.0
2015-10,185.0,112.0,74.0,60.0,48.0,43.0,0.0,8.0,11.0,16.0,5.0,0.0
2015-11,189.0,122.0,69.0,46.0,42.0,49.0,0.0,4.0,7.0,8.0,7.0,0.0
2015-12,211.0,121.0,86.0,56.0,45.0,47.0,0.0,6.0,11.0,5.0,2.0,0.0
2016-01,217.0,103.0,79.0,68.0,58.0,44.0,0.0,12.0,8.0,12.0,5.0,0.0
2016-02,179.0,114.0,70.0,55.0,43.0,45.0,0.0,19.0,14.0,8.0,6.0,0.0
2016-03,197.0,112.0,74.0,63.0,47.0,37.0,0.0,18.0,15.0,18.0,8.0,0.0
2016-04,203.0,82.0,75.0,60.0,37.0,58.0,0.0,19.0,8.0,18.0,7.0,0.0
2016-05,193.0,110.0,75.0,82.0,36.0,45.0,0.0,25.0,9.0,19.0,4.0,0.0
2016-06,199.0,107.0,82.0,52.0,40.0,48.0,0.0,26.0,8.0,9.0,10.0,0.0
2016-07,194.0,98.0,81.0,43.0,44.0,32.0,0.0,20.0,6.0,7.0,10.0,0.0
2016-08,189.0,80.0,68.0,34.0,44.0,40.0,0.0,21.0,6.0,12.0,4.0,0.0
2016-09,204.0,89.0,83.0,45.0,40.0,38.0,0.0,16.0,6.0,11.0,7.0,0.0
2016-10,167.0,120.0,78.0,45.0,32.0,41.0,0.0,18.0,8.0,17.0,4.0,0.0
2016-11,159.0,82.0,72.0,52.0,51.0,43.0,0.0,14.0,7.0,15.0,8.0,0.0
2016-12,222.0,129.0,88.0,81.0,76.0,49.0,0.0,21.0,8.0,8.0,11.0,0.0
2017-01,244.0,121.0,76.0,58.0,79.0,49.0,0.0,25.0,11.0,11.0,8.0,0.0
2017-02,170.0,98.0,60.0,47.0,44.0,38.0,0.0,17.0,5.0,18.0,5.0,1.0
2017-03,213.0,96.0,74.0,62.0,61.0,41.0,0.0,11.0,5.0,8.0,5.0,0.0
2017-04,205.0,89.0,76.0,50.0,64.0,44.0,0.0,24.0,11.0,11.0,9.0,0.0
2017-05,207.0,104.0,81.0,50.0,43.0,47.0,0.0,15.0,9.0,17.0,3.0,1.0
2017-06,174.0,116.0,85.0,44.0,39.0,37.0,0.0,28.0,6.0,10.0,5.0,0.0
2017-07,203.0,116.0,91.0,46.0,44.0,38.0,0.0,14.0,6.0,15.0,4.0,0.0
2017-08,177.0,121.0,69.0,55.0,48.0,43.0,0.0,19.0,11.0,14.0,10.0,0.0
