YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,23.0,20.0,36.0,3.0,6.0,6.0,0.0,2.0,1.0,2.0,2.0,0.0
2014-02,15.0,11.0,23.0,5.0,9.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0
2014-03,20.0,13.0,25.0,15.0,16.0,6.0,0.0,2.0,1.0,2.0,1.0,0.0
2014-04,24.0,6.0,27.0,4.0,6.0,6.0,0.0,2.0,1.0,1.0,2.0,0.0
2014-05,25.0,14.0,26.0,3.0,9.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0
2014-06,17.0,13.0,26.0,6.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0
2014-07,15.0,7.0,25.0,7.0,7.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0
2014-08,17.0,17.0,35.0,5.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0
2014-09,15.0,14.0,26.0,11.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0
2014-10,20.0,16.0,28.0,6.0,3.0,3.0,0.0,3.0,2.0,4.0,0.0,0.0
2014-11,25.0,7.0,21.0,2.0,2.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0
2014-12,19.0,14.0,26.0,7.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
2015-01,22.0,8.0,28.0,5.0,4.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0
2015-02,19.0,13.0,20.0,7.0,6.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0
2015-03,19.0,14.0,30.0,6.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
2015-04,29.0,12.0,18.0,7.0,10.0,8.0,0.0,1.0,1.0,5.0,0.0,0.0
2015-05,16.0,16.0,23.0,5.0,10.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0
2015-06,15.0,18.0,20.0,6.0,6.0,9.0,0.0,1.0,1.0,2.0,2.0,0.0
2015-07,24.0,19.0,10.0,9.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-08,25.0,11.0,24.0,5.0,11.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
2015-09,29.0,16.0,22.0,5.0,9.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0
2015-10,32.0,9.0,12.0,8.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0
2015-11,28.0,13.0,22.0,11.0,11.0,5.0,0.0,0.0,2.0,4.0,1.0,0.0
2015-12,26.0,19.0,15.0,4.0,5.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0
2016-01,37.0,14.0,37.0,6.0,10.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
2016-02,19.0,11.0,17.0,7.0,7.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0
2016-03,28.0,11.0,26.0,7.0,7.0,5.0,0.0,3.0,3.0,4.0,1.0,0.0
2016-04,34.0,14.0,16.0,5.0,7.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0
2016-05,26.0,9.0,20.0,3.0,2.0,7.0,0.0,4.0,3.0,3.0,1.0,0.0
2016-06,29.0,10.0,27.0,6.0,8.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0
2016-07,23.0,13.0,14.0,4.0,14.0,7.0,0.0,2.0,2.0,5.0,1.0,0.0
2016-08,26.0,19.0,18.0,8.0,4.0,5.0,0.0,2.0,3.0,2.0,1.0,0.0
2016-09,23.0,14.0,25.0,4.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
2016-10,30.0,24.0,22.0,11.0,7.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0
2016-11,27.0,11.0,28.0,7.0,6.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0
2016-12,30.0,18.0,21.0,3.0,9.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0
2017-01,21.0,19.0,15.0,6.0,6.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0
2017-02,24.0,7.0,17.0,7.0,6.0,7.0,0.0,3.0,1.0,3.0,0.0,0.0
2017-03,27.0,22.0,74.0,5.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
2017-04,28.0,20.0,212.0,12.0,5.0,5.0,0.0,7.0,1.0,1.0,1.0,0.0
2017-05,19.0,14.0,22.0,8.0,11.0,7.0,0.0,6.0,0.0,4.0,1.0,0.0
2017-06,34.0,16.0,22.0,5.0,8.0,4.0,0.0,3.0,0.0,1.0,3.0,0.0
2017-07,26.0,21.0,32.0,6.0,7.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0
2017-08,31.0,16.0,17.0,4.0,7.0,8.0,0.0,5.0,1.0,1.0,2.0,0.0
2017-09,27.0,15.0,19.0,7.0,3.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0
2017-10,22.0,17.0,22.0,5.0,8.0,8.0,0.0,4.0,3.0,0.0,1.0,0.0
2017-11,22.0,19.0,29.0,5.0,3.0,8.0,0.0,5.0,1.0,1.0,0.0,0.0
2017-12,38.0,14.0,33.0,6.0,4.0,4.0,0.0,2.0,0.0,4.0,2.0,0.0
2018-01,35.0,16.0,25.0,5.0,11.0,5.0,0.0,0.0,2.0,1.0,3.0,0.0
2018-02,19.0,13.0,19.0,13.0,7.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0
2018-03,30.0,22.0,21.0,7.0,6.0,8.0,0.0,6.0,2.0,4.0,2.0,0.0
2018-04,26.0,16.0,29.0,5.0,6.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0
2018-05,27.0,19.0,23.0,16.0,6.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0
2018-06,28.0,12.0,25.0,15.0,9.0,5.0,0.0,1.0,2.0,2.0,4.0,0.0
2018-07,30.0,14.0,35.0,8.0,8.0,8.0,0.0,6.0,2.0,2.0,1.0,1.0
2018-08,38.0,22.0,35.0,11.0,9.0,4.0,0.0,6.0,1.0,2.0,3.0,0.0
2018-09,29.0,13.0,31.0,4.0,5.0,5.0,0.0,4.0,0.0,3.0,1.0,0.0
2018-10,27.0,13.0,28.0,6.0,3.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0
2018-11,22.0,6.0,19.0,4.0,5.0,10.0,0.0,2.0,1.0,3.0,1.0,0.0
2018-12,34.0,16.0,30.0,5.0,6.0,7.0,0.0,5.0,4.0,1.0,1.0,0.0
2019-01,24.0,15.0,28.0,14.0,8.0,5.0,0.0,3.0,0.0,3.0,1.0,0.0
2019-02,25.0,13.0,33.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,2.0,0.0
2019-03,28.0,12.0,29.0,6.0,12.0,6.0,0.0,4.0,2.0,1.0,1.0,0.0
2019-04,31.0,9.0,20.0,9.0,9.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0
2019-05,30.0,12.0,13.0,5.0,8.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0
2019-06,24.0,20.0,16.0,6.0,5.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0
2019-07,30.0,20.0,25.0,9.0,8.0,11.0,0.0,1.0,0.0,4.0,0.0,0.0
2019-08,24.0,15.0,32.0,11.0,9.0,7.0,0.0,3.0,3.0,2.0,1.0,0.0
2019-09,30.0,10.0,28.0,7.0,4.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0
2019-10,27.0,17.0,33.0,5.0,5.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0
2019-11,24.0,15.0,27.0,3.0,6.0,9.0,0.0,4.0,1.0,3.0,1.0,0.0
2019-12,26.0,14.0,33.0,4.0,7.0,6.0,0.0,5.0,2.0,2.0,0.0,0.0
2020-01,45.0,21.0,25.0,14.0,4.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0
2020-02,24.0,21.0,25.0,10.0,5.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0
2020-03,30.0,15.0,23.0,12.0,6.0,6.0,0.0,4.0,3.0,5.0,1.0,0.0
2020-04,34.0,15.0,21.0,8.0,6.0,5.0,0.0,9.0,2.0,6.0,0.0,0.0
2020-05,31.0,20.0,21.0,11.0,10.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0
2020-06,32.0,12.0,36.0,7.0,5.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0
2020-07,62.0,17.0,24.0,10.0,9.0,9.0,54.0,12.0,6.0,3.0,2.0,0.0
2020-08,51.0,12.0,20.0,15.0,6.0,7.0,90.0,16.0,0.0,8.0,0.0,0.0
2020-09,45.0,13.0,26.0,8.0,7.0,9.0,30.0,10.0,1.0,4.0,0.0,0.0
2020-10,37.0,18.0,20.0,6.0,9.0,8.0,30.0,2.0,3.0,2.0,1.0,0.0
2020-11,35.0,14.0,36.0,4.0,7.0,5.0,15.0,8.0,0.0,3.0,1.0,0.0
2020-12,34.0,14.0,32.0,7.0,3.0,4.0,19.0,9.0,1.0,3.0,0.0,0.0
2021-01,35.0,19.0,30.0,8.0,7.0,6.0,49.0,10.0,2.0,7.0,0.0,0.0
2021-02,34.0,12.0,37.0,3.0,4.0,5.0,24.0,7.0,1.0,4.0,0.0,0.0
2021-03,28.0,14.0,24.0,5.0,7.0,10.0,9.0,1.0,1.0,8.0,0.0,0.0
2021-04,28.0,16.0,31.0,5.0,7.0,5.0,28.0,4.0,2.0,2.0,0.0,0.0
2021-05,52.0,14.0,28.0,15.0,7.0,2.0,141.0,3.0,2.0,3.0,1.0,0.0
2021-06,38.0,18.0,30.0,13.0,1.0,9.0,75.0,1.0,3.0,6.0,0.0,0.0
2021-07,38.0,15.0,30.0,9.0,6.0,11.0,60.0,1.0,1.0,8.0,1.0,0.0
2021-08,45.0,22.0,21.0,6.0,5.0,10.0,30.0,14.0,4.0,3.0,0.0,0.0
2021-09,42.0,15.0,34.0,9.0,4.0,6.0,6.0,6.0,1.0,2.0,0.0,0.0
2021-10,29.0,21.0,28.0,6.0,5.0,8.0,5.0,4.0,2.0,2.0,1.0,0.0
2021-11,37.0,15.0,34.0,5.0,8.0,5.0,14.0,9.0,5.0,5.0,0.0,0.0
2021-12,38.0,18.0,24.0,14.0,6.0,9.0,35.0,8.0,2.0,7.0,1.0,0.0
2022-01,59.0,25.0,43.0,16.0,13.0,10.0,26.0,7.0,6.0,5.0,0.0,0.0
2022-02,46.0,13.0,25.0,3.0,4.0,3.0,23.0,10.0,6.0,5.0,0.0,0.0
2022-03,24.0,18.0,36.0,11.0,7.0,2.0,5.0,6.0,1.0,2.0,0.0,0.0
2022-04,41.0,14.0,38.0,10.0,5.0,6.0,1.0,6.0,3.0,8.0,1.0,0.0
2022-05,18.0,14.0,25.0,4.0,4.0,9.0,0.0,4.0,3.0,7.0,1.0,0.0
2022-06,33.0,12.0,32.0,6.0,4.0,6.0,1.0,4.0,1.0,4.0,1.0,0.0
2022-07,42.0,21.0,32.0,11.0,7.0,9.0,7.0,4.0,1.0,10.0,3.0,0.0
2022-08,35.0,20.0,30.0,7.0,4.0,5.0,4.0,6.0,2.0,5.0,1.0,0.0
2022-09,20.0,22.0,23.0,7.0,4.0,11.0,0.0,4.0,2.0,6.0,1.0,0.0
