YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,105.0,74.0,39.0,32.0,31.0,21.0,0.0,0.0,2.0,4.0,2.0,0.0
2014-02,85.0,58.0,24.0,27.0,21.0,15.0,0.0,1.0,4.0,4.0,0.0,0.0
2014-03,102.0,67.0,34.0,26.0,33.0,22.0,0.0,0.0,4.0,3.0,3.0,0.0
2014-04,99.0,68.0,39.0,28.0,36.0,16.0,0.0,1.0,3.0,6.0,1.0,0.0
2014-05,105.0,61.0,29.0,24.0,42.0,27.0,0.0,0.0,1.0,4.0,2.0,0.0
2014-06,111.0,53.0,29.0,33.0,30.0,24.0,0.0,0.0,3.0,7.0,2.0,0.0
2014-07,103.0,69.0,31.0,29.0,38.0,25.0,0.0,1.0,7.0,3.0,1.0,0.0
2014-08,85.0,61.0,26.0,38.0,22.0,20.0,0.0,1.0,6.0,1.0,3.0,0.0
2014-09,78.0,59.0,39.0,17.0,25.0,18.0,0.0,1.0,5.0,3.0,1.0,0.0
2014-10,90.0,73.0,48.0,32.0,30.0,18.0,0.0,1.0,4.0,3.0,7.0,0.0
2014-11,112.0,61.0,34.0,32.0,39.0,23.0,0.0,1.0,5.0,1.0,2.0,0.0
2014-12,123.0,89.0,40.0,18.0,37.0,21.0,0.0,0.0,2.0,3.0,1.0,0.0
2015-01,95.0,76.0,40.0,24.0,36.0,19.0,0.0,2.0,7.0,5.0,5.0,0.0
2015-02,95.0,43.0,40.0,27.0,21.0,21.0,0.0,0.0,3.0,3.0,1.0,0.0
2015-03,122.0,63.0,42.0,30.0,19.0,22.0,0.0,0.0,3.0,4.0,2.0,0.0
2015-04,91.0,64.0,56.0,35.0,19.0,20.0,0.0,0.0,4.0,4.0,1.0,0.0
2015-05,103.0,63.0,44.0,37.0,28.0,18.0,0.0,0.0,3.0,3.0,0.0,0.0
2015-06,97.0,58.0,39.0,28.0,36.0,18.0,0.0,0.0,5.0,3.0,3.0,0.0
2015-07,102.0,70.0,52.0,20.0,28.0,27.0,0.0,0.0,5.0,9.0,1.0,0.0
2015-08,126.0,53.0,39.0,29.0,27.0,21.0,0.0,2.0,4.0,5.0,0.0,0.0
2015-09,90.0,57.0,35.0,28.0,33.0,26.0,0.0,1.0,3.0,4.0,1.0,0.0
2015-10,105.0,83.0,30.0,29.0,32.0,22.0,0.0,1.0,2.0,7.0,1.0,0.0
2015-11,106.0,56.0,34.0,25.0,30.0,15.0,0.0,2.0,3.0,3.0,3.0,0.0
2015-12,89.0,63.0,47.0,26.0,31.0,24.0,0.0,1.0,5.0,5.0,6.0,0.0
2016-01,125.0,61.0,52.0,17.0,24.0,22.0,0.0,9.0,3.0,4.0,2.0,0.0
2016-02,95.0,68.0,36.0,36.0,25.0,24.0,0.0,6.0,5.0,4.0,3.0,0.0
2016-03,97.0,66.0,38.0,36.0,32.0,20.0,0.0,9.0,6.0,7.0,2.0,0.0
2016-04,121.0,49.0,38.0,29.0,35.0,16.0,0.0,2.0,8.0,1.0,2.0,0.0
2016-05,127.0,65.0,38.0,32.0,39.0,22.0,0.0,5.0,5.0,0.0,1.0,0.0
2016-06,94.0,54.0,34.0,29.0,42.0,24.0,0.0,4.0,9.0,5.0,3.0,0.0
2016-07,111.0,71.0,42.0,32.0,38.0,22.0,0.0,6.0,5.0,8.0,4.0,0.0
2016-08,106.0,69.0,54.0,34.0,22.0,21.0,0.0,11.0,6.0,5.0,5.0,0.0
2016-09,117.0,73.0,35.0,20.0,29.0,17.0,0.0,5.0,6.0,7.0,5.0,0.0
2016-10,90.0,76.0,45.0,22.0,29.0,24.0,0.0,8.0,3.0,4.0,6.0,0.0
2016-11,106.0,74.0,40.0,27.0,24.0,16.0,0.0,9.0,4.0,3.0,3.0,0.0
2016-12,106.0,61.0,38.0,31.0,30.0,19.0,0.0,10.0,9.0,8.0,1.0,0.0
2017-01,132.0,73.0,32.0,30.0,46.0,18.0,0.0,9.0,5.0,4.0,2.0,0.0
2017-02,104.0,54.0,37.0,26.0,25.0,13.0,0.0,4.0,6.0,1.0,2.0,0.0
2017-03,98.0,56.0,40.0,25.0,41.0,17.0,0.0,5.0,7.0,6.0,6.0,0.0
2017-04,107.0,63.0,43.0,34.0,35.0,10.0,0.0,7.0,3.0,4.0,1.0,0.0
2017-05,102.0,65.0,36.0,43.0,36.0,31.0,0.0,8.0,7.0,4.0,3.0,0.0
2017-06,100.0,74.0,32.0,35.0,37.0,28.0,0.0,10.0,2.0,3.0,2.0,0.0
2017-07,104.0,55.0,41.0,28.0,28.0,21.0,0.0,6.0,7.0,6.0,3.0,0.0
2017-08,84.0,62.0,31.0,43.0,26.0,21.0,0.0,10.0,8.0,5.0,1.0,0.0
2017-09,92.0,56.0,35.0,26.0,26.0,17.0,0.0,4.0,4.0,3.0,5.0,0.0
2017-10,101.0,58.0,40.0,35.0,28.0,13.0,0.0,7.0,4.0,3.0,1.0,0.0
2017-11,118.0,68.0,40.0,33.0,27.0,23.0,0.0,5.0,4.0,4.0,2.0,0.0
2017-12,138.0,73.0,38.0,26.0,37.0,25.0,0.0,6.0,8.0,5.0,0.0,0.0
2018-01,105.0,74.0,31.0,38.0,33.0,28.0,0.0,7.0,4.0,6.0,1.0,0.0
2018-02,90.0,58.0,33.0,23.0,22.0,24.0,0.0,4.0,7.0,9.0,4.0,0.0
2018-03,98.0,63.0,50.0,28.0,29.0,17.0,0.0,12.0,5.0,2.0,4.0,1.0
2018-04,99.0,60.0,47.0,25.0,24.0,24.0,0.0,16.0,7.0,4.0,1.0,0.0
2018-05,102.0,62.0,34.0,40.0,26.0,25.0,0.0,6.0,7.0,6.0,3.0,0.0
2018-06,109.0,66.0,30.0,36.0,41.0,24.0,0.0,7.0,3.0,3.0,1.0,0.0
2018-07,120.0,70.0,36.0,31.0,33.0,20.0,0.0,2.0,6.0,3.0,2.0,0.0
2018-08,123.0,79.0,43.0,41.0,19.0,32.0,0.0,9.0,5.0,4.0,4.0,0.0
2018-09,102.0,63.0,38.0,39.0,22.0,12.0,0.0,9.0,3.0,2.0,1.0,0.0
2018-10,106.0,64.0,37.0,33.0,24.0,11.0,0.0,8.0,8.0,4.0,4.0,0.0
2018-11,111.0,62.0,42.0,30.0,28.0,23.0,0.0,8.0,9.0,8.0,3.0,0.0
2018-12,116.0,74.0,54.0,29.0,23.0,20.0,0.0,9.0,7.0,4.0,4.0,0.0
2019-01,119.0,74.0,41.0,31.0,27.0,21.0,0.0,4.0,13.0,6.0,4.0,0.0
2019-02,94.0,59.0,32.0,28.0,29.0,17.0,0.0,10.0,4.0,3.0,1.0,0.0
2019-03,110.0,80.0,42.0,17.0,28.0,20.0,0.0,8.0,12.0,5.0,1.0,0.0
2019-04,103.0,76.0,48.0,33.0,36.0,18.0,0.0,8.0,4.0,3.0,4.0,0.0
2019-05,94.0,60.0,33.0,32.0,36.0,24.0,0.0,9.0,11.0,9.0,1.0,0.0
2019-06,107.0,75.0,41.0,30.0,31.0,18.0,0.0,3.0,7.0,8.0,2.0,0.0
2019-07,116.0,84.0,31.0,32.0,31.0,30.0,0.0,8.0,12.0,4.0,2.0,0.0
2019-08,118.0,75.0,40.0,34.0,39.0,22.0,0.0,8.0,14.0,4.0,0.0,0.0
2019-09,96.0,68.0,34.0,30.0,29.0,23.0,0.0,12.0,15.0,6.0,2.0,0.0
2019-10,108.0,72.0,33.0,28.0,28.0,20.0,0.0,11.0,12.0,3.0,2.0,0.0
2019-11,115.0,64.0,44.0,26.0,35.0,30.0,0.0,8.0,16.0,6.0,1.0,0.0
2019-12,112.0,63.0,23.0,37.0,36.0,11.0,0.0,14.0,9.0,7.0,1.0,0.0
2020-01,113.0,64.0,20.0,38.0,38.0,25.0,0.0,11.0,17.0,11.0,5.0,0.0
2020-02,116.0,63.0,45.0,23.0,26.0,24.0,0.0,10.0,8.0,9.0,3.0,0.0
2020-03,102.0,63.0,35.0,14.0,28.0,20.0,0.0,7.0,15.0,6.0,2.0,0.0
2020-04,112.0,68.0,17.0,22.0,23.0,17.0,2.0,9.0,7.0,3.0,1.0,0.0
2020-05,106.0,60.0,27.0,20.0,19.0,14.0,2.0,16.0,3.0,8.0,0.0,0.0
2020-06,105.0,52.0,31.0,20.0,31.0,12.0,2.0,16.0,8.0,3.0,2.0,0.0
2020-07,94.0,66.0,39.0,18.0,18.0,19.0,5.0,7.0,14.0,9.0,4.0,0.0
2020-08,120.0,67.0,43.0,22.0,27.0,22.0,36.0,12.0,8.0,8.0,2.0,0.0
2020-09,133.0,64.0,42.0,37.0,28.0,25.0,62.0,15.0,8.0,11.0,2.0,0.0
2020-10,138.0,62.0,41.0,42.0,26.0,21.0,169.0,14.0,12.0,10.0,0.0,0.0
2020-11,142.0,62.0,42.0,24.0,32.0,17.0,187.0,4.0,12.0,12.0,2.0,1.0
2020-12,162.0,62.0,50.0,36.0,36.0,23.0,207.0,18.0,12.0,10.0,0.0,0.0
2021-01,151.0,68.0,35.0,12.0,26.0,22.0,196.0,31.0,9.0,13.0,2.0,0.0
2021-02,98.0,48.0,36.0,22.0,18.0,21.0,104.0,17.0,11.0,6.0,0.0,0.0
2021-03,118.0,57.0,45.0,31.0,35.0,30.0,74.0,29.0,11.0,4.0,1.0,0.0
2021-04,119.0,58.0,44.0,29.0,21.0,25.0,150.0,15.0,13.0,6.0,2.0,0.0
2021-05,141.0,56.0,37.0,35.0,22.0,28.0,134.0,6.0,12.0,6.0,5.0,0.0
2021-06,108.0,68.0,34.0,29.0,26.0,30.0,154.0,15.0,11.0,6.0,1.0,0.0
2021-07,120.0,63.0,51.0,42.0,37.0,30.0,189.0,3.0,11.0,4.0,2.0,0.0
2021-08,120.0,75.0,40.0,34.0,25.0,23.0,47.0,16.0,9.0,12.0,3.0,0.0
2021-09,97.0,69.0,39.0,29.0,27.0,25.0,20.0,8.0,16.0,12.0,1.0,0.0
2021-10,130.0,69.0,43.0,37.0,25.0,28.0,21.0,8.0,7.0,18.0,3.0,0.0
2021-11,118.0,57.0,21.0,34.0,35.0,33.0,43.0,20.0,11.0,8.0,1.0,0.0
2021-12,112.0,65.0,38.0,41.0,27.0,31.0,49.0,18.0,10.0,9.0,4.0,0.0
2022-01,173.0,61.0,34.0,42.0,62.0,35.0,127.0,14.0,19.0,10.0,3.0,0.0
2022-02,151.0,52.0,37.0,37.0,33.0,29.0,70.0,7.0,12.0,8.0,2.0,1.0
2022-03,126.0,55.0,37.0,31.0,27.0,30.0,5.0,8.0,8.0,5.0,1.0,0.0
2022-04,120.0,61.0,41.0,30.0,41.0,30.0,1.0,9.0,15.0,8.0,2.0,0.0
2022-05,133.0,76.0,40.0,33.0,37.0,24.0,0.0,22.0,9.0,12.0,3.0,0.0
2022-06,122.0,56.0,29.0,29.0,41.0,23.0,4.0,18.0,12.0,8.0,1.0,0.0
2022-07,161.0,56.0,49.0,44.0,32.0,32.0,13.0,20.0,12.0,7.0,2.0,0.0
2022-08,121.0,76.0,28.0,29.0,25.0,22.0,4.0,16.0,15.0,12.0,2.0,0.0
2022-09,106.0,48.0,42.0,35.0,29.0,31.0,0.0,19.0,11.0,8.0,1.0,0.0
2022-10,119.0,62.0,36.0,22.0,29.0,30.0,0.0,7.0,18.0,11.0,5.0,0.0
2022-11,120.0,65.0,45.0,33.0,35.0,35.0,0.0,8.0,13.0,4.0,2.0,0.0
2022-12,116.0,70.0,40.0,31.0,36.0,37.0,5.0,13.0,10.0,4.0,2.0,0.0
2023-01,135.0,56.0,33.0,52.0,36.0,40.0,5.0,12.0,11.0,8.0,1.0,0.0
2023-02,96.0,68.0,47.0,23.0,29.0,29.0,0.0,9.0,13.0,4.0,1.0,0.0
2023-03,135.0,67.0,35.0,21.0,37.0,28.0,0.0,14.0,11.0,9.0,2.0,0.0
2023-04,107.0,69.0,42.0,44.0,37.0,25.0,0.0,8.0,11.0,7.0,1.0,0.0
2023-05,105.0,83.0,37.0,29.0,44.0,27.0,0.0,9.0,17.0,8.0,2.0,0.0
2023-06,112.0,65.0,39.0,47.0,44.0,24.0,1.0,9.0,9.0,10.0,3.0,0.0
2023-07,92.0,67.0,31.0,38.0,41.0,25.0,1.0,13.0,5.0,7.0,1.0,0.0
2023-08,102.0,73.0,30.0,35.0,39.0,36.0,0.0,13.0,13.0,7.0,5.0,0.0
2023-09,97.0,59.0,28.0,41.0,36.0,25.0,0.0,6.0,16.0,8.0,5.0,0.0
2023-10,99.0,81.0,25.0,40.0,38.0,36.0,0.0,10.0,20.0,5.0,3.0,0.0
2023-11,108.0,67.0,12.0,26.0,44.0,30.0,1.0,13.0,10.0,6.0,2.0,1.0
2023-12,113.0,67.0,22.0,31.0,46.0,24.0,0.0,10.0,15.0,11.0,1.0,0.0
