YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,155.0,114.0,61.0,43.0,38.0,31.0,0.0,1.0,9.0,8.0,2.0,1.0
2014-02,163.0,99.0,42.0,30.0,32.0,33.0,0.0,1.0,3.0,3.0,1.0,0.0
2014-03,166.0,100.0,52.0,33.0,43.0,27.0,0.0,1.0,10.0,7.0,6.0,0.0
2014-04,131.0,99.0,51.0,38.0,48.0,27.0,0.0,5.0,6.0,4.0,2.0,0.0
2014-05,154.0,103.0,65.0,35.0,51.0,24.0,0.0,2.0,9.0,9.0,6.0,0.0
2014-06,140.0,87.0,49.0,40.0,33.0,23.0,0.0,2.0,3.0,2.0,5.0,0.0
2014-07,183.0,94.0,52.0,32.0,34.0,27.0,0.0,2.0,8.0,8.0,6.0,0.0
2014-08,152.0,132.0,64.0,32.0,48.0,31.0,0.0,0.0,4.0,9.0,4.0,0.0
2014-09,146.0,119.0,42.0,36.0,28.0,28.0,0.0,3.0,7.0,5.0,5.0,0.0
2014-10,164.0,117.0,43.0,28.0,41.0,36.0,0.0,0.0,9.0,5.0,7.0,0.0
2014-11,144.0,118.0,48.0,39.0,31.0,42.0,0.0,3.0,9.0,1.0,8.0,0.0
2014-12,147.0,109.0,60.0,30.0,52.0,38.0,0.0,5.0,5.0,11.0,4.0,0.0
2015-01,160.0,106.0,54.0,42.0,34.0,45.0,0.0,3.0,6.0,7.0,5.0,0.0
2015-02,137.0,108.0,50.0,37.0,35.0,27.0,0.0,3.0,9.0,5.0,0.0,0.0
2015-03,143.0,114.0,66.0,31.0,38.0,32.0,0.0,4.0,6.0,6.0,7.0,0.0
2015-04,168.0,113.0,59.0,45.0,33.0,22.0,0.0,4.0,4.0,8.0,4.0,0.0
2015-05,154.0,111.0,68.0,50.0,38.0,29.0,0.0,4.0,11.0,10.0,3.0,0.0
2015-06,191.0,115.0,60.0,46.0,54.0,35.0,0.0,2.0,14.0,8.0,7.0,0.0
2015-07,178.0,100.0,59.0,42.0,30.0,31.0,0.0,4.0,8.0,4.0,4.0,0.0
2015-08,161.0,91.0,48.0,29.0,44.0,23.0,0.0,7.0,9.0,2.0,2.0,0.0
2015-09,159.0,99.0,47.0,39.0,48.0,32.0,0.0,8.0,6.0,2.0,4.0,0.0
2015-10,172.0,98.0,58.0,40.0,44.0,33.0,0.0,7.0,5.0,5.0,2.0,0.0
2015-11,164.0,110.0,41.0,37.0,39.0,29.0,0.0,6.0,5.0,6.0,3.0,0.0
2015-12,146.0,104.0,74.0,42.0,59.0,29.0,0.0,14.0,11.0,12.0,8.0,0.0
2016-01,184.0,120.0,55.0,54.0,53.0,38.0,0.0,13.0,6.0,5.0,5.0,0.0
2016-02,149.0,109.0,46.0,31.0,40.0,26.0,0.0,12.0,10.0,7.0,4.0,0.0
2016-03,163.0,106.0,62.0,45.0,41.0,39.0,0.0,18.0,6.0,11.0,5.0,0.0
2016-04,175.0,104.0,58.0,45.0,42.0,39.0,0.0,20.0,5.0,6.0,6.0,0.0
2016-05,192.0,109.0,67.0,54.0,55.0,31.0,0.0,12.0,9.0,8.0,6.0,0.0
2016-06,185.0,96.0,68.0,43.0,49.0,30.0,0.0,12.0,12.0,8.0,5.0,0.0
2016-07,172.0,120.0,67.0,53.0,50.0,30.0,0.0,16.0,9.0,7.0,1.0,0.0
2016-08,138.0,92.0,49.0,44.0,46.0,29.0,0.0,20.0,3.0,9.0,5.0,0.0
2016-09,152.0,98.0,44.0,43.0,44.0,37.0,0.0,21.0,3.0,6.0,6.0,0.0
2016-10,175.0,94.0,56.0,54.0,33.0,25.0,0.0,11.0,9.0,7.0,3.0,0.0
2016-11,176.0,111.0,53.0,36.0,42.0,30.0,0.0,13.0,12.0,7.0,5.0,0.0
2016-12,176.0,111.0,50.0,45.0,31.0,29.0,0.0,19.0,6.0,7.0,3.0,0.0
2017-01,197.0,126.0,58.0,50.0,52.0,30.0,0.0,16.0,15.0,10.0,5.0,0.0
2017-02,155.0,102.0,36.0,39.0,45.0,27.0,0.0,16.0,7.0,4.0,4.0,0.0
2017-03,176.0,119.0,36.0,50.0,55.0,20.0,0.0,14.0,6.0,5.0,4.0,0.0
2017-04,174.0,120.0,56.0,38.0,38.0,27.0,0.0,23.0,8.0,13.0,6.0,0.0
2017-05,186.0,98.0,61.0,39.0,45.0,26.0,0.0,20.0,11.0,9.0,6.0,0.0
2017-06,150.0,97.0,48.0,33.0,43.0,30.0,0.0,19.0,9.0,10.0,3.0,0.0
2017-07,173.0,102.0,56.0,52.0,51.0,24.0,0.0,18.0,7.0,8.0,3.0,0.0
2017-08,158.0,108.0,47.0,40.0,45.0,28.0,0.0,11.0,9.0,11.0,2.0,0.0
2017-09,157.0,104.0,43.0,41.0,47.0,30.0,0.0,20.0,12.0,10.0,6.0,0.0
2017-10,187.0,96.0,50.0,47.0,54.0,39.0,0.0,29.0,6.0,4.0,5.0,0.0
2017-11,149.0,90.0,52.0,48.0,42.0,26.0,0.0,24.0,5.0,10.0,4.0,0.0
2017-12,188.0,123.0,66.0,31.0,41.0,27.0,0.0,13.0,5.0,2.0,6.0,0.0
2018-01,160.0,111.0,48.0,36.0,38.0,39.0,0.0,22.0,14.0,8.0,3.0,0.0
2018-02,163.0,116.0,44.0,37.0,37.0,40.0,0.0,18.0,12.0,8.0,7.0,0.0
2018-03,177.0,108.0,42.0,41.0,35.0,34.0,0.0,18.0,7.0,8.0,8.0,0.0
2018-04,170.0,106.0,44.0,53.0,43.0,25.0,0.0,17.0,9.0,4.0,8.0,0.0
2018-05,191.0,104.0,60.0,40.0,55.0,30.0,0.0,17.0,9.0,3.0,3.0,1.0
2018-06,186.0,110.0,45.0,50.0,54.0,34.0,0.0,16.0,14.0,8.0,3.0,0.0
2018-07,163.0,124.0,47.0,51.0,43.0,40.0,0.0,11.0,7.0,3.0,4.0,0.0
2018-08,183.0,117.0,51.0,55.0,32.0,36.0,0.0,26.0,12.0,6.0,2.0,0.0
2018-09,179.0,97.0,60.0,49.0,38.0,31.0,0.0,17.0,9.0,9.0,3.0,0.0
2018-10,148.0,112.0,58.0,50.0,33.0,30.0,0.0,27.0,12.0,10.0,7.0,0.0
2018-11,165.0,84.0,43.0,39.0,36.0,29.0,0.0,11.0,8.0,6.0,3.0,0.0
2018-12,183.0,111.0,43.0,44.0,49.0,30.0,0.0,27.0,15.0,6.0,8.0,0.0
2019-01,227.0,106.0,49.0,62.0,54.0,44.0,0.0,22.0,19.0,13.0,5.0,0.0
2019-02,169.0,98.0,36.0,39.0,46.0,34.0,0.0,13.0,11.0,9.0,4.0,0.0
2019-03,169.0,102.0,55.0,50.0,36.0,43.0,0.0,17.0,14.0,13.0,0.0,0.0
2019-04,141.0,120.0,47.0,39.0,34.0,38.0,0.0,7.0,14.0,3.0,1.0,0.0
2019-05,158.0,103.0,63.0,35.0,30.0,40.0,0.0,11.0,12.0,5.0,3.0,0.0
2019-06,189.0,100.0,47.0,41.0,50.0,37.0,0.0,14.0,18.0,8.0,2.0,0.0
2019-07,171.0,90.0,63.0,51.0,45.0,32.0,0.0,12.0,9.0,6.0,8.0,1.0
2019-08,166.0,112.0,49.0,43.0,46.0,29.0,0.0,16.0,14.0,3.0,2.0,0.0
2019-09,165.0,109.0,56.0,48.0,60.0,39.0,0.0,15.0,12.0,8.0,2.0,0.0
2019-10,177.0,121.0,53.0,50.0,47.0,35.0,0.0,16.0,14.0,6.0,2.0,0.0
2019-11,166.0,116.0,51.0,55.0,41.0,37.0,0.0,14.0,17.0,4.0,2.0,0.0
2019-12,180.0,106.0,46.0,47.0,50.0,44.0,0.0,24.0,12.0,5.0,5.0,0.0
2020-01,181.0,120.0,68.0,49.0,67.0,32.0,0.0,20.0,16.0,6.0,3.0,0.0
2020-02,169.0,127.0,48.0,39.0,35.0,33.0,0.0,12.0,14.0,7.0,2.0,0.0
2020-03,152.0,144.0,42.0,44.0,56.0,32.0,1.0,19.0,10.0,8.0,1.0,1.0
2020-04,157.0,117.0,24.0,37.0,29.0,32.0,6.0,12.0,13.0,7.0,4.0,0.0
2020-05,145.0,102.0,36.0,45.0,39.0,30.0,2.0,13.0,4.0,5.0,2.0,0.0
2020-06,175.0,103.0,44.0,37.0,34.0,36.0,8.0,21.0,9.0,2.0,2.0,0.0
2020-07,174.0,111.0,50.0,27.0,36.0,24.0,21.0,9.0,11.0,5.0,5.0,0.0
2020-08,229.0,133.0,51.0,48.0,42.0,45.0,92.0,28.0,17.0,8.0,1.0,0.0
2020-09,179.0,131.0,57.0,54.0,33.0,32.0,150.0,14.0,11.0,8.0,3.0,0.0
2020-10,205.0,119.0,43.0,56.0,37.0,45.0,152.0,17.0,16.0,6.0,1.0,0.0
2020-11,229.0,111.0,53.0,42.0,32.0,34.0,146.0,9.0,11.0,6.0,3.0,1.0
2020-12,278.0,123.0,60.0,55.0,37.0,33.0,192.0,36.0,14.0,10.0,2.0,0.0
2021-01,274.0,118.0,57.0,62.0,37.0,45.0,271.0,44.0,19.0,12.0,3.0,0.0
2021-02,202.0,118.0,54.0,30.0,26.0,39.0,108.0,35.0,13.0,6.0,2.0,0.0
2021-03,203.0,115.0,49.0,42.0,32.0,44.0,69.0,26.0,17.0,11.0,4.0,1.0
2021-04,228.0,143.0,51.0,51.0,37.0,30.0,194.0,29.0,10.0,7.0,1.0,0.0
2021-05,221.0,90.0,60.0,75.0,41.0,30.0,182.0,17.0,15.0,23.0,5.0,0.0
2021-06,235.0,133.0,53.0,52.0,30.0,37.0,283.0,38.0,16.0,14.0,3.0,0.0
2021-07,266.0,115.0,64.0,53.0,36.0,53.0,273.0,45.0,11.0,10.0,3.0,0.0
2021-08,200.0,132.0,59.0,52.0,38.0,57.0,68.0,21.0,13.0,19.0,2.0,0.0
2021-09,185.0,121.0,57.0,38.0,36.0,39.0,12.0,20.0,11.0,6.0,0.0,0.0
2021-10,200.0,96.0,50.0,41.0,43.0,35.0,11.0,21.0,11.0,17.0,4.0,0.0
2021-11,186.0,116.0,67.0,37.0,51.0,30.0,15.0,20.0,10.0,12.0,5.0,0.0
2021-12,214.0,123.0,52.0,60.0,44.0,49.0,29.0,36.0,20.0,21.0,5.0,0.0
2022-01,307.0,102.0,48.0,77.0,55.0,55.0,114.0,38.0,26.0,15.0,4.0,0.0
2022-02,208.0,93.0,57.0,57.0,54.0,39.0,71.0,30.0,24.0,11.0,4.0,0.0
