YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,7.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0
2014-02,8.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2014-03,12.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2014-04,11.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0
2014-05,8.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2014-06,8.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2014-07,7.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2014-08,6.0,3.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0
2014-09,5.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2014-10,11.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2014-11,11.0,4.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2014-12,15.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0
2015-01,11.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0
2015-02,6.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2015-03,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
2015-04,10.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015-05,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2015-06,6.0,4.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0
2015-07,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2015-08,12.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0
2015-09,8.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0
2015-10,8.0,8.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0
2015-11,9.0,10.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0
2015-12,11.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0
2016-01,14.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0
2016-02,9.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-03,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-04,7.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2016-05,13.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2016-06,11.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0
2016-07,14.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
2016-08,10.0,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-09,6.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2016-10,16.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0
2016-11,14.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2016-12,9.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0
2017-01,14.0,6.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0
2017-02,8.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0
2017-03,8.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0
2017-04,8.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2017-05,6.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2017-06,9.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2017-07,7.0,3.0,6.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0
2017-08,13.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2017-09,8.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
2017-10,4.0,3.0,6.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0
2017-11,15.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2017-12,9.0,2.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0
2018-01,11.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0
2018-02,4.0,0.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
2018-03,16.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0
2018-04,10.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
2018-05,8.0,4.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0
2018-06,9.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0
2018-07,12.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0
2018-08,11.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
