YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,330.0,159.0,76.0,79.0,75.0,77.0,0.0,19.0,14.0,16.0,9.0,0.0
2014-02,314.0,139.0,57.0,68.0,70.0,68.0,0.0,18.0,12.0,11.0,6.0,0.0
2014-03,293.0,178.0,81.0,69.0,60.0,59.0,0.0,18.0,12.0,15.0,10.0,0.0
2014-04,324.0,171.0,101.0,78.0,77.0,61.0,0.0,17.0,13.0,13.0,10.0,0.0
2014-05,321.0,167.0,67.0,89.0,62.0,66.0,0.0,20.0,11.0,12.0,6.0,0.0
2014-06,298.0,179.0,82.0,93.0,89.0,79.0,0.0,14.0,8.0,18.0,7.0,0.0
2014-07,344.0,163.0,73.0,69.0,79.0,77.0,0.0,23.0,13.0,21.0,11.0,0.0
2014-08,352.0,154.0,86.0,71.0,77.0,64.0,0.0,14.0,13.0,17.0,6.0,0.0
2014-09,308.0,185.0,74.0,73.0,52.0,60.0,0.0,18.0,14.0,10.0,14.0,0.0
2014-10,316.0,149.0,77.0,71.0,61.0,56.0,0.0,13.0,8.0,10.0,9.0,0.0
2014-11,303.0,189.0,90.0,78.0,67.0,76.0,0.0,19.0,8.0,12.0,5.0,0.0
2014-12,353.0,167.0,106.0,85.0,56.0,69.0,0.0,13.0,11.0,10.0,7.0,0.0
2015-01,373.0,181.0,95.0,96.0,83.0,77.0,0.0,5.0,14.0,19.0,9.0,0.0
2015-02,294.0,159.0,76.0,76.0,60.0,77.0,0.0,7.0,7.0,16.0,6.0,0.0
2015-03,358.0,176.0,91.0,87.0,68.0,55.0,0.0,6.0,13.0,25.0,9.0,1.0
2015-04,316.0,167.0,80.0,88.0,56.0,52.0,0.0,10.0,14.0,14.0,9.0,0.0
2015-05,379.0,172.0,72.0,77.0,72.0,66.0,0.0,7.0,16.0,21.0,11.0,0.0
2015-06,334.0,169.0,82.0,72.0,73.0,83.0,0.0,17.0,14.0,12.0,6.0,0.0
2015-07,344.0,184.0,78.0,70.0,77.0,65.0,0.0,9.0,18.0,11.0,5.0,0.0
2015-08,375.0,179.0,77.0,99.0,68.0,69.0,0.0,7.0,10.0,12.0,5.0,0.0
2015-09,328.0,181.0,72.0,84.0,73.0,65.0,0.0,8.0,11.0,13.0,1.0,0.0
2015-10,297.0,173.0,79.0,82.0,69.0,81.0,0.0,3.0,15.0,12.0,8.0,0.0
2015-11,358.0,158.0,81.0,79.0,70.0,69.0,0.0,6.0,13.0,16.0,5.0,0.0
