YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,106.0,33.0,31.0,14.0,22.0,18.0,0.0,2.0,5.0,5.0,0.0,0.0
2014-02,98.0,39.0,32.0,19.0,13.0,15.0,0.0,2.0,6.0,12.0,1.0,0.0
2014-03,111.0,38.0,29.0,12.0,21.0,21.0,0.0,0.0,9.0,8.0,2.0,0.0
2014-04,103.0,31.0,36.0,17.0,12.0,19.0,0.0,2.0,3.0,13.0,2.0,0.0
2014-05,112.0,37.0,26.0,18.0,16.0,21.0,0.0,4.0,5.0,8.0,4.0,0.0
2014-06,113.0,31.0,23.0,15.0,19.0,21.0,0.0,4.0,6.0,9.0,2.0,0.0
2014-07,117.0,43.0,16.0,12.0,24.0,25.0,0.0,4.0,7.0,8.0,3.0,0.0
2014-08,123.0,33.0,28.0,24.0,25.0,22.0,0.0,3.0,7.0,10.0,2.0,0.0
2014-09,97.0,39.0,24.0,23.0,13.0,23.0,0.0,6.0,9.0,8.0,2.0,0.0
2014-10,114.0,35.0,32.0,24.0,19.0,25.0,0.0,3.0,2.0,8.0,3.0,0.0
2014-11,108.0,44.0,22.0,24.0,32.0,25.0,0.0,1.0,6.0,12.0,3.0,1.0
2014-12,136.0,32.0,23.0,36.0,25.0,23.0,0.0,4.0,5.0,10.0,5.0,0.0
2015-01,164.0,40.0,36.0,27.0,22.0,29.0,0.0,1.0,9.0,7.0,3.0,0.0
2015-02,110.0,39.0,21.0,27.0,14.0,18.0,0.0,1.0,4.0,9.0,2.0,0.0
2015-03,120.0,42.0,25.0,22.0,14.0,17.0,0.0,1.0,4.0,7.0,1.0,0.0
2015-04,117.0,40.0,19.0,16.0,14.0,20.0,0.0,0.0,8.0,7.0,2.0,1.0
2015-05,106.0,49.0,26.0,29.0,14.0,14.0,0.0,2.0,5.0,8.0,4.0,0.0
2015-06,141.0,47.0,22.0,25.0,16.0,29.0,0.0,3.0,6.0,12.0,3.0,0.0
2015-07,104.0,42.0,21.0,28.0,15.0,20.0,0.0,2.0,7.0,7.0,1.0,0.0
2015-08,114.0,51.0,37.0,33.0,23.0,13.0,0.0,1.0,4.0,9.0,1.0,0.0
2015-09,118.0,40.0,24.0,36.0,28.0,34.0,0.0,3.0,5.0,11.0,4.0,0.0
2015-10,127.0,41.0,24.0,30.0,10.0,27.0,0.0,0.0,4.0,13.0,3.0,0.0
2015-11,139.0,45.0,33.0,25.0,18.0,21.0,0.0,0.0,7.0,3.0,5.0,0.0
2015-12,122.0,40.0,23.0,34.0,26.0,30.0,0.0,2.0,5.0,7.0,5.0,0.0
2016-01,117.0,43.0,19.0,33.0,18.0,27.0,0.0,9.0,6.0,10.0,3.0,0.0
2016-02,103.0,36.0,33.0,22.0,15.0,27.0,0.0,10.0,9.0,5.0,2.0,0.0
2016-03,123.0,41.0,26.0,27.0,16.0,19.0,0.0,3.0,16.0,9.0,4.0,0.0
2016-04,111.0,33.0,30.0,26.0,19.0,15.0,0.0,6.0,2.0,13.0,2.0,0.0
2016-05,133.0,42.0,26.0,19.0,17.0,24.0,0.0,7.0,8.0,13.0,1.0,0.0
2016-06,113.0,34.0,33.0,32.0,15.0,19.0,0.0,10.0,9.0,11.0,4.0,0.0
2016-07,120.0,35.0,25.0,33.0,22.0,25.0,0.0,11.0,6.0,10.0,5.0,0.0
2016-08,125.0,38.0,26.0,38.0,18.0,20.0,0.0,7.0,3.0,4.0,3.0,0.0
