YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,335.0,110.0,61.0,51.0,53.0,53.0,0.0,5.0,8.0,10.0,1.0,0.0
2014-02,261.0,113.0,47.0,52.0,43.0,46.0,0.0,2.0,4.0,14.0,3.0,0.0
2014-03,262.0,105.0,71.0,63.0,49.0,34.0,0.0,7.0,10.0,16.0,5.0,0.0
2014-04,289.0,132.0,69.0,50.0,51.0,47.0,0.0,5.0,7.0,10.0,4.0,0.0
2014-05,298.0,106.0,69.0,44.0,56.0,39.0,0.0,1.0,10.0,14.0,3.0,0.0
2014-06,262.0,114.0,62.0,58.0,74.0,40.0,0.0,4.0,8.0,14.0,6.0,0.0
2014-07,274.0,112.0,77.0,62.0,49.0,49.0,0.0,9.0,7.0,15.0,7.0,0.0
2014-08,273.0,119.0,63.0,27.0,49.0,45.0,0.0,2.0,6.0,8.0,3.0,0.0
2014-09,228.0,114.0,82.0,46.0,42.0,33.0,0.0,3.0,14.0,7.0,3.0,0.0
2014-10,255.0,135.0,75.0,53.0,42.0,42.0,0.0,3.0,11.0,10.0,7.0,0.0
2014-11,253.0,114.0,78.0,54.0,41.0,32.0,0.0,4.0,9.0,5.0,4.0,0.0
2014-12,308.0,109.0,80.0,49.0,59.0,55.0,0.0,5.0,12.0,12.0,9.0,0.0
2015-01,326.0,133.0,85.0,84.0,68.0,49.0,0.0,3.0,9.0,12.0,8.0,0.0
2015-02,289.0,112.0,56.0,59.0,60.0,51.0,0.0,6.0,6.0,19.0,5.0,0.0
2015-03,323.0,133.0,73.0,70.0,41.0,57.0,0.0,4.0,2.0,18.0,5.0,0.0
2015-04,267.0,114.0,65.0,69.0,58.0,40.0,0.0,1.0,10.0,17.0,4.0,0.0
2015-05,273.0,108.0,77.0,58.0,55.0,49.0,0.0,4.0,18.0,9.0,4.0,0.0
2015-06,264.0,105.0,81.0,50.0,46.0,38.0,0.0,2.0,8.0,14.0,3.0,0.0
2015-07,277.0,116.0,69.0,74.0,59.0,42.0,0.0,5.0,21.0,11.0,7.0,0.0
2015-08,293.0,119.0,76.0,54.0,69.0,44.0,0.0,8.0,10.0,12.0,3.0,0.0
2015-09,282.0,109.0,79.0,58.0,62.0,46.0,0.0,6.0,12.0,10.0,3.0,0.0
2015-10,286.0,118.0,60.0,44.0,47.0,43.0,0.0,5.0,11.0,10.0,4.0,1.0
2015-11,297.0,107.0,71.0,49.0,60.0,42.0,0.0,3.0,8.0,9.0,6.0,0.0
2015-12,335.0,122.0,95.0,86.0,89.0,63.0,0.0,5.0,12.0,9.0,3.0,0.0
2016-01,338.0,129.0,92.0,87.0,74.0,45.0,0.0,23.0,15.0,7.0,4.0,0.0
2016-02,277.0,129.0,72.0,62.0,62.0,50.0,0.0,13.0,9.0,10.0,2.0,0.0
2016-03,283.0,117.0,73.0,62.0,63.0,38.0,0.0,19.0,10.0,22.0,3.0,1.0
2016-04,257.0,99.0,81.0,60.0,54.0,48.0,0.0,17.0,9.0,13.0,4.0,0.0
2016-05,317.0,114.0,85.0,82.0,75.0,43.0,0.0,17.0,16.0,15.0,5.0,0.0
2016-06,289.0,112.0,78.0,71.0,57.0,45.0,0.0,15.0,11.0,21.0,5.0,0.0
2016-07,277.0,101.0,75.0,71.0,61.0,35.0,0.0,11.0,12.0,9.0,5.0,0.0
2016-08,244.0,136.0,80.0,52.0,53.0,42.0,0.0,13.0,13.0,12.0,6.0,0.0
2016-09,245.0,112.0,73.0,56.0,42.0,31.0,0.0,24.0,13.0,14.0,4.0,0.0
2016-10,262.0,118.0,75.0,46.0,51.0,36.0,0.0,11.0,6.0,11.0,4.0,0.0
2016-11,260.0,105.0,67.0,46.0,54.0,53.0,0.0,17.0,14.0,12.0,5.0,0.0
2016-12,351.0,113.0,63.0,81.0,68.0,47.0,0.0,20.0,4.0,15.0,5.0,0.0
2017-01,360.0,149.0,74.0,98.0,106.0,47.0,0.0,16.0,17.0,9.0,5.0,0.0
2017-02,260.0,94.0,49.0,56.0,58.0,49.0,0.0,15.0,15.0,18.0,1.0,0.0
2017-03,265.0,113.0,65.0,60.0,57.0,45.0,0.0,14.0,23.0,8.0,3.0,0.0
2017-04,248.0,113.0,72.0,60.0,63.0,38.0,0.0,12.0,12.0,10.0,6.0,0.0
2017-05,253.0,127.0,72.0,57.0,57.0,51.0,0.0,10.0,15.0,16.0,3.0,0.0
2017-06,263.0,114.0,69.0,62.0,63.0,44.0,0.0,14.0,9.0,15.0,3.0,0.0
2017-07,258.0,125.0,91.0,48.0,61.0,33.0,0.0,13.0,12.0,12.0,4.0,0.0
2017-08,251.0,116.0,69.0,46.0,66.0,40.0,0.0,22.0,10.0,15.0,4.0,0.0
2017-09,253.0,111.0,67.0,58.0,47.0,33.0,0.0,17.0,8.0,17.0,9.0,0.0
2017-10,292.0,112.0,76.0,52.0,70.0,47.0,0.0,8.0,10.0,9.0,4.0,0.0
2017-11,265.0,103.0,69.0,51.0,52.0,42.0,0.0,16.0,14.0,10.0,5.0,0.0
2017-12,271.0,132.0,78.0,62.0,52.0,43.0,0.0,18.0,11.0,13.0,2.0,0.0
2018-01,316.0,155.0,86.0,65.0,68.0,45.0,0.0,12.0,8.0,16.0,5.0,0.0
2018-02,294.0,111.0,53.0,31.0,57.0,43.0,0.0,13.0,7.0,7.0,6.0,0.0
2018-03,263.0,102.0,88.0,60.0,55.0,52.0,0.0,21.0,17.0,15.0,6.0,0.0
2018-04,261.0,116.0,64.0,51.0,56.0,50.0,0.0,14.0,7.0,14.0,6.0,0.0
2018-05,290.0,137.0,74.0,51.0,65.0,31.0,0.0,21.0,13.0,10.0,6.0,0.0
