YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,731.0,404.0,335.0,197.0,169.0,151.0,0.0,19.0,34.0,31.0,23.0,0.0
2014-02,559.0,385.0,289.0,121.0,120.0,138.0,0.0,22.0,25.0,29.0,15.0,0.0
2014-03,679.0,396.0,330.0,160.0,129.0,136.0,0.0,17.0,39.0,36.0,16.0,0.0
2014-04,572.0,405.0,292.0,146.0,127.0,124.0,0.0,18.0,32.0,39.0,20.0,0.0
2014-05,679.0,458.0,299.0,167.0,129.0,147.0,0.0,16.0,33.0,31.0,17.0,0.0
2014-06,644.0,394.0,340.0,170.0,156.0,122.0,0.0,14.0,26.0,37.0,18.0,0.0
2014-07,690.0,434.0,290.0,160.0,148.0,133.0,0.0,22.0,32.0,23.0,24.0,0.0
2014-08,684.0,466.0,317.0,158.0,144.0,153.0,0.0,26.0,33.0,23.0,23.0,0.0
2014-09,603.0,382.0,342.0,157.0,109.0,137.0,0.0,21.0,38.0,35.0,15.0,0.0
2014-10,665.0,415.0,331.0,149.0,135.0,136.0,0.0,17.0,43.0,41.0,23.0,0.0
2014-11,708.0,403.0,332.0,148.0,140.0,149.0,0.0,25.0,40.0,37.0,17.0,0.0
2014-12,766.0,389.0,402.0,185.0,161.0,136.0,0.0,18.0,46.0,34.0,20.0,0.0
2015-01,780.0,442.0,392.0,236.0,163.0,144.0,0.0,15.0,41.0,40.0,19.0,0.0
2015-02,670.0,405.0,307.0,166.0,124.0,148.0,0.0,13.0,41.0,39.0,14.0,0.0
2015-03,789.0,401.0,348.0,192.0,140.0,159.0,0.0,26.0,51.0,47.0,26.0,0.0
2015-04,750.0,412.0,327.0,184.0,161.0,160.0,0.0,26.0,42.0,31.0,23.0,1.0
2015-05,776.0,464.0,369.0,209.0,155.0,170.0,0.0,26.0,49.0,45.0,22.0,0.0
2015-06,800.0,399.0,388.0,204.0,140.0,152.0,0.0,31.0,41.0,35.0,24.0,1.0
