YearMonth,No clasificada,"Cualquier neoplasia maligna, incluyendo linfoma y leucemia, excepto neoplasias malignas de la piel",Infarto de miocardio,Enfermedad cerebrovascular,Enfermedad pulmonar crónica,Insuficiencia cardíaca congestiva,Diabetes sin complicaciones crónicas,Enfermedad renal,Diabetes con complicaciones crónicas,Enfermedad hepática leve,Demencia,SIDA/VIH,Enfermedad vascular periférica,Enfermedad reumática,Úlcera péptica,Enfermedad hepática moderada o grave,Hemiplejía o paraplejía
2014-01,6947.0,2842.0,2664.0,1223.0,1237.0,536.0,374.0,430.0,275.0,224.0,61.0,183.0,144.0,64.0,60.0,26.0,4.0
2014-02,5763.0,2603.0,2263.0,1049.0,946.0,447.0,292.0,357.0,239.0,203.0,48.0,163.0,137.0,47.0,61.0,23.0,6.0
2014-03,6687.0,2932.0,2579.0,1195.0,1175.0,533.0,330.0,417.0,269.0,189.0,63.0,178.0,128.0,56.0,54.0,24.0,6.0
2014-04,6478.0,2835.0,2430.0,1063.0,1185.0,522.0,312.0,395.0,239.0,193.0,69.0,165.0,117.0,57.0,40.0,26.0,4.0
2014-05,6514.0,2938.0,2529.0,1141.0,1143.0,498.0,320.0,370.0,232.0,195.0,59.0,178.0,139.0,64.0,53.0,20.0,5.0
2014-06,6751.0,2845.0,2506.0,1166.0,1191.0,515.0,302.0,383.0,232.0,186.0,59.0,188.0,152.0,60.0,53.0,28.0,6.0
2014-07,6675.0,2968.0,2689.0,1239.0,1155.0,472.0,369.0,404.0,287.0,186.0,81.0,190.0,147.0,65.0,63.0,25.0,3.0
2014-08,6478.0,2984.0,2571.0,1179.0,1028.0,480.0,366.0,385.0,239.0,198.0,86.0,163.0,162.0,70.0,55.0,15.0,5.0
2014-09,6365.0,2907.0,2374.0,1200.0,995.0,485.0,313.0,410.0,264.0,182.0,85.0,194.0,144.0,55.0,49.0,20.0,6.0
2014-10,6830.0,3034.0,2570.0,1227.0,1053.0,508.0,346.0,432.0,225.0,223.0,67.0,188.0,142.0,73.0,63.0,21.0,10.0
2014-11,6834.0,2936.0,2628.0,1191.0,1150.0,554.0,334.0,456.0,251.0,193.0,59.0,160.0,158.0,65.0,58.0,20.0,7.0
2014-12,7420.0,3017.0,2943.0,1309.0,1354.0,587.0,381.0,456.0,273.0,211.0,85.0,192.0,157.0,81.0,51.0,31.0,6.0
2015-01,7698.0,3006.0,2947.0,1302.0,1401.0,617.0,410.0,521.0,311.0,227.0,101.0,200.0,169.0,74.0,72.0,23.0,9.0
2015-02,6246.0,2731.0,2395.0,1168.0,1030.0,495.0,349.0,470.0,264.0,195.0,61.0,167.0,147.0,74.0,63.0,17.0,6.0
2015-03,7156.0,2989.0,2714.0,1312.0,1119.0,546.0,373.0,487.0,277.0,229.0,91.0,178.0,156.0,69.0,57.0,23.0,4.0
2015-04,6630.0,3026.0,2610.0,1222.0,1150.0,529.0,340.0,399.0,224.0,206.0,68.0,177.0,151.0,74.0,50.0,22.0,8.0
2015-05,7306.0,3102.0,2623.0,1246.0,1129.0,571.0,355.0,479.0,288.0,229.0,104.0,189.0,146.0,77.0,55.0,26.0,8.0
2015-06,7017.0,2931.0,2737.0,1245.0,1236.0,534.0,355.0,435.0,278.0,221.0,111.0,166.0,140.0,73.0,75.0,20.0,7.0
2015-07,7081.0,3102.0,2700.0,1270.0,1211.0,565.0,346.0,478.0,265.0,207.0,124.0,166.0,145.0,68.0,62.0,28.0,5.0
2015-08,7044.0,3061.0,2793.0,1187.0,1209.0,539.0,348.0,428.0,285.0,205.0,98.0,185.0,153.0,70.0,55.0,16.0,6.0
2015-09,6837.0,3024.0,2715.0,1272.0,1242.0,527.0,330.0,470.0,272.0,207.0,118.0,172.0,146.0,66.0,50.0,16.0,11.0
2015-10,6968.0,3038.0,2684.0,1251.0,1249.0,542.0,312.0,516.0,274.0,197.0,100.0,193.0,141.0,72.0,51.0,20.0,6.0
2015-11,7093.0,3031.0,2812.0,1263.0,1234.0,566.0,352.0,445.0,265.0,227.0,90.0,192.0,135.0,65.0,56.0,22.0,6.0
2015-12,7654.0,3158.0,2844.0,1286.0,1289.0,584.0,354.0,550.0,278.0,214.0,118.0,211.0,155.0,76.0,62.0,21.0,10.0
2016-01,7652.0,3169.0,3010.0,1355.0,1259.0,568.0,370.0,465.0,277.0,228.0,129.0,219.0,136.0,51.0,64.0,23.0,6.0
2016-02,6786.0,2953.0,2524.0,1118.0,1042.0,461.0,291.0,405.0,251.0,215.0,127.0,173.0,147.0,71.0,49.0,25.0,8.0
2016-03,7167.0,3332.0,2746.0,1193.0,1176.0,520.0,340.0,468.0,241.0,238.0,153.0,192.0,154.0,76.0,59.0,23.0,5.0
