YearMonth,Enfermedades Cardiovasculares y Metabólicas,"Tumores, Enfermedades Hematopoyéticas y del sistema Inmune",Condiciones asociadas a lesiones o agresión,Enfermedades infecciosas,Enfermedades Respiratorias Crónicas o de la Piel o estructuras anexas,Enfermedades de los Sistemas Digestivo o Urinario,COVID-19,No/Mal definido,Trastornos Neurológicos o mentales,Trastornos Materno Perinatales Congenitos o Nutricionales,Enfermedades Osteomusculares y Degenerativas,Otras
2014-01,6206.0,3381.0,2372.0,1404.0,1560.0,1250.0,0.0,299.0,285.0,368.0,167.0,2.0
2014-02,5304.0,3070.0,1895.0,1191.0,1192.0,1093.0,0.0,235.0,204.0,311.0,152.0,0.0
2014-03,6027.0,3471.0,2147.0,1449.0,1471.0,1135.0,0.0,315.0,288.0,356.0,155.0,1.0
2014-04,5763.0,3442.0,1979.0,1315.0,1484.0,1121.0,0.0,309.0,243.0,320.0,154.0,0.0
2014-05,5852.0,3547.0,1976.0,1355.0,1432.0,1157.0,0.0,320.0,254.0,345.0,158.0,2.0
2014-06,5947.0,3375.0,2170.0,1431.0,1491.0,1137.0,0.0,314.0,240.0,358.0,160.0,0.0
2014-07,6307.0,3530.0,2034.0,1394.0,1425.0,1191.0,0.0,304.0,297.0,330.0,205.0,1.0
2014-08,5979.0,3545.0,2152.0,1290.0,1304.0,1145.0,0.0,269.0,280.0,330.0,170.0,0.0
2014-09,5803.0,3458.0,2106.0,1247.0,1241.0,1121.0,0.0,292.0,297.0,310.0,172.0,1.0
2014-10,6142.0,3614.0,2178.0,1371.0,1338.0,1228.0,0.0,318.0,283.0,345.0,193.0,2.0
2014-11,6186.0,3536.0,2183.0,1411.0,1427.0,1213.0,0.0,310.0,262.0,336.0,189.0,1.0
2014-12,6796.0,3585.0,2401.0,1650.0,1688.0,1295.0,0.0,304.0,303.0,340.0,190.0,2.0
2015-01,6947.0,3561.0,2406.0,1913.0,1630.0,1398.0,0.0,289.0,349.0,413.0,182.0,0.0
2015-02,5823.0,3253.0,1925.0,1437.0,1223.0,1207.0,0.0,235.0,258.0,361.0,156.0,0.0
2015-03,6547.0,3533.0,2333.0,1510.0,1353.0,1275.0,0.0,319.0,320.0,417.0,172.0,1.0
2015-04,6133.0,3590.0,2121.0,1436.0,1335.0,1153.0,0.0,287.0,278.0,380.0,171.0,2.0
